https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AAPL,Volume USDT,tradecount
1774618200000,2026-03-27,AAPL,253.90,255.49,248.07,248.80,47842500,11903214146.00,0
1774531800000,2026-03-26,AAPL,252.12,257.00,250.77,252.89,41796700,10569967437.49,0
1774445400000,2026-03-25,AAPL,254.10,255.00,251.60,252.62,28476700,7193783814.95,0
1774359000000,2026-03-24,AAPL,250.35,254.83,249.55,251.64,45152300,11362124744.44,0
1774272600000,2026-03-23,AAPL,253.97,254.60,250.28,251.49,40546100,10196938911.73,0
1774013400000,2026-03-20,AAPL,247.98,249.20,246.00,247.99,88331100,21905229974.22,0
1773927000000,2026-03-19,AAPL,249.40,251.83,247.30,248.96,34864100,8679766570.07,0
1773840600000,2026-03-18,AAPL,252.63,254.94,249.00,249.94,35757900,8937329613.30,0
1773754200000,2026-03-17,AAPL,252.96,255.13,252.18,254.23,32361600,8227289429.74,0
1773667800000,2026-03-16,AAPL,252.11,253.89,249.88,252.82,32074200,8108999478.92,0
1773408600000,2026-03-13,AAPL,255.48,256.33,249.52,250.12,36930000,9236931419.68,0
1773322200000,2026-03-12,AAPL,258.66,258.95,254.18,255.76,40794000,10433473215.91,0
1773235800000,2026-03-11,AAPL,261.09,262.13,259.55,260.81,26218900,6838151244.99,0
1773149400000,2026-03-10,AAPL,257.65,262.48,256.95,260.83,30590800,7978997953.23,0
1773063000000,2026-03-09,AAPL,255.69,261.15,253.68,259.88,38218500,9932223966.61,0
1772807400000,2026-03-06,AAPL,258.63,258.77,254.37,257.46,41120000,10586754848.63,0
1772721000000,2026-03-05,AAPL,260.79,261.56,257.25,260.29,49658600,12925637418.33,0
1772634600000,2026-03-04,AAPL,264.65,266.15,261.42,262.52,39803100,10449109374.71,0
1772548200000,2026-03-03,AAPL,263.48,265.56,260.13,263.75,38568900,10172547375.00,0
1772461800000,2026-03-02,AAPL,262.41,266.53,260.20,264.72,41827900,11072681739.06,0
1772202600000,2026-02-27,AAPL,272.81,272.81,262.89,264.18,72366500,19117781439.97,0
1772116200000,2026-02-26,AAPL,274.95,276.11,270.80,272.95,32345100,8828595439.84,0
1772029800000,2026-02-25,AAPL,271.78,274.94,271.05,274.23,33714300,9245472859.40,0
1771943400000,2026-02-24,AAPL,267.86,274.89,267.71,272.14,47014600,12794553932.69,0
1771857000000,2026-02-23,AAPL,263.49,269.43,263.38,266.18,37308200,9930696402.75,0
1771597800000,2026-02-20,AAPL,258.97,264.75,258.16,264.58,42070500,11131012325.09,0
1771511400000,2026-02-19,AAPL,262.60,264.48,260.05,260.58,30845300,8037667859.82,0
1771425000000,2026-02-18,AAPL,263.60,266.82,262.45,264.35,34203300,9041642563.76,0
1771338600000,2026-02-17,AAPL,258.05,266.29,255.54,263.88,58469100,15428826393.49,0
1770993000000,2026-02-13,AAPL,262.01,262.23,255.45,255.78,56290700,14398035177.29,0
1770906600000,2026-02-12,AAPL,275.59,275.72,260.18,261.73,81077200,21220336446.74,0
1770820200000,2026-02-11,AAPL,274.70,280.18,274.45,275.50,51931300,14307073150.00,0
1770733800000,2026-02-10,AAPL,274.89,275.37,272.94,273.68,34376900,9408269740.22,0
1770647400000,2026-02-09,AAPL,277.91,278.20,271.70,274.62,44623400,12254477890.11,0
1770388200000,2026-02-06,AAPL,277.12,280.91,276.93,278.12,50453400,14032099361.65,0
1770301800000,2026-02-05,AAPL,278.13,279.50,273.23,275.91,52977400,14616994628.01,0
1770215400000,2026-02-04,AAPL,272.29,278.95,272.29,276.49,90545700,25034979708.76,0
1770129000000,2026-02-03,AAPL,269.20,271.88,267.61,269.48,64394700,17353084463.46,0
1770042600000,2026-02-02,AAPL,260.03,270.49,259.21,270.01,73913400,19957357855.81,0
1769783400000,2026-01-30,AAPL,255.17,261.90,252.18,259.48,92443400,23987214447.61,0
1769697000000,2026-01-29,AAPL,258.00,259.65,254.41,258.28,67253000,17370104757.90,0
1769610600000,2026-01-28,AAPL,257.65,258.86,254.51,256.44,41288000,10587894820.80,0
1769524200000,2026-01-27,AAPL,259.17,261.95,258.21,258.27,49648300,12822665895.55,0
1769437800000,2026-01-26,AAPL,251.48,256.56,249.80,255.41,55969200,14295093576.97,0
1769178600000,2026-01-23,AAPL,247.32,249.41,244.68,248.04,41689000,10340539280.11,0
1769092200000,2026-01-22,AAPL,249.20,251.00,248.15,248.35,39708300,9861556547.36,0
1769005800000,2026-01-21,AAPL,248.70,251.56,245.18,247.65,54641700,13532016671.49,0
1768919400000,2026-01-20,AAPL,252.73,254.79,243.42,246.70,80267500,19801992005.04,0
1768573800000,2026-01-16,AAPL,257.90,258.90,254.93,255.53,72142800,18434649595.94,0
1768487400000,2026-01-15,AAPL,260.65,261.04,257.05,258.21,39388600,10170530069.43,0
1768401000000,2026-01-14,AAPL,259.49,261.82,256.71,259.96,40019400,10403442882.04,0
1768314600000,2026-01-13,AAPL,258.72,261.81,258.39,261.05,45730800,11938024781.76,0
1768228200000,2026-01-12,AAPL,259.16,261.30,256.80,260.25,45263800,11779903950.00,0
1767969000000,2026-01-09,AAPL,259.08,260.21,256.22,259.37,39997000,10374021694.70,0
1767882600000,2026-01-08,AAPL,257.02,259.29,255.70,259.04,50419300,13060615902.83,0
1767796200000,2026-01-07,AAPL,263.20,263.68,259.81,260.33,48309800,12576489585.31,0
1767709800000,2026-01-06,AAPL,267.00,267.55,262.12,262.36,52352100,13735096189.12,0
1767623400000,2026-01-05,AAPL,270.64,271.51,266.14,267.26,45647200,12199671117.77,0
1767364200000,2026-01-02,AAPL,272.26,277.84,269.00,271.01,37838100,10254503850.51,0
1767191400000,2025-12-31,AAPL,273.06,273.68,271.75,271.86,27293600,7420037696.19,0
1767105000000,2025-12-30,AAPL,272.81,274.08,272.28,273.08,22139600,6045881670.72,0
1767018600000,2025-12-29,AAPL,272.69,274.36,272.35,273.76,23715200,6492273383.59,0
1766759400000,2025-12-26,AAPL,274.16,275.37,272.86,273.40,21521800,5884059988.64,0
1766586600000,2025-12-24,AAPL,272.34,275.43,272.20,273.81,17910600,4904101342.27,0
1766500200000,2025-12-23,AAPL,270.84,272.50,269.56,272.36,29642000,8073294685.79,0
1766413800000,2025-12-22,AAPL,272.86,273.88,270.51,270.97,36571800,9909860690.64,0
1766154600000,2025-12-19,AAPL,272.15,274.60,269.90,273.67,144632000,39581441382.08,0
