https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AMD,Volume USDT,tradecount
1774618200000,2026-03-27,AMD,201.77,203.27,197.69,201.99,29111300,5880191646.91,0
1774531800000,2026-03-26,AMD,217.98,221.00,203.43,203.77,49213000,10028133220.26,0
1774445400000,2026-03-25,AMD,211.51,221.33,211.51,220.27,48518300,10687126148.29,0
1774359000000,2026-03-24,AMD,201.39,206.43,200.13,205.37,27258800,5598139622.90,0
1774272600000,2026-03-23,AMD,206.40,209.11,201.71,202.68,31857800,6456938670.67,0
1774013400000,2026-03-20,AMD,204.89,206.30,198.26,201.33,37265100,7502582651.23,0
1773927000000,2026-03-19,AMD,195.03,205.88,192.83,205.27,32245300,6618992868.77,0
1773840600000,2026-03-18,AMD,196.00,202.86,195.75,199.46,28569100,5698392877.81,0
1773754200000,2026-03-17,AMD,196.68,199.21,195.26,196.31,22779700,4471882851.39,0
1773667800000,2026-03-16,AMD,194.98,200.17,194.80,196.58,30285200,5953464671.45,0
1773408600000,2026-03-13,AMD,198.11,199.68,192.27,193.39,27561900,5330195824.18,0
1773322200000,2026-03-12,AMD,202.83,203.62,196.67,197.74,28886900,5712095764.68,0
1773235800000,2026-03-11,AMD,205.11,209.21,203.63,204.83,23076400,4726739054.25,0
1773149400000,2026-03-10,AMD,202.51,206.59,202.20,203.23,29139200,5921959491.50,0
1773063000000,2026-03-09,AMD,189.36,202.97,189.02,202.68,38877200,7879630611.25,0
1772807400000,2026-03-06,AMD,195.27,200.24,191.25,192.43,33913800,6526032285.61,0
1772721000000,2026-03-05,AMD,197.77,203.79,194.88,199.45,36000700,7180339505.13,0
1772634600000,2026-03-04,AMD,192.12,202.44,189.86,202.07,40912600,8267209381.65,0
1772548200000,2026-03-03,AMD,191.46,193.64,188.22,190.95,37785700,7215179299.69,0
1772461800000,2026-03-02,AMD,193.85,198.74,190.00,198.62,34120200,6776953957.40,0
1772202600000,2026-02-27,AMD,200.11,201.89,197.74,200.21,31312400,6269055814.23,0
1772116200000,2026-02-26,AMD,208.80,209.79,201.46,203.68,35020500,7132975183.50,0
1772029800000,2026-02-25,AMD,214.82,216.70,210.33,210.86,44588100,9401846793.21,0
1771943400000,2026-02-24,AMD,211.63,216.71,206.50,213.84,81367000,17399518982.03,0
1771857000000,2026-02-23,AMD,198.09,199.38,194.15,196.60,28187900,5541741312.05,0
1771597800000,2026-02-20,AMD,200.12,204.87,198.56,200.15,36317300,7268907373.34,0
1771511400000,2026-02-19,AMD,200.11,204.10,198.29,203.37,25842300,5255548424.82,0
1771425000000,2026-02-18,AMD,198.41,203.20,195.00,200.12,35664100,7137099517.86,0
1771338600000,2026-02-17,AMD,202.15,205.30,194.83,203.08,33712100,6846253329.73,0
1770993000000,2026-02-13,AMD,204.02,210.05,203.88,207.32,26123900,5416007139.34,0
1770906600000,2026-02-12,AMD,215.83,218.46,205.14,205.94,32181000,6627355218.57,0
1770820200000,2026-02-11,AMD,217.88,219.65,209.21,213.58,33384700,7130304287.13,0
1770733800000,2026-02-10,AMD,215.14,219.39,213.13,213.57,25326700,5409023504.50,0
1770647400000,2026-02-09,AMD,206.90,217.60,204.15,216.00,38810800,8383132800.00,0
1770388200000,2026-02-06,AMD,197.13,209.27,196.43,208.44,54504500,11360918113.07,0
1770301800000,2026-02-05,AMD,201.86,204.04,190.72,192.50,62196400,11972807000.00,0
1770215400000,2026-02-04,AMD,215.00,218.58,199.15,200.19,107173300,21455023188.65,0
1770129000000,2026-02-03,AMD,251.55,252.65,237.04,242.11,53097100,12855338913.41,0
1770042600000,2026-02-02,AMD,235.77,249.97,235.00,246.27,36308100,8941595942.12,0
1769783400000,2026-01-30,AMD,236.93,245.24,234.55,236.73,40035700,9477651089.95,0
1769697000000,2026-01-29,AMD,254.66,260.53,240.91,252.18,31685200,7990373503.93,0
1769610600000,2026-01-28,AMD,254.13,257.40,250.21,252.74,27061200,6839447836.65,0
1769524200000,2026-01-27,AMD,252.16,255.55,247.96,252.03,25691600,6475053916.64,0
1769437800000,2026-01-26,AMD,256.75,258.29,250.30,251.31,30672500,7708305900.12,0
1769178600000,2026-01-23,AMD,261.18,266.96,256.25,259.68,47525900,12341525363.91,0
1769092200000,2026-01-22,AMD,251.75,256.08,246.63,253.73,37945000,9627784687.88,0
1769005800000,2026-01-21,AMD,235.99,252.90,235.78,249.80,62385600,15583923070.39,0
1768919400000,2026-01-20,AMD,226.08,239.50,225.41,231.92,44327700,10280480102.83,0
1768573800000,2026-01-16,AMD,234.30,234.49,228.86,231.83,42545600,9863346525.90,0
1768487400000,2026-01-15,AMD,227.90,238.35,227.22,227.92,55270200,12597183882.80,0
1768401000000,2026-01-14,AMD,217.54,224.09,215.11,223.60,40466500,9048309646.99,0
1768314600000,2026-01-13,AMD,215.10,223.11,214.98,220.97,56894900,12572066122.45,0
1768228200000,2026-01-12,AMD,201.18,209.88,199.80,207.69,27287300,5667299403.62,0
1767969000000,2026-01-09,AMD,205.72,207.30,203.07,203.17,24217300,4920228796.66,0
1767882600000,2026-01-08,AMD,210.90,210.94,203.33,204.68,27505000,5629723198.55,0
1767796200000,2026-01-07,AMD,212.13,212.13,207.17,210.02,29715500,6240849436.96,0
1767709800000,2026-01-06,AMD,222.71,222.92,211.25,214.35,40033200,8581116664.34,0
1767623400000,2026-01-05,AMD,230.25,234.02,220.48,221.08,31941100,7061538446.49,0
1767364200000,2026-01-02,AMD,218.90,227.15,218.90,223.47,36446200,8144632358.49,0
1767191400000,2025-12-31,AMD,215.82,217.64,213.80,214.16,17591600,3767417120.42,0
1767105000000,2025-12-30,AMD,215.87,216.82,214.33,215.34,16409600,3533643203.91,0
1767018600000,2025-12-29,AMD,211.58,216.05,209.24,215.61,20326900,4382682921.41,0
1766759400000,2025-12-26,AMD,215.43,216.83,213.03,214.99,15792600,3395251160.75,0
1766586600000,2025-12-24,AMD,214.98,216.54,213.97,215.04,7956800,1711030218.58,0
1766500200000,2025-12-23,AMD,212.86,217.03,212.28,214.90,20272300,4356517146.27,0
1766413800000,2025-12-22,AMD,220.00,220.17,213.31,214.95,24950700,5363152888.86,0
1766154600000,2025-12-19,AMD,204.60,215.18,204.20,213.43,58445500,12474022636.93,0
1766068200000,2025-12-18,AMD,203.82,206.36,200.50,201.06,29720100,5975523233.44,0
1765981800000,2025-12-17,AMD,210.04,211.50,197.53,198.11,31595400,6259364713.28,0
1765895400000,2025-12-16,AMD,206.92,210.22,205.11,209.17,23467600,4908717849.03,0
1765809000000,2025-12-15,AMD,212.28,215.36,206.58,207.58,27222200,5650784325.85,0
1765549800000,2025-12-12,AMD,218.37,222.49,209.06,210.78,37073900,7814436596.74,0
1765463400000,2025-12-11,AMD,217.81,221.50,210.19,221.43,30694600,6796705053.19,0
1765377000000,2025-12-10,AMD,222.00,222.61,218.67,221.42,23279400,5154524705.37,0
1765290600000,2025-12-09,AMD,221.04,224.84,217.91,221.62,25166100,5577310959.12,0
1765204200000,2025-12-08,AMD,219.09,223.71,218.36,221.11,30943200,6841850970.89,0
1764945000000,2025-12-05,AMD,217.17,223.64,216.24,217.97,33292400,7256744468.64,0
1764858600000,2025-12-04,AMD,216.88,219.12,214.14,215.98,24478200,5286801531.42,0
1764772200000,2025-12-03,AMD,216.26,218.20,211.77,217.60,28545200,6211435694.23,0
1764685800000,2025-12-02,AMD,221.79,225.98,214.39,215.24,42002500,9040618330.73,0
1764599400000,2025-12-01,AMD,213.88,220.98,213.50,219.76,30768700,6761729342.98,0
1764340200000,2025-11-28,AMD,216.14,218.30,214.02,217.53,18658000,4058674717.22,0
1764167400000,2025-11-26,AMD,210.05,215.59,207.00,214.24,43270200,9270207885.69,0
1764081000000,2025-11-25,AMD,201.48,206.58,194.28,206.13,69773500,14382411895.69,0
1763994600000,2025-11-24,AMD,207.16,217.13,205.85,215.05,46749600,10053501622.67,0
1763735400000,2025-11-21,AMD,208.81,208.83,195.00,203.78,67421100,13739071675.70,0
1763649000000,2025-11-20,AMD,232.70,234.25,204.53,206.02,66342900,13667964541.45,0
1763562600000,2025-11-19,AMD,230.26,235.28,219.71,223.55,52093400,11645479728.98,0
1763476200000,2025-11-18,AMD,236.78,238.00,224.71,230.29,45619900,10505806464.71,0
1763389800000,2025-11-17,AMD,242.75,248.77,237.15,240.52,37942200,9125858106.11,0
1763130600000,2025-11-14,AMD,240.11,253.44,235.08,246.81,47655600,11761878519.65,0
1763044200000,2025-11-13,AMD,251.90,259.63,246.06,247.96,63178600,15665766080.17,0
1762957800000,2025-11-12,AMD,253.13,263.51,250.00,258.89,108942000,28203995975.83,0
1762871400000,2025-11-11,AMD,241.66,248.46,234.64,237.52,61336800,14568716998.06,0
1762785000000,2025-11-10,AMD,242.14,248.90,240.50,243.98,43361600,10579362982.74,0
1762525800000,2025-11-07,AMD,230.94,235.87,224.64,233.54,52162600,12182053253.79,0
1762439400000,2025-11-06,AMD,253.47,253.51,235.74,237.70,66049700,15700013488.43,0
1762353000000,2025-11-05,AMD,243.24,259.65,242.81,256.33,67366600,17268079673.42,0
1762266600000,2025-11-04,AMD,250.35,257.38,247.39,250.05,56491800,14125774762.40,0
1762180200000,2025-11-03,AMD,259.33,260.91,253.89,259.65,36351400,9438640788.13,0
1761917400000,2025-10-31,AMD,259.60,262.13,253.41,256.12,34449200,8823128935.79,0
1761831000000,2025-10-30,AMD,259.92,263.88,252.31,254.84,45162500,11509211334.61,0
1761744600000,2025-10-29,AMD,264.19,267.08,257.40,264.33,49335600,13040878485.53,0
1761658200000,2025-10-28,AMD,259.14,264.58,257.00,258.01,47448700,12242239550.37,0
1761571800000,2025-10-27,AMD,257.88,260.42,249.80,259.67,65613100,17037754558.04,0
1761312600000,2025-10-24,AMD,243.36,253.39,241.95,252.92,71221100,18013240481.59,0
1761226200000,2025-10-23,AMD,230.16,235.90,228.54,234.99,39024400,9170343970.37,0
1761139800000,2025-10-22,AMD,236.85,240.13,224.88,230.23,59668800,13737547569.07,0
1761053400000,2025-10-21,AMD,239.39,242.26,234.02,238.03,47122400,11216544814.48,0
1760967000000,2025-10-20,AMD,236.47,242.88,234.40,240.56,56741700,13649783213.47,0
1760707800000,2025-10-17,AMD,233.26,235.38,227.91,233.08,55804200,13006843038.18,0
1760621400000,2025-10-16,AMD,236.29,241.20,232.24,234.56,69726400,16355024213.77,0
1760535000000,2025-10-15,AMD,222.71,239.24,220.76,238.60,108481000,25883567262.12,0
1760448600000,2025-10-14,AMD,219.20,224.98,215.90,218.09,71216300,15531562606.20,0
1760362200000,2025-10-13,AMD,220.20,224.19,214.90,216.42,63104000,13656967564.45,0
1760103000000,2025-10-10,AMD,232.77,234.22,213.20,214.90,118656600,25499302615.78,0
1760016600000,2025-10-09,AMD,236.30,240.10,229.53,232.89,94290700,21959361065.45,0
1759930200000,2025-10-08,AMD,212.95,235.87,210.70,235.56,159983500,37685712869.42,0
1759843800000,2025-10-07,AMD,214.85,218.90,209.28,211.51,115748100,24481879995.18,0
1759757400000,2025-10-06,AMD,226.45,226.71,203.01,203.71,248859600,50695190786.81,0
1759498200000,2025-10-03,AMD,170.68,170.68,163.14,164.67,42699100,7031260718.82,0
1759411800000,2025-10-02,AMD,168.68,171.06,166.12,169.73,55475200,9415805458.98,0
1759325400000,2025-10-01,AMD,160.93,164.18,160.49,164.01,39895200,6543211532.85,0
1759239000000,2025-09-30,AMD,160.79,162.28,159.33,161.79,29669300,4800195847.80,0
1759152600000,2025-09-29,AMD,160.12,164.30,159.90,161.36,39828800,6426775192.31,0
1758893400000,2025-09-26,AMD,160.52,162.11,157.05,159.46,30316900,4834333077.54,0
1758807000000,2025-09-25,AMD,157.14,161.63,154.78,161.27,36809900,5936332730.27,0
1758720600000,2025-09-24,AMD,162.98,165.10,158.43,160.88,38464100,6188104595.81,0
1758634200000,2025-09-23,AMD,160.52,163.39,159.21,160.90,39448300,6347231229.23,0
1758547800000,2025-09-22,AMD,157.42,162.68,157.42,159.79,46505500,7431113532.77,0
1758288600000,2025-09-19,AMD,157.38,159.84,155.90,157.39,55448100,8726976425.16,0
1758202200000,2025-09-18,AMD,150.96,158.77,149.85,157.92,84549500,13352056885.19,0
1758115800000,2025-09-17,AMD,159.28,161.63,155.76,159.16,41823800,6656676161.16,0
1758029400000,2025-09-16,AMD,161.37,161.95,159.22,160.46,27946500,4484295577.63,0
1757943000000,2025-09-15,AMD,160.01,162.30,157.60,161.16,36808700,5932090226.80,0
1757683800000,2025-09-12,AMD,157.00,160.41,154.92,158.57,42232800,6696855405.32,0
1757597400000,2025-09-11,AMD,158.62,160.21,154.99,155.67,48817700,7599451269.61,0
1757511000000,2025-09-10,AMD,163.54,164.53,158.00,159.54,52465300,8370313609.75,0
1757424600000,2025-09-09,AMD,151.99,156.66,151.93,155.82,42802500,6669485863.49,0
1757338200000,2025-09-08,AMD,151.80,152.64,149.22,151.41,41849000,6336357243.26,0
1757079000000,2025-09-05,AMD,157.12,157.14,150.18,151.14,78256000,11827611792.24,0
1756992600000,2025-09-04,AMD,159.94,162.05,157.79,161.79,32103500,5194025049.46,0
1756906200000,2025-09-03,AMD,161.81,164.75,160.58,162.13,30752800,4985951614.16,0
1756819800000,2025-09-02,AMD,158.42,162.39,156.62,162.32,38656100,6274658435.13,0
1756474200000,2025-08-29,AMD,166.81,168.57,161.90,162.63,37516800,6101357367.19,0
1756387800000,2025-08-28,AMD,168.50,170.99,166.65,168.58,36285200,6116959082.44,0
1756301400000,2025-08-27,AMD,166.04,167.68,164.65,167.13,37031000,6188991210.82,0
1756215000000,2025-08-26,AMD,168.65,169.77,164.91,166.62,52138600,8687333277.42,0
1756128600000,2025-08-25,AMD,165.55,165.59,161.72,163.36,36134700,5902964614.05,0
1755869400000,2025-08-22,AMD,162.17,168.53,161.80,167.76,43998600,7381204894.31,0
1755783000000,2025-08-21,AMD,165.86,165.88,162.26,163.71,37880500,6201416909.32,0
1755696600000,2025-08-20,AMD,164.10,166.65,158.25,165.20,60233200,9950524456.18,0
1755610200000,2025-08-19,AMD,173.10,173.17,166.10,166.55,64455000,10734980446.70,0
1755523800000,2025-08-18,AMD,176.76,178.80,174.36,176.14,35937500,6330031228.07,0
1755264600000,2025-08-15,AMD,180.06,180.14,176.25,177.51,51543100,9149415397.87,0
1755178200000,2025-08-14,AMD,179.83,185.44,179.56,180.95,66308800,11998577157.64,0
1755091800000,2025-08-13,AMD,179.91,186.65,179.38,184.42,108305100,19973626343.69,0
1755005400000,2025-08-12,AMD,173.32,175.16,168.50,174.95,52243500,9140000165.57,0
1754919000000,2025-08-11,AMD,170.04,178.82,169.38,172.28,70651000,12171754193.76,0
1754659800000,2025-08-08,AMD,174.04,176.48,170.52,172.76,68866700,11897410713.70,0
1754573400000,2025-08-07,AMD,166.84,175.75,166.70,172.40,95448300,16455286337.43,0
1754487000000,2025-08-06,AMD,165.05,166.18,157.80,163.12,133641800,21799649763.45,0
1754400600000,2025-08-05,AMD,177.57,177.99,171.80,174.31,88808500,15480209418.18,0
1754314200000,2025-08-04,AMD,174.61,177.86,173.56,176.78,52951000,9360677715.36,0
1754055000000,2025-08-01,AMD,170.16,174.40,166.82,171.70,75396100,12945510139.91,0
1753968600000,2025-07-31,AMD,182.02,182.50,173.00,176.31,71765300,12652939867.79,0
1753882200000,2025-07-30,AMD,175.61,180.37,173.80,179.51,64820300,11635891696.93,0
1753795800000,2025-07-29,AMD,175.21,182.31,174.68,177.44,108154800,19190987976.05,0
1753709400000,2025-07-28,AMD,169.08,174.70,168.67,173.66,68267800,11855386398.00,0
1753450200000,2025-07-25,AMD,163.51,167.18,162.36,166.47,53432300,8894875046.22,0
1753363800000,2025-07-24,AMD,159.12,163.93,158.36,162.12,48440100,7853108775.48,0
1753277400000,2025-07-23,AMD,156.32,159.45,156.00,158.65,41510900,6585704031.64,0
1753191000000,2025-07-22,AMD,156.20,156.23,149.34,154.72,49028000,7585612219.85,0
1753104600000,2025-07-21,AMD,157.62,160.34,156.92,157.00,39021100,6126312700.00,0
1752845400000,2025-07-18,AMD,159.59,160.83,155.81,156.99,48859800,7670500270.39,0
1752759000000,2025-07-17,AMD,161.81,161.96,158.68,160.41,50605100,8117564276.32,0
1752672600000,2025-07-16,AMD,155.31,160.36,152.85,160.08,59492800,9523607532.93,0
1752586200000,2025-07-15,AMD,153.75,158.68,153.56,155.61,93370100,14529321317.99,0
1752499800000,2025-07-14,AMD,145.09,147.58,141.90,146.24,44718600,6539648309.65,0
1752240600000,2025-07-11,AMD,142.60,147.40,141.60,146.42,50049200,7328203772.36,0
1752154200000,2025-07-10,AMD,143.00,145.82,141.85,144.16,61101500,8808392463.76,0
1752067800000,2025-07-09,AMD,138.69,140.65,137.59,138.41,37013100,5122983306.55,0
1751981400000,2025-07-08,AMD,137.32,139.15,135.91,137.82,36124600,4978692636.58,0
1751895000000,2025-07-07,AMD,136.56,137.44,133.50,134.80,37395000,5040846114.12,0
1751549400000,2025-07-03,AMD,139.11,139.50,137.32,137.91,28646000,3950569964.90,0
1751463000000,2025-07-02,AMD,135.53,139.78,135.22,138.52,39228000,5433862727.60,0
1751376600000,2025-07-01,AMD,138.77,140.23,135.12,136.11,55257200,7521057525.73,0
1751290200000,2025-06-30,AMD,144.00,146.00,141.01,141.90,42972500,6097797487.72,0
1751031000000,2025-06-27,AMD,144.18,147.75,141.63,143.81,61937900,8907289247.78,0
1750944600000,2025-06-26,AMD,145.97,146.00,141.91,143.68,58180100,8359316341.88,0
1750858200000,2025-06-25,AMD,140.94,144.18,139.46,143.40,74607200,10698672024.63,0
1750771800000,2025-06-24,AMD,133.43,138.79,132.93,138.43,78572000,10876721384.52,0
1750685400000,2025-06-23,AMD,130.47,133.25,126.82,129.58,65152900,8442512901.30,0
1750426200000,2025-06-20,AMD,129.00,132.81,127.55,128.24,79931000,10250351879.07,0
1750253400000,2025-06-18,AMD,128.01,129.21,125.77,126.79,49627100,6292220054.43,0
1750167000000,2025-06-17,AMD,127.93,130.70,126.58,127.10,86623900,11009897557.82,0
1750080600000,2025-06-16,AMD,118.64,128.14,117.78,126.39,100968500,12761408653.37,0
1749821400000,2025-06-13,AMD,116.05,117.88,115.06,116.16,39702700,4611865777.40,0
1749735000000,2025-06-12,AMD,120.62,122.25,118.03,118.50,44718400,5299130400.00,0
1749648600000,2025-06-11,AMD,124.44,124.47,119.88,121.14,32261900,3908206546.31,0
1749562200000,2025-06-10,AMD,121.11,124.09,120.80,123.24,41691900,5138109666.94,0
1749475800000,2025-06-09,AMD,119.18,122.37,119.04,121.73,55437700,6748431407.10,0
1749216600000,2025-06-06,AMD,117.69,118.38,115.88,116.19,27042100,3142021665.02,0
1749130200000,2025-06-05,AMD,118.95,119.24,114.71,115.69,34091000,3943987873.23,0
1749043800000,2025-06-04,AMD,117.41,119.30,115.73,118.58,31025000,3678944556.81,0
1748957400000,2025-06-03,AMD,114.50,117.68,113.28,117.31,37161500,4359415474.27,0
1748871000000,2025-06-02,AMD,111.06,114.86,111.01,114.63,34078400,3906406898.40,0
1748611800000,2025-05-30,AMD,111.58,112.11,108.62,110.73,36088500,3996079726.15,0
1748525400000,2025-05-29,AMD,115.49,115.54,112.13,113.03,30501400,3447573204.77,0
1748439000000,2025-05-28,AMD,114.92,114.95,112.66,112.86,27483700,3101810398.77,0
1748352600000,2025-05-27,AMD,113.18,115.40,112.27,114.56,37885000,4340105507.51,0
1748007000000,2025-05-23,AMD,108.09,111.02,107.67,110.31,30867300,3404971787.64,0
1747920600000,2025-05-22,AMD,111.90,112.64,110.61,110.71,29252000,3238488893.22,0
1747834200000,2025-05-21,AMD,113.85,116.10,111.09,112.06,43594600,4885210769.57,0
1747747800000,2025-05-20,AMD,114.35,114.51,112.08,113.51,29030800,3295286170.02,0
1747661400000,2025-05-19,AMD,115.02,115.53,114.06,114.74,37737400,4329989195.38,0
1747402200000,2025-05-16,AMD,118.07,118.24,116.01,117.17,43419700,5087486169.50,0
1747315800000,2025-05-15,AMD,117.02,117.50,114.01,114.99,43843200,5041529474.34,0
1747229400000,2025-05-14,AMD,119.83,122.52,116.59,117.72,86743700,10211468469.89,0
1747143000000,2025-05-13,AMD,109.60,113.13,109.00,112.46,55659500,6259467319.04,0
1747056600000,2025-05-12,AMD,110.42,110.67,106.98,108.12,50543400,5464752546.82,0
1746797400000,2025-05-09,AMD,102.59,103.54,101.60,102.84,31704300,3260470095.90,0
1746711000000,2025-05-08,AMD,101.92,105.44,101.56,101.70,54231400,5515333214.50,0
1746624600000,2025-05-07,AMD,100.75,103.42,96.88,100.36,86474400,8678570836.78,0
1746538200000,2025-05-06,AMD,98.41,100.07,97.44,98.62,54264300,5351545415.04,0
