https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume AMZN,Volume USDT,tradecount
1774618200000,2026-03-27,AMZN,206.46,206.60,199.14,199.34,55855900,11134314901.45,0
1774531800000,2026-03-26,AMZN,210.61,212.89,207.12,207.54,46746000,9701664526.15,0
1774445400000,2026-03-25,AMZN,211.56,213.07,209.90,211.71,36388800,7703873092.31,0
1774359000000,2026-03-24,AMZN,207.95,209.35,206.64,207.24,35351400,7326224330.19,0
1774272600000,2026-03-23,AMZN,209.79,212.80,209.51,210.14,44277400,9304452808.98,0
1774013400000,2026-03-20,AMZN,207.40,207.54,204.32,205.37,63694600,13080959690.99,0
1773927000000,2026-03-19,AMZN,207.06,209.12,206.05,208.76,36440600,7607339455.83,0
1773840600000,2026-03-18,AMZN,213.93,215.14,208.83,209.87,37846600,7942865757.20,0
1773754200000,2026-03-17,AMZN,212.82,215.70,212.43,215.20,44969900,9677522342.76,0
1773667800000,2026-03-16,AMZN,208.35,212.72,207.45,211.74,42209300,8937397413.86,0
1773408600000,2026-03-13,AMZN,209.61,210.56,206.22,207.67,35662100,7405948241.70,0
1773322200000,2026-03-12,AMZN,210.39,211.71,208.15,209.53,44349500,9292550680.86,0
1773235800000,2026-03-11,AMZN,215.71,217.00,211.35,212.65,34199300,7272480936.26,0
1773149400000,2026-03-10,AMZN,214.19,215.65,212.43,214.33,35678800,7647037269.33,0
1773063000000,2026-03-09,AMZN,210.45,213.82,207.11,213.49,54642900,11665713021.16,0
1772807400000,2026-03-06,AMZN,214.99,217.32,212.53,213.21,51152700,10906267510.43,0
1772721000000,2026-03-05,AMZN,215.98,220.47,215.59,218.94,60943400,13342948144.79,0
1772634600000,2026-03-04,AMZN,210.47,217.54,210.15,216.82,54731100,11866797502.86,0
1772548200000,2026-03-03,AMZN,203.10,209.18,202.48,208.73,43184900,9013983992.49,0
1772461800000,2026-03-02,AMZN,204.55,209.73,203.46,208.39,46001000,9586148361.92,0
1772202600000,2026-02-27,AMZN,206.83,210.33,205.20,210.00,57422800,12058788000.00,0
1772116200000,2026-02-26,AMZN,210.73,211.05,205.35,207.92,47756800,9929593768.55,0
1772029800000,2026-02-25,AMZN,210.46,211.59,208.93,210.64,41346400,8709205670.76,0
1771943400000,2026-02-24,AMZN,205.47,210.36,203.25,208.56,41137200,8579574331.57,0
1771857000000,2026-02-23,AMZN,208.10,208.43,203.11,205.27,53581500,10998674733.92,0
1771597800000,2026-02-20,AMZN,204.76,211.17,203.75,210.11,65881600,13842383016.21,0
1771511400000,2026-02-19,AMZN,203.80,205.64,202.81,204.86,35669600,7307274277.77,0
1771425000000,2026-02-18,AMZN,202.07,206.86,201.51,204.79,51003300,10444965464.57,0
1771338600000,2026-02-17,AMZN,198.13,201.74,196.00,201.15,69879200,14056200653.49,0
1770993000000,2026-02-13,AMZN,198.88,201.16,197.28,198.79,66321600,13184070418.73,0
1770906600000,2026-02-12,AMZN,203.96,203.96,197.56,199.60,83975400,16761490352.55,0
1770820200000,2026-02-11,AMZN,208.06,208.57,202.49,204.08,65545500,13376525760.02,0
1770733800000,2026-02-10,AMZN,208.80,212.65,206.41,206.96,67175000,13902538451.00,0
1770647400000,2026-02-09,AMZN,208.97,212.81,203.35,208.72,91178400,19030755759.30,0
1770388200000,2026-02-06,AMZN,202.70,211.44,200.31,210.32,179210900,37691637800.58,0
1770301800000,2026-02-05,AMZN,224.91,226.31,220.38,222.69,103509200,23050464000.71,0
1770215400000,2026-02-04,AMZN,238.86,238.86,231.82,232.99,51299900,11952363982.80,0
