https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume APT,Volume USDT,tradecount
1688428800000,2023-07-04,APTUSDT,7.51300000,8.33700000,7.48800000,7.67590000,6446008.99000000,51649235.34668100,153005
1688515200000,2023-07-05,APTUSDT,7.67580000,7.95840000,7.28110000,7.43440000,3675331.47000000,27829108.02125900,85058
1688601600000,2023-07-06,APTUSDT,7.43460000,7.70590000,7.07430000,7.10660000,3255330.59000000,23977763.07409600,66854
1688688000000,2023-07-07,APTUSDT,7.10660000,7.28650000,7.01520000,7.22450000,2229220.37000000,16006731.96174200,47750
1688774400000,2023-07-08,APTUSDT,7.22450000,7.26370000,6.88870000,7.05750000,1929712.08000000,13682481.03697500,41974
1688860800000,2023-07-09,APTUSDT,7.05730000,7.25000000,7.00830000,7.09220000,1437897.37000000,10206424.33391400,30804
1688947200000,2023-07-10,APTUSDT,7.09630000,7.20310000,6.80400000,7.09210000,2577142.28000000,18087157.71239600,51735
1689033600000,2023-07-11,APTUSDT,7.09420000,7.13990000,6.90450000,7.04300000,1853995.08000000,13001378.69460400,36490
1689120000000,2023-07-12,APTUSDT,7.04280000,7.12870000,6.84000000,6.98220000,1987696.72000000,13940757.11209400,42695
1689206400000,2023-07-13,APTUSDT,6.98190000,7.70000000,6.92800000,7.57030000,4506740.97000000,33074839.09676400,100017
1689292800000,2023-07-14,APTUSDT,7.56940000,7.99000000,7.06620000,7.37120000,6765516.98000000,51313474.45089200,135588
1689379200000,2023-07-15,APTUSDT,7.37160000,7.56200000,7.24070000,7.46160000,2006020.91000000,14860457.12043100,41542
1689465600000,2023-07-16,APTUSDT,7.46130000,7.63310000,7.30220000,7.41020000,2134061.08000000,15969070.49293100,44512
1689552000000,2023-07-17,APTUSDT,7.40920000,7.94220000,7.36140000,7.81570000,4727698.60000000,36232906.28065000,102688
1689638400000,2023-07-18,APTUSDT,7.81740000,8.19480000,7.37800000,7.59530000,3446812.49000000,26743363.14845200,72059
1689724800000,2023-07-19,APTUSDT,7.59420000,7.71740000,7.43300000,7.54580000,1450064.99000000,10980123.52467100,32621
1689811200000,2023-07-20,APTUSDT,7.54820000,7.69570000,7.32610000,7.43110000,1660306.23000000,12493527.48255700,39850
1689897600000,2023-07-21,APTUSDT,7.43160000,7.60160000,7.35600000,7.54970000,1427343.38000000,10698285.94329000,32447
1689984000000,2023-07-22,APTUSDT,7.54900000,7.76320000,7.51810000,7.66410000,2089830.89000000,15964049.71458900,49080
1690070400000,2023-07-23,APTUSDT,7.66410000,7.79720000,7.50680000,7.57240000,1457296.35000000,11135942.71244900,31125
1690156800000,2023-07-24,APTUSDT,7.57200000,7.59380000,6.98930000,7.05280000,2563587.49000000,18552112.55205200,57313
1690243200000,2023-07-25,APTUSDT,7.05500000,7.07600000,6.84410000,6.97550000,1734385.37000000,12085453.54860500,40971
1690329600000,2023-07-26,APTUSDT,6.97590000,7.12670000,6.81870000,7.02080000,1824224.93000000,12745062.42869100,45850
1690416000000,2023-07-27,APTUSDT,7.02210000,7.14520000,6.91220000,7.07730000,1375695.07000000,9688388.43325400,36301
1690502400000,2023-07-28,APTUSDT,7.07570000,7.11450000,6.97470000,7.06910000,1009265.87000000,7117002.39382400,26160
1690588800000,2023-07-29,APTUSDT,7.06820000,7.14620000,7.04750000,7.13730000,600114.71000000,4258204.75468100,15860
1690675200000,2023-07-30,APTUSDT,7.13850000,7.19030000,6.84160000,7.01790000,1340634.70000000,9429055.76204300,32366
1690761600000,2023-07-31,APTUSDT,7.01670000,7.10000000,6.92900000,7.03380000,1008643.64000000,7086141.23868800,26880
1690848000000,2023-08-01,APTUSDT,7.03430000,7.08050000,6.75000000,7.06940000,1781616.46000000,12340877.20601900,39562
1690934400000,2023-08-02,APTUSDT,7.06970000,7.08890000,6.80510000,6.86160000,1285045.95000000,8909869.83058700,34868
1691020800000,2023-08-03,APTUSDT,6.86080000,6.92150000,6.70600000,6.77250000,1326895.20000000,9064169.50808600,33500
1691107200000,2023-08-04,APTUSDT,6.77300000,6.85200000,6.60160000,6.70170000,1396365.24000000,9416175.78810600,36564
1691193600000,2023-08-05,APTUSDT,6.70210000,6.74000000,6.62300000,6.72010000,767104.13000000,5125490.05493200,20780
1691280000000,2023-08-06,APTUSDT,6.72030000,6.81580000,6.67580000,6.71280000,1039889.59000000,7020735.72648000,26924
1691366400000,2023-08-07,APTUSDT,6.71370000,6.78790000,6.45000000,6.67220000,1628264.73000000,10791411.84124200,38657
1691452800000,2023-08-08,APTUSDT,6.67230000,6.77560000,6.60410000,6.70400000,1419857.26000000,9492550.16253800,29895
1691539200000,2023-08-09,APTUSDT,6.70120000,8.00000000,6.66560000,7.40940000,17599093.45000000,132941301.59173600,362966
1691625600000,2023-08-10,APTUSDT,7.40990000,7.62850000,7.12000000,7.16140000,5740988.44000000,42292032.63183400,127409
1691712000000,2023-08-11,APTUSDT,7.16420000,7.16690000,6.96000000,7.09520000,2268023.52000000,16052697.37478500,51331
1691798400000,2023-08-12,APTUSDT,7.09530000,7.23740000,7.07800000,7.19970000,1256599.37000000,8992441.18894500,34635
1691884800000,2023-08-13,APTUSDT,7.20000000,7.25040000,7.02550000,7.05420000,1482148.17000000,10612959.94696400,42506
1691971200000,2023-08-14,APTUSDT,7.05420000,7.14250000,6.98520000,7.07450000,1087883.68000000,7688851.94621600,26503
1692057600000,2023-08-15,APTUSDT,7.07410000,7.08020000,6.14270000,6.52880000,3034373.49000000,20408315.01595100,68292
1692144000000,2023-08-16,APTUSDT,6.52880000,6.54380000,5.95780000,6.18330000,4948479.89000000,31187148.40918200,105667
1692230400000,2023-08-17,APTUSDT,6.18470000,6.32600000,4.93000000,5.68180000,5056035.87000000,29883166.23477100,137167
1692316800000,2023-08-18,APTUSDT,5.68290000,5.90510000,5.47440000,5.83170000,4019686.21000000,23050842.06942100,69386
1692403200000,2023-08-19,APTUSDT,5.83080000,6.07410000,5.81910000,6.01980000,1931740.90000000,11528232.27379400,31307
1692489600000,2023-08-20,APTUSDT,6.01980000,6.18770000,5.92230000,6.06910000,1647947.72000000,9948633.44705100,25957
1692576000000,2023-08-21,APTUSDT,6.06820000,6.08810000,5.76170000,5.94450000,1572069.03000000,9321165.89367700,27585
1692662400000,2023-08-22,APTUSDT,5.94450000,5.97680000,5.60990000,5.84660000,1668514.97000000,9714212.12265000,43557
1692748800000,2023-08-23,APTUSDT,5.84850000,6.13550000,5.82130000,6.01850000,1878796.35000000,11213198.22514000,39520
1692835200000,2023-08-24,APTUSDT,6.01860000,6.05800000,5.71100000,5.81820000,1287662.50000000,7580921.40151000,31438
1692921600000,2023-08-25,APTUSDT,5.81710000,5.82550000,5.57270000,5.69030000,1498516.39000000,8477054.39587100,37352
1693008000000,2023-08-26,APTUSDT,5.69020000,5.77950000,5.65680000,5.72500000,707468.17000000,4051990.60869800,17973
1693094400000,2023-08-27,APTUSDT,5.72420000,5.77890000,5.64190000,5.70070000,979035.59000000,5591635.39360400,22708
1693180800000,2023-08-28,APTUSDT,5.70110000,5.75240000,5.52990000,5.73010000,1314929.62000000,7431222.87760900,32869
1693267200000,2023-08-29,APTUSDT,5.72910000,5.98000000,5.57810000,5.90410000,2447950.80000000,14276184.59451200,59718
1693353600000,2023-08-30,APTUSDT,5.90490000,5.98880000,5.72570000,5.78230000,1477941.91000000,8652210.43522800,33950
1693440000000,2023-08-31,APTUSDT,5.78380000,5.81020000,5.44010000,5.51410000,1655991.57000000,9327959.72222900,43112
1693526400000,2023-09-01,APTUSDT,5.51300000,5.57030000,5.38310000,5.50210000,1122065.70000000,6166117.85442600,31888
1693612800000,2023-09-02,APTUSDT,5.50210000,5.65540000,5.49020000,5.57360000,1090077.66000000,6085390.77779200,27658
1693699200000,2023-09-03,APTUSDT,5.57250000,5.58570000,5.41200000,5.46640000,700929.20000000,3856057.70405500,18291
1693785600000,2023-09-04,APTUSDT,5.46700000,5.58070000,5.42510000,5.51250000,986350.53000000,5436842.18509000,25968
1693872000000,2023-09-05,APTUSDT,5.51430000,5.55500000,5.40760000,5.52980000,841185.96000000,4617139.67350100,22299
1693958400000,2023-09-06,APTUSDT,5.53030000,5.59250000,5.38680000,5.53350000,1171140.93000000,6427806.45144100,30980
1694044800000,2023-09-07,APTUSDT,5.53350000,5.67320000,5.47800000,5.63700000,1518488.55000000,8484856.23480900,33830
1694131200000,2023-09-08,APTUSDT,5.63870000,5.67250000,5.43500000,5.51870000,1164621.94000000,6452902.15698400,31584
1694217600000,2023-09-09,APTUSDT,5.51870000,5.53380000,5.44740000,5.47850000,529316.32000000,2906698.70626200,20382
1694304000000,2023-09-10,APTUSDT,5.47910000,5.48330000,5.10000000,5.17150000,2180468.65000000,11478373.50553500,61540
1694390400000,2023-09-11,APTUSDT,5.17150000,5.18800000,4.89000000,5.01210000,2606373.25000000,13068442.72535300,69356
1694476800000,2023-09-12,APTUSDT,5.01210000,5.22660000,4.96660000,5.03850000,1937077.95000000,9854451.68875100,46286
1694563200000,2023-09-13,APTUSDT,5.03870000,5.34660000,5.02310000,5.18410000,2505433.01000000,13038168.20782100,51251
1694649600000,2023-09-14,APTUSDT,5.18490000,5.31880000,5.13330000,5.21990000,1647664.89000000,8582286.73467700,36933
1694736000000,2023-09-15,APTUSDT,5.21880000,5.30890000,5.11110000,5.26930000,1268795.12000000,6622157.66558200,32478
1694822400000,2023-09-16,APTUSDT,5.26960000,5.36260000,5.24560000,5.32000000,1208915.47000000,6412292.05807200,32727
1694908800000,2023-09-17,APTUSDT,5.31810000,5.33310000,5.15870000,5.22650000,1490297.91000000,7811708.61321600,34638
1694995200000,2023-09-18,APTUSDT,5.22710000,5.37430000,5.15860000,5.18320000,2174451.53000000,11433001.60995900,47995
1695081600000,2023-09-19,APTUSDT,5.18290000,5.27840000,5.11520000,5.22100000,1713803.92000000,8895709.82937000,40153
1695168000000,2023-09-20,APTUSDT,5.22370000,5.25810000,5.06520000,5.16830000,1139688.99000000,5878399.70905700,30543
1695254400000,2023-09-21,APTUSDT,5.16920000,5.24300000,5.03060000,5.09580000,1195793.63000000,6130415.21459700,31205
1695340800000,2023-09-22,APTUSDT,5.09530000,5.15670000,5.04470000,5.13040000,1080456.01000000,5532890.34674100,18253
1695427200000,2023-09-23,APTUSDT,5.13080000,5.19410000,5.07000000,5.14940000,823788.60000000,4231608.14924600,15572
1695513600000,2023-09-24,APTUSDT,5.14920000,5.49000000,5.09950000,5.32460000,5644791.84000000,29975594.98442200,116373
1695600000000,2023-09-25,APTUSDT,5.32400000,5.83120000,5.29220000,5.56580000,8015852.41000000,44524447.34372500,233525
1695686400000,2023-09-26,APTUSDT,5.56620000,5.66520000,5.18810000,5.31280000,3635474.00000000,19785083.15618100,90417
1695772800000,2023-09-27,APTUSDT,5.31480000,5.35000000,5.20880000,5.32050000,3354048.47000000,17703759.56561000,60534
1695859200000,2023-09-28,APTUSDT,5.32180000,5.41110000,5.27100000,5.33010000,5475501.37000000,29242750.12050000,76096
1695945600000,2023-09-29,APTUSDT,5.33100000,5.56760000,5.31730000,5.39950000,4713309.28000000,25633410.34345900,66795
1696032000000,2023-09-30,APTUSDT,5.39860000,5.51430000,5.31970000,5.48850000,2751457.47000000,14909211.69295200,37198
1696118400000,2023-10-01,APTUSDT,5.48760000,5.70530000,5.44700000,5.67190000,3728076.45000000,20713241.25435500,49312
1696204800000,2023-10-02,APTUSDT,5.67440000,5.76150000,5.33010000,5.44030000,5080899.35000000,28346261.38232800,68943
1696291200000,2023-10-03,APTUSDT,5.44100000,5.46220000,5.31580000,5.34920000,1661344.56000000,8944440.38274400,32157
1696377600000,2023-10-04,APTUSDT,5.34750000,5.34750000,5.11000000,5.32270000,1861941.62000000,9781314.91842900,38401
1696464000000,2023-10-05,APTUSDT,5.32130000,5.36630000,5.20680000,5.22000000,869097.81000000,4594972.06216800,20619
1696550400000,2023-10-06,APTUSDT,5.22300000,5.37530000,5.20340000,5.32980000,983669.54000000,5197228.82686500,16880
1696636800000,2023-10-07,APTUSDT,5.32950000,5.36510000,5.23110000,5.27600000,663729.57000000,3509790.02426600,13554
1696723200000,2023-10-08,APTUSDT,5.27600000,5.29530000,5.19300000,5.19850000,577197.50000000,3020095.91382300,12045
1696809600000,2023-10-09,APTUSDT,5.19860000,5.22350000,4.80000000,4.96240000,1912911.13000000,9584668.11739600,40882
1696896000000,2023-10-10,APTUSDT,4.96430000,5.00080000,4.81880000,4.91480000,1230064.24000000,6050105.64608600,26605
1696982400000,2023-10-11,APTUSDT,4.91600000,4.93910000,4.70000000,4.84340000,1535200.38000000,7399113.74693800,30938
1697068800000,2023-10-12,APTUSDT,4.83830000,4.94480000,4.71230000,4.83720000,1647230.71000000,7969364.77258500,29239
1697155200000,2023-10-13,APTUSDT,4.83660000,5.04620000,4.80330000,4.89650000,1334207.25000000,6503618.47905200,25388
1697241600000,2023-10-14,APTUSDT,4.89650000,4.97210000,4.89000000,4.94620000,724943.54000000,3576330.76395200,14257
1697328000000,2023-10-15,APTUSDT,4.94590000,4.96270000,4.85480000,4.92830000,960413.15000000,4713606.74976700,23320
1697414400000,2023-10-16,APTUSDT,4.92820000,5.24610000,4.90460000,5.05850000,2395666.43000000,12095974.15245100,46358
1697500800000,2023-10-17,APTUSDT,5.05780000,5.16210000,4.86200000,5.00630000,2742524.05000000,13847912.93331700,46984
1697587200000,2023-10-18,APTUSDT,5.00590000,5.05180000,4.88880000,4.94160000,1507357.26000000,7486357.00274400,28258
1697673600000,2023-10-19,APTUSDT,4.94160000,5.05040000,4.79240000,4.90810000,2836029.90000000,13988500.19405500,48308
1697760000000,2023-10-20,APTUSDT,4.90770000,5.20940000,4.89000000,5.05040000,2094413.58000000,10629294.14143900,40303
