https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ARB,Volume USDT,tradecount
1688428800000,2023-07-04,ARBUSDT,1.16930000,1.19800000,1.14260000,1.14880000,46515719.20000000,54483082.52147000,112283
1688515200000,2023-07-05,ARBUSDT,1.14870000,1.15720000,1.08500000,1.11170000,43694827.30000000,49042621.27454000,112059
1688601600000,2023-07-06,ARBUSDT,1.11170000,1.14480000,1.05800000,1.06780000,52476837.50000000,58174058.79564000,146691
1688688000000,2023-07-07,ARBUSDT,1.06790000,1.13380000,1.05710000,1.13160000,53835791.60000000,59542730.01668000,151823
1688774400000,2023-07-08,ARBUSDT,1.13170000,1.15050000,1.11050000,1.12470000,33248410.00000000,37617760.16966000,85823
1688860800000,2023-07-09,ARBUSDT,1.12470000,1.14300000,1.12110000,1.12450000,37628437.30000000,42651619.39819000,80581
1688947200000,2023-07-10,ARBUSDT,1.12450000,1.14430000,1.09450000,1.11930000,40698798.90000000,45502635.95973000,105708
1689033600000,2023-07-11,ARBUSDT,1.11920000,1.13410000,1.11000000,1.12720000,29744788.40000000,33360067.93257000,70342
1689120000000,2023-07-12,ARBUSDT,1.12720000,1.13930000,1.10820000,1.12190000,43186392.30000000,48712598.69601000,91334
1689206400000,2023-07-13,ARBUSDT,1.12180000,1.25000000,1.11180000,1.22370000,83084202.00000000,98737457.11305000,220282
1689292800000,2023-07-14,ARBUSDT,1.22360000,1.34000000,1.16440000,1.21440000,143164569.70000000,177034647.76025000,399819
1689379200000,2023-07-15,ARBUSDT,1.21440000,1.33400000,1.20430000,1.27100000,94883634.50000000,120584521.95840000,242865
1689465600000,2023-07-16,ARBUSDT,1.27110000,1.31070000,1.23410000,1.27120000,53253421.40000000,68046558.02618000,149306
1689552000000,2023-07-17,ARBUSDT,1.27110000,1.34990000,1.25040000,1.30520000,88908688.40000000,115579619.91977000,257141
1689638400000,2023-07-18,ARBUSDT,1.30500000,1.33100000,1.21310000,1.24510000,73200138.90000000,93094296.60309000,203552
1689724800000,2023-07-19,ARBUSDT,1.24450000,1.29760000,1.23110000,1.26670000,52113365.10000000,65937001.16680000,131045
1689811200000,2023-07-20,ARBUSDT,1.26660000,1.31200000,1.24760000,1.26140000,57556923.50000000,73619564.54870000,143924
1689897600000,2023-07-21,ARBUSDT,1.26150000,1.29800000,1.23030000,1.23300000,45272669.90000000,57102812.49472000,96308
