https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BA,Volume USDT,tradecount
1774618200000,2026-03-27,BA,192.93,193.64,189.28,190.52,5991700,1141538709.60,0
1774531800000,2026-03-26,BA,197.30,198.24,194.27,194.36,5772600,1121962539.52,0
1774445400000,2026-03-25,BA,198.19,200.75,198.00,199.61,5055900,1009208202.09,0
1774359000000,2026-03-24,BA,196.11,197.62,194.36,196.42,5691800,1117983345.58,0
1774272600000,2026-03-23,BA,198.91,201.69,197.19,198.41,6247900,1239645861.88,0
1774013400000,2026-03-20,BA,201.05,201.99,192.54,195.12,12925400,2522003984.89,0
1773927000000,2026-03-19,BA,203.05,203.05,197.46,201.18,9967600,2005281695.00,0
1773840600000,2026-03-18,BA,209.00,210.50,205.75,205.99,5881900,1211612613.31,0
1773754200000,2026-03-17,BA,214.68,217.15,206.67,210.82,7308100,1540693695.53,0
1773667800000,2026-03-16,BA,210.75,216.15,210.75,213.47,7347100,1568385445.97,0
1773408600000,2026-03-13,BA,205.00,210.84,204.92,209.89,8926600,1873604068.55,0
1773322200000,2026-03-12,BA,212.21,212.61,204.30,204.76,10758600,2202930876.90,0
1773235800000,2026-03-11,BA,217.94,217.94,213.53,214.10,7937400,1699397388.45,0
1773149400000,2026-03-10,BA,224.10,226.11,217.03,217.76,9285300,2021966876.99,0
1773063000000,2026-03-09,BA,226.75,227.59,220.45,225.00,8400100,1890022500.00,0
1772807400000,2026-03-06,BA,219.48,231.96,218.64,231.11,10684700,2469341023.52,0
1772721000000,2026-03-05,BA,226.12,227.68,218.13,222.06,7199300,1598676540.42,0
1772634600000,2026-03-04,BA,226.38,227.53,221.79,227.31,5068700,1152166184.63,0
1772548200000,2026-03-03,BA,225.75,226.50,221.11,224.12,6211600,1392143761.67,0
1772461800000,2026-03-02,BA,226.00,230.23,223.62,229.74,4709000,1081845685.87,0
1772202600000,2026-02-27,BA,227.47,228.80,224.91,227.53,6278100,1428456085.34,0
1772116200000,2026-02-26,BA,230.38,230.66,225.67,229.41,4613300,1058337169.89,0
1772029800000,2026-02-25,BA,234.10,234.16,229.19,230.36,4442600,1023397338.71,0
1771943400000,2026-02-24,BA,229.27,236.13,228.39,233.39,4408900,1028993168.31,0
1771857000000,2026-02-23,BA,231.50,233.50,227.46,230.44,5380000,1239767213.13,0
1771597800000,2026-02-20,BA,232.63,236.08,231.14,232.03,5460900,1267092620.33,0
1771511400000,2026-02-19,BA,238.91,240.00,233.42,233.71,5827500,1361945064.13,0
1771425000000,2026-02-18,BA,244.55,245.08,238.60,238.93,4923000,1176252353.94,0
1771338600000,2026-02-17,BA,243.61,245.42,238.93,244.04,4864700,1187181355.34,0
1770993000000,2026-02-13,BA,241.24,246.51,240.72,242.96,6835400,1660728829.89,0
1770906600000,2026-02-12,BA,239.26,245.67,235.97,239.35,6980800,1670854522.61,0
1770820200000,2026-02-11,BA,244.48,244.70,235.50,236.26,5791000,1368181628.19,0
1770733800000,2026-02-10,BA,245.00,247.86,240.86,242.59,5184400,1257683577.01,0
1770647400000,2026-02-09,BA,242.00,245.84,240.50,244.71,4707200,1151898943.60,0
1770388200000,2026-02-06,BA,239.40,246.30,239.40,243.03,6701200,1628592627.82,0
1770301800000,2026-02-05,BA,234.11,240.33,232.60,236.95,7377300,1748051212.49,0
1770215400000,2026-02-04,BA,233.24,236.57,229.91,235.95,7053400,1664249708.47,0
1770129000000,2026-02-03,BA,236.42,238.85,228.96,233.15,7655200,1784809833.28,0
1770042600000,2026-02-02,BA,232.64,236.29,230.33,233.02,6105300,1422657032.08,0
1769783400000,2026-01-30,BA,233.50,234.65,229.94,233.72,6916100,1616430900.44,0
1769697000000,2026-01-29,BA,242.08,243.77,233.35,234.04,9142500,2139710638.62,0
1769610600000,2026-01-28,BA,244.09,245.86,237.10,241.59,9999200,2415706691.38,0
1769524200000,2026-01-27,BA,242.50,254.35,238.75,244.56,20509200,5015729901.93,0
1769437800000,2026-01-26,BA,251.49,251.59,247.41,248.43,8469200,2104003293.97,0
1769178600000,2026-01-23,BA,252.74,253.77,249.02,252.15,7078700,1784894161.80,0
1769092200000,2026-01-22,BA,252.00,254.14,249.78,251.41,9742600,2449387101.68,0
1769005800000,2026-01-21,BA,248.89,251.31,244.68,250.07,8160700,2040746308.77,0
1768919400000,2026-01-20,BA,244.40,249.52,243.70,249.00,11293200,2812006800.00,0
1768573800000,2026-01-16,BA,247.75,248.19,244.96,247.68,5944200,1472259412.46,0
1768487400000,2026-01-15,BA,244.38,248.75,243.97,247.74,6517200,1614571163.80,0
