https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume COIN,Volume USDT,tradecount
1774618200000,2026-03-27,COIN,168.05,168.74,159.83,161.14,12252600,1974383956.52,0
1774531800000,2026-03-26,COIN,177.00,179.75,171.93,173.38,9402600,1630222833.91,0
1774445400000,2026-03-25,COIN,184.58,190.71,180.06,181.10,10432500,1889325813.67,0
1774359000000,2026-03-24,COIN,199.10,201.76,177.60,181.04,20833000,3771606180.13,0
1774272600000,2026-03-23,COIN,198.60,203.95,196.11,200.62,12466500,2501029169.13,0
1774013400000,2026-03-20,COIN,202.50,203.30,194.79,197.50,13305100,2627757250.00,0
1773927000000,2026-03-19,COIN,195.34,205.50,191.87,202.91,9273000,1881584463.96,0
1773840600000,2026-03-18,COIN,206.77,209.00,201.14,202.29,12602200,2549298953.39,0
1773754200000,2026-03-17,COIN,202.27,213.47,202.13,210.23,11948000,2511827988.95,0
1773667800000,2026-03-16,COIN,201.81,206.44,198.62,203.32,13054000,2654139375.61,0
1773408600000,2026-03-13,COIN,203.76,207.13,193.84,195.53,12137100,2373167148.18,0
1773322200000,2026-03-12,COIN,196.13,198.00,192.46,193.23,7967100,1539482698.96,0
1773235800000,2026-03-11,COIN,197.51,203.10,192.52,198.63,9531700,1893281617.54,0
1773149400000,2026-03-10,COIN,204.43,206.01,194.75,196.52,10846100,2131475618.34,0
1773063000000,2026-03-09,COIN,198.00,203.49,192.63,199.79,12064600,2410386353.00,0
1772807400000,2026-03-06,COIN,197.76,202.74,194.66,197.22,11504900,2268996392.04,0
1772721000000,2026-03-05,COIN,205.75,213.50,201.50,205.71,15036600,3093179086.95,0
1772634600000,2026-03-04,COIN,195.91,212.07,195.40,208.93,27200300,5682958479.78,0
1772548200000,2026-03-03,COIN,177.18,186.30,172.05,182.36,12828800,2339459975.83,0
1772461800000,2026-03-02,COIN,172.50,186.35,172.22,185.24,12306800,2279711699.60,0
1772202600000,2026-02-27,COIN,175.35,179.06,171.81,175.85,11427900,2009596284.75,0
1772116200000,2026-02-26,COIN,181.44,186.39,176.75,181.06,12746600,2307899364.88,0
1772029800000,2026-02-25,COIN,171.78,185.82,169.75,183.94,23793900,4376650024.09,0
1771943400000,2026-02-24,COIN,155.84,162.28,152.70,162.03,10442900,1692063074.25,0
1771857000000,2026-02-23,COIN,166.16,168.10,158.66,160.24,12685500,2032724589.68,0
1771597800000,2026-02-20,COIN,164.88,175.55,164.12,171.35,13692200,2346158553.57,0
1771511400000,2026-02-19,COIN,162.42,167.58,161.12,165.94,8001700,1327802117.54,0
1771425000000,2026-02-18,COIN,165.40,173.88,163.15,164.05,13792200,2262610452.09,0
1771338600000,2026-02-17,COIN,162.48,170.54,158.40,166.02,16770600,2784255083.65,0
1770993000000,2026-02-13,COIN,153.70,167.65,146.16,164.32,32410100,5325627869.38,0
1770906600000,2026-02-12,COIN,153.10,153.20,139.36,141.09,19986100,2819838775.81,0
1770820200000,2026-02-11,COIN,157.70,158.10,148.85,153.20,13923800,2133126117.51,0
1770733800000,2026-02-10,COIN,162.56,167.92,161.86,162.51,8835200,1435808303.47,0
1770647400000,2026-02-09,COIN,160.10,167.57,159.01,167.25,10618500,1775944125.00,0
1770388200000,2026-02-06,COIN,154.56,165.52,151.57,165.12,19776100,3265429535.44,0
1770301800000,2026-02-05,COIN,160.43,165.00,145.16,146.12,29610500,4326686115.42,0
1770215400000,2026-02-04,COIN,176.11,176.75,164.42,168.62,16627600,2803745830.81,0
1770129000000,2026-02-03,COIN,188.68,188.68,174.05,179.66,12610300,2265566544.18,0
1770042600000,2026-02-02,COIN,189.81,190.94,185.08,187.86,12288700,2308555189.50,0
1769783400000,2026-01-30,COIN,198.70,198.96,190.96,194.74,9635400,1876397848.93,0
1769697000000,2026-01-29,COIN,206.82,207.00,194.21,199.18,14604300,2908884367.03,0
1769610600000,2026-01-28,COIN,213.28,214.39,206.80,209.43,9046600,1894629371.74,0
1769524200000,2026-01-27,COIN,213.48,213.56,207.77,210.83,7465500,1573951378.67,0
1769437800000,2026-01-26,COIN,212.18,215.64,210.89,213.48,7077500,1510904669.76,0
1769178600000,2026-01-23,COIN,222.75,222.75,215.72,216.95,12975100,2814947905.40,0
1769092200000,2026-01-22,COIN,228.53,230.75,223.02,223.14,7088800,1581794827.67,0
1769005800000,2026-01-21,COIN,228.76,231.45,222.40,226.93,8476500,1923572082.92,0
1768919400000,2026-01-20,COIN,232.64,234.90,225.96,227.73,9757900,2222166525.31,0
1768573800000,2026-01-16,COIN,239.49,243.19,236.14,241.15,7622400,1838141713.48,0
1768487400000,2026-01-15,COIN,250.59,251.20,237.43,239.28,12098900,2895024777.23,0
1768401000000,2026-01-14,COIN,256.92,263.07,253.00,255.86,10804500,2764439376.59,0
1768314600000,2026-01-13,COIN,245.50,255.51,244.65,252.69,9027000,2281032652.04,0
1768228200000,2026-01-12,COIN,239.63,248.00,238.04,242.98,5957300,1447504728.55,0
1767969000000,2026-01-09,COIN,246.07,246.90,237.15,240.78,8104500,1951401500.11,0
1767882600000,2026-01-08,COIN,244.62,250.38,242.25,245.59,6897200,1693883322.74,0
1767796200000,2026-01-07,COIN,248.28,248.94,240.25,245.93,7488900,1841745122.15,0
1767709800000,2026-01-06,COIN,255.21,258.35,245.72,250.56,8672500,2172981578.83,0
1767623400000,2026-01-05,COIN,247.11,258.88,246.53,254.92,13695300,3491205850.92,0
1767364200000,2026-01-02,COIN,230.60,238.49,225.91,236.53,8760200,2072050095.31,0
1767191400000,2025-12-31,COIN,231.22,232.39,225.47,226.14,6678200,1510208143.92,0
1767105000000,2025-12-30,COIN,233.65,236.06,231.50,231.60,5652100,1309026394.50,0
1767018600000,2025-12-29,COIN,234.36,239.89,232.78,233.77,6362600,1487385029.18,0
1766759400000,2025-12-26,COIN,240.40,240.49,232.81,236.90,5925700,1403798293.83,0
1766586600000,2025-12-24,COIN,240.28,241.00,237.14,239.73,3869000,927515353.47,0
1766500200000,2025-12-23,COIN,243.25,245.20,238.80,242.30,7004200,1697117681.38,0
1766413800000,2025-12-22,COIN,251.68,254.87,247.43,247.90,6233100,1545185451.96,0
1766154600000,2025-12-19,COIN,244.58,247.00,240.85,245.12,10613000,2601458508.18,0
1766068200000,2025-12-18,COIN,253.10,255.41,239.10,239.20,9291500,2222526771.64,0
1765981800000,2025-12-17,COIN,254.78,259.55,243.70,244.19,8429500,2058399625.58,0
1765895400000,2025-12-16,COIN,253.56,257.00,250.32,252.61,6907400,1744878318.22,0
1765809000000,2025-12-15,COIN,267.99,268.58,246.80,250.42,10885700,2725996974.07,0
1765549800000,2025-12-12,COIN,271.66,278.20,263.16,267.46,8180300,2187902968.10,0
