https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume CRM,Volume USDT,tradecount
1774618200000,2026-03-27,CRM,184.00,184.11,178.82,179.31,9894100,1774111046.84,0
1774531800000,2026-03-26,CRM,181.18,187.47,179.53,185.64,10330700,1917791141.69,0
1774445400000,2026-03-25,CRM,185.70,187.39,179.85,181.96,12565200,2286363876.36,0
1774359000000,2026-03-24,CRM,192.14,192.14,182.29,183.02,18631400,3409918907.60,0
1774272600000,2026-03-23,CRM,197.09,198.05,192.00,195.18,13976200,2727874613.64,0
1774013400000,2026-03-20,CRM,193.21,195.67,190.00,195.38,20201100,3946891016.64,0
1773927000000,2026-03-19,CRM,195.59,200.40,193.30,194.99,9254300,1804496007.84,0
1773840600000,2026-03-18,CRM,193.40,196.15,192.64,194.34,10525100,2045447895.46,0
1773754200000,2026-03-17,CRM,198.22,202.38,194.45,195.31,11559300,2257646854.78,0
1773667800000,2026-03-16,CRM,195.15,198.63,195.15,198.34,13419600,2661643414.86,0
1773408600000,2026-03-13,CRM,199.73,201.00,191.75,192.83,14834700,2860575228.16,0
1773322200000,2026-03-12,CRM,194.13,204.86,193.15,199.28,26309700,5242996983.88,0
1773235800000,2026-03-11,CRM,196.40,199.55,191.29,194.13,9580000,1859765446.78,0
1773149400000,2026-03-10,CRM,197.26,199.57,190.60,194.91,14467400,2819840986.98,0
1773063000000,2026-03-09,CRM,198.56,203.67,195.87,198.79,10754800,2137946619.79,0
1772807400000,2026-03-06,CRM,200.79,202.96,197.37,202.11,9657400,1951857119.89,0
1772721000000,2026-03-05,CRM,194.36,204.42,194.24,201.39,15860900,3194226641.32,0
1772634600000,2026-03-04,CRM,195.10,196.47,192.10,193.08,11583700,2236580817.21,0
1772548200000,2026-03-03,CRM,190.75,198.67,189.58,196.05,13208900,2589604885.31,0
1772461800000,2026-03-02,CRM,192.50,195.94,190.68,192.95,9932700,1916514434.69,0
1772202600000,2026-02-27,CRM,191.91,195.92,189.92,194.79,16346500,3184134625.25,0
1772116200000,2026-02-26,CRM,196.76,201.04,191.33,199.47,26680500,5321959367.57,0
1772029800000,2026-02-25,CRM,183.00,192.60,182.26,191.75,21875100,4194550425.00,0
1771943400000,2026-02-24,CRM,177.64,188.67,176.28,185.42,15564700,2886006645.50,0
1771857000000,2026-02-23,CRM,181.27,182.47,174.57,178.16,15498600,2761230632.76,0
1771597800000,2026-02-20,CRM,185.32,191.73,183.73,185.16,10816200,2002727631.61,0
1771511400000,2026-02-19,CRM,186.60,186.95,183.23,185.29,9565100,1772317314.78,0
1771425000000,2026-02-18,CRM,183.88,188.14,181.86,187.79,9852900,1850276024.85,0
1771338600000,2026-02-17,CRM,190.97,193.00,183.17,184.29,13692900,2523464449.07,0
1770993000000,2026-02-13,CRM,186.44,193.45,184.30,189.72,14822900,2812200606.09,0
1770906600000,2026-02-12,CRM,185.96,188.32,180.24,185.43,16849100,3124328489.59,0
1770820200000,2026-02-11,CRM,193.15,193.67,181.81,185.00,16350200,3024787000.00,0
1770733800000,2026-02-10,CRM,191.90,199.10,190.75,193.45,13393000,2590875809.13,0
1770647400000,2026-02-09,CRM,189.30,195.20,185.73,194.03,12112000,2350091345.21,0
1770388200000,2026-02-06,CRM,191.63,194.60,187.12,191.35,13652600,2612425093.33,0
1770301800000,2026-02-05,CRM,193.99,199.56,188.79,189.97,21956300,4171038337.80,0
1770215400000,2026-02-04,CRM,193.31,200.67,187.28,199.44,23010000,4589114456.18,0
1770129000000,2026-02-03,CRM,205.00,205.56,193.11,196.38,20194200,3965737094.60,0
1770042600000,2026-02-02,CRM,214.35,216.89,209.80,210.81,7950900,1676129209.59,0
1769783400000,2026-01-30,CRM,214.16,215.55,211.03,212.29,11090400,2354380941.54,0
1769697000000,2026-01-29,CRM,216.67,217.28,208.78,214.08,18555600,3972382881.98,0
1769610600000,2026-01-28,CRM,229.39,231.86,227.67,227.96,8465900,1929886620.84,0
1769524200000,2026-01-27,CRM,231.94,235.74,226.27,228.53,9838400,2248369539.99,0
1769437800000,2026-01-26,CRM,229.43,230.95,227.59,229.40,7239600,1660764195.81,0
1769178600000,2026-01-23,CRM,226.78,230.85,226.65,228.05,9408000,2145494428.71,0
1769092200000,2026-01-22,CRM,222.24,228.72,221.11,228.09,9483000,2162977435.27,0
1769005800000,2026-01-21,CRM,220.15,223.39,218.96,221.58,12616600,2795586251.10,0
1768919400000,2026-01-20,CRM,223.54,227.94,219.36,220.07,13050800,2872089651.59,0
1768573800000,2026-01-16,CRM,232.95,232.95,226.44,227.11,13902600,3157419494.49,0
1768487400000,2026-01-15,CRM,237.02,238.84,231.67,233.53,11489600,2683166273.97,0
1768401000000,2026-01-14,CRM,239.18,242.24,236.46,239.57,10149300,2431467875.34,0
1768314600000,2026-01-13,CRM,257.66,260.91,240.36,241.06,13661000,3293120626.65,0
1768228200000,2026-01-12,CRM,259.00,261.56,255.77,259.40,4927700,1278245349.92,0
1767969000000,2026-01-09,CRM,260.00,261.03,256.51,259.94,5174400,1345033548.63,0
1767882600000,2026-01-08,CRM,264.40,265.20,260.41,260.53,5243500,1366089048.60,0
1767796200000,2026-01-07,CRM,263.50,267.83,263.50,266.12,5976200,1590386314.82,0
1767709800000,2026-01-06,CRM,255.20,263.55,255.00,262.90,6103300,1604557532.75,0
1767623400000,2026-01-05,CRM,253.62,259.59,252.31,256.26,6421500,1645573652.71,0
1767364200000,2026-01-02,CRM,265.00,265.38,252.48,253.62,9680600,2455193724.73,0
1767191400000,2025-12-31,CRM,265.29,266.10,264.39,264.91,3367900,892190401.33,0
1767105000000,2025-12-30,CRM,266.66,268.28,265.33,265.92,3291800,875355500.20,0
1767018600000,2025-12-29,CRM,264.71,269.11,264.71,266.23,4300100,1144815670.24,0
1766759400000,2025-12-26,CRM,264.80,267.91,264.80,266.08,2456400,653598879.02,0
1766586600000,2025-12-24,CRM,263.23,266.30,262.55,265.26,2076600,550838936.28,0
1766500200000,2025-12-23,CRM,262.72,264.24,260.52,263.43,4745100,1250001658.25,0
