https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume DIS,Volume USDT,tradecount
1774618200000,2026-03-27,DIS,94.19,94.19,92.19,92.42,12470700,1152542071.17,0
1774531800000,2026-03-26,DIS,95.12,96.40,94.59,94.75,8548800,809998800.00,0
1774445400000,2026-03-25,DIS,96.82,97.18,95.06,95.95,8467500,812456599.16,0
1774359000000,2026-03-24,DIS,97.74,98.05,96.25,96.39,9155700,882517917.41,0
1774272600000,2026-03-23,DIS,100.22,100.60,97.86,97.95,11373000,1113985315.29,0
1774013400000,2026-03-20,DIS,99.01,100.03,98.39,99.51,27544200,2740923400.84,0
1773927000000,2026-03-19,DIS,99.03,100.78,98.44,99.20,14793800,1467544914.85,0
1773840600000,2026-03-18,DIS,99.84,101.02,99.00,99.42,12615100,1254193218.90,0
1773754200000,2026-03-17,DIS,99.17,100.71,99.02,100.30,11785600,1182095715.97,0
1773667800000,2026-03-16,DIS,99.47,99.69,98.46,98.66,11578500,1142334852.40,0
1773408600000,2026-03-13,DIS,99.83,100.77,99.16,99.29,9551500,948368443.74,0
1773322200000,2026-03-12,DIS,100.10,100.88,99.37,99.43,10309400,1025063645.15,0
1773235800000,2026-03-11,DIS,101.40,101.89,100.40,100.89,8152800,822535987.02,0
1773149400000,2026-03-10,DIS,101.75,102.24,100.24,101.32,7833100,793649689.61,0
1773063000000,2026-03-09,DIS,100.55,101.87,98.45,101.66,11715100,1190957108.90,0
1772807400000,2026-03-06,DIS,101.39,101.81,99.95,101.54,10448600,1060950853.57,0
1772721000000,2026-03-05,DIS,103.10,104.55,101.59,102.41,11751500,1203471158.04,0
1772634600000,2026-03-04,DIS,103.17,103.84,102.64,103.04,9672300,996633800.86,0
1772548200000,2026-03-03,DIS,102.84,104.31,102.15,103.30,13608400,1405747761.53,0
1772461800000,2026-03-02,DIS,104.61,104.61,102.86,104.33,14178600,1479253363.96,0
1772202600000,2026-02-27,DIS,104.78,106.34,103.93,106.04,13954000,1479682172.78,0
1772116200000,2026-02-26,DIS,105.47,106.77,105.32,105.55,9578500,1011010704.23,0
1772029800000,2026-02-25,DIS,106.00,106.72,104.51,105.05,8556500,898860351.11,0
1771943400000,2026-02-24,DIS,104.45,107.23,103.98,106.05,13594800,1441728581.49,0
1771857000000,2026-02-23,DIS,104.98,105.19,102.96,104.41,10626500,1109512903.92,0
1771597800000,2026-02-20,DIS,105.61,106.20,104.65,105.58,9043600,954823304.56,0
1771511400000,2026-02-19,DIS,107.11,107.77,105.45,106.00,7492900,794247400.00,0
1771425000000,2026-02-18,DIS,105.96,107.73,105.81,107.10,8791600,941580346.59,0
1771338600000,2026-02-17,DIS,106.57,107.28,104.37,105.44,10467400,1103682681.56,0
1770993000000,2026-02-13,DIS,101.40,105.52,101.20,105.45,12845300,1354536845.80,0
1770906600000,2026-02-12,DIS,107.93,108.16,101.02,102.38,25319600,2592220578.46,0
1770820200000,2026-02-11,DIS,108.93,109.87,107.80,108.12,9374900,1013614213.75,0
1770733800000,2026-02-10,DIS,107.60,111.11,107.60,109.96,9815500,1079312371.01,0
1770647400000,2026-02-09,DIS,108.69,108.92,106.77,107.13,10515400,1126514773.12,0
1770388200000,2026-02-06,DIS,106.13,108.96,105.37,108.70,12105600,1315878683.06,0
1770301800000,2026-02-05,DIS,107.05,108.33,104.81,104.97,11859500,1244891729.48,0
1770215400000,2026-02-04,DIS,104.20,108.60,103.63,107.05,19070400,2041486378.20,0
1770129000000,2026-02-03,DIS,104.78,104.99,102.34,104.22,24827100,2587480392.31,0
1770042600000,2026-02-02,DIS,104.01,108.61,103.75,104.45,37778500,3945964209.71,0
1769783400000,2026-01-30,DIS,111.36,112.95,110.99,112.80,17895200,2018578614.61,0
1769697000000,2026-01-29,DIS,109.63,111.67,108.76,111.58,11079000,1236194840.29,0
1769610600000,2026-01-28,DIS,110.28,111.43,109.00,109.56,9016600,987858673.99,0
1769524200000,2026-01-27,DIS,111.50,111.80,110.03,110.61,8956900,990722714.47,0
1769437800000,2026-01-26,DIS,111.68,112.41,111.13,111.31,8859800,986184316.37,0
1769178600000,2026-01-23,DIS,112.69,112.95,110.55,110.98,10819800,1200781440.32,0
1769092200000,2026-01-22,DIS,113.17,114.29,112.17,113.21,12437700,1408072005.61,0
1769005800000,2026-01-21,DIS,110.57,113.25,110.50,113.19,10041400,1136586090.52,0
1768919400000,2026-01-20,DIS,109.66,111.09,108.80,110.34,9818200,1083340152.04,0
1768573800000,2026-01-16,DIS,113.20,113.85,111.12,111.20,12049600,1339915483.23,0
1768487400000,2026-01-15,DIS,113.71,114.11,112.17,113.41,7958500,902573514.14,0
1768401000000,2026-01-14,DIS,112.81,113.59,112.26,113.53,8950900,1016195666.07,0
1768314600000,2026-01-13,DIS,112.84,113.22,111.61,112.98,8945700,1010685216.03,0
1768228200000,2026-01-12,DIS,114.63,114.94,112.55,112.82,10833800,1222269312.69,0
1767969000000,2026-01-09,DIS,114.31,115.98,113.90,115.88,8935200,1035410951.46,0
1767882600000,2026-01-08,DIS,112.55,114.99,112.55,114.17,9778200,1116377076.10,0
1767796200000,2026-01-07,DIS,114.46,114.97,112.51,112.91,8296300,936735263.38,0
1767709800000,2026-01-06,DIS,113.79,114.76,113.11,114.57,7388300,846477528.75,0
1767623400000,2026-01-05,DIS,111.42,116.03,111.38,114.07,12029000,1372148026.33,0
1767364200000,2026-01-02,DIS,113.44,113.44,111.62,111.85,8906200,996158456.41,0
1767191400000,2025-12-31,DIS,114.77,114.89,113.55,113.77,6608000,751792137.82,0
1767105000000,2025-12-30,DIS,114.10,115.28,114.10,114.79,6883900,790202887.30,0
1767018600000,2025-12-29,DIS,113.32,114.49,113.31,114.19,7966000,909637559.45,0
1766759400000,2025-12-26,DIS,114.15,114.74,113.27,113.56,5428900,616505870.75,0
1766586600000,2025-12-24,DIS,112.94,114.53,112.80,114.48,4606700,527375031.46,0
1766500200000,2025-12-23,DIS,112.29,113.31,112.04,113.22,7634500,864378099.32,0
1766413800000,2025-12-22,DIS,111.41,112.80,111.15,112.38,8803300,989314829.82,0
1766154600000,2025-12-19,DIS,112.32,113.48,110.92,111.24,21138400,2351435570.84,0
1766068200000,2025-12-18,DIS,110.53,112.80,110.42,111.87,12913900,1444678028.47,0
1765981800000,2025-12-17,DIS,111.06,112.13,110.46,110.63,12142500,1343324741.65,0
1765895400000,2025-12-16,DIS,111.22,112.85,110.86,111.62,15580200,1739061966.79,0
1765809000000,2025-12-15,DIS,110.70,111.55,108.55,110.49,14318000,1581995789.41,0
1765549800000,2025-12-12,DIS,111.73,113.34,111.15,111.60,13059100,1457395540.07,0
1765463400000,2025-12-11,DIS,109.20,111.56,109.11,111.46,13281400,1480344831.84,0
1765377000000,2025-12-10,DIS,107.12,109.67,106.58,108.83,11237900,1223020677.58,0
1765290600000,2025-12-09,DIS,107.59,107.75,106.55,107.02,8549400,914956759.30,0
1765204200000,2025-12-08,DIS,105.30,108.05,104.83,107.63,13727700,1477512313.30,0
1764945000000,2025-12-05,DIS,105.18,106.17,104.56,105.30,10680100,1124614562.59,0
1764858600000,2025-12-04,DIS,105.84,106.22,104.51,105.47,11471400,1209888572.00,0
1764772200000,2025-12-03,DIS,104.90,105.85,104.47,105.74,10177800,1076200550.26,0
1764685800000,2025-12-02,DIS,106.53,106.57,104.82,104.83,8548200,896107821.65,0
1764599400000,2025-12-01,DIS,104.92,106.83,104.47,106.77,12628900,1348387610.61,0
1764340200000,2025-11-28,DIS,103.30,104.74,103.24,104.47,6525500,681718992.97,0
1764167400000,2025-11-26,DIS,103.32,104.25,102.88,103.43,10130200,1047766589.09,0
1764081000000,2025-11-25,DIS,102.49,103.92,102.00,103.31,10574500,1092451569.18,0
1763994600000,2025-11-24,DIS,104.09,104.34,101.89,101.94,15024800,1531628148.68,0
