https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOLD,Volume USDT,tradecount
1774742400000,2026-03-29,PAXGUSDT,4501.78000000,4520.92000000,4491.00000000,4517.90000000,2157.70660000,9716215.51116000,21884
1774656000000,2026-03-28,PAXGUSDT,4501.27000000,4513.58000000,4487.11000000,4501.78000000,3163.40910000,14238735.22661400,26978
1774569600000,2026-03-27,PAXGUSDT,4411.61000000,4554.54000000,4382.74000000,4501.27000000,10919.88470000,48782112.67216000,100569
1774483200000,2026-03-26,PAXGUSDT,4502.38000000,4545.11000000,4361.07000000,4411.60000000,16368.47840000,72647580.80819900,120528
1774396800000,2026-03-25,PAXGUSDT,4549.70000000,4601.84000000,4494.35000000,4502.38000000,19457.59900000,88691051.42820000,123127
1774310400000,2026-03-24,PAXGUSDT,4447.50000000,4554.99000000,4319.46000000,4549.65000000,25365.96220000,112168450.53970800,214199
1774224000000,2026-03-23,PAXGUSDT,4474.96000000,4511.36000000,4141.06000000,4447.45000000,90541.41330000,393218755.21156000,590628
1774137600000,2026-03-22,PAXGUSDT,4503.30000000,4541.88000000,4450.48000000,4474.61000000,8934.21360000,40117608.73361300,63115
1774051200000,2026-03-21,PAXGUSDT,4509.76000000,4531.76000000,4501.17000000,4503.29000000,3854.56400000,17391854.69681000,32977
1773964800000,2026-03-20,PAXGUSDT,4652.39000000,4739.74000000,4497.35000000,4509.76000000,22787.74390000,104866567.72283700,197834
1773878400000,2026-03-19,PAXGUSDT,4829.03000000,4855.42000000,4511.00000000,4652.38000000,32560.85000000,151486097.95654900,234490
1773792000000,2026-03-18,PAXGUSDT,4992.90000000,5006.75000000,4800.00000000,4829.04000000,24607.29630000,119902147.30758600,147968
1773705600000,2026-03-17,PAXGUSDT,5001.04000000,5029.87000000,4972.00000000,4992.90000000,5036.75580000,25207121.15332100,49692
1773619200000,2026-03-16,PAXGUSDT,4989.59000000,5030.82000000,4962.82000000,5001.04000000,10839.08580000,54185389.06422600,94017
1773532800000,2026-03-15,PAXGUSDT,5020.60000000,5027.62000000,4960.42000000,4989.59000000,5811.17230000,29066250.38646800,48736
1773446400000,2026-03-14,PAXGUSDT,5028.83000000,5047.18000000,5018.51000000,5020.60000000,2402.96610000,12089228.32558700,21359
1773360000000,2026-03-13,PAXGUSDT,5109.97000000,5131.43000000,5005.54000000,5028.83000000,15926.02190000,80728222.52678300,111470
1773273600000,2026-03-12,PAXGUSDT,5137.28000000,5188.72000000,5069.11000000,5109.98000000,11394.19590000,58507939.78072500,112833
1773187200000,2026-03-11,PAXGUSDT,5197.87000000,5221.34000000,5136.37000000,5136.84000000,9990.95200000,51792343.78973600,88261
1773100800000,2026-03-10,PAXGUSDT,5143.80000000,5239.80000000,5129.57000000,5197.87000000,18268.62030000,94885656.42561600,148518
1773014400000,2026-03-09,PAXGUSDT,5085.01000000,5158.91000000,5030.00000000,5143.80000000,15783.02470000,80476012.47471700,133157
1772928000000,2026-03-08,PAXGUSDT,5172.34000000,5191.28000000,5056.10000000,5085.29000000,9348.71090000,48185017.22974100,85225
