https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume GOOGL,Volume USDT,tradecount
1774618200000,2026-03-27,GOOGL,277.28,279.37,273.95,274.34,35815200,9825541836.84,0
1774531800000,2026-03-26,GOOGL,287.91,287.95,278.50,280.92,39080600,10978522676.76,0
1774445400000,2026-03-25,GOOGL,293.44,296.00,289.24,290.93,29460700,8571001235.22,0
1774359000000,2026-03-24,GOOGL,299.20,299.92,290.33,290.44,36864300,10706867382.00,0
1774272600000,2026-03-23,GOOGL,302.11,305.98,300.93,302.06,29326900,8858483342.40,0
1774013400000,2026-03-20,GOOGL,305.46,306.00,298.27,301.00,44364100,13353594100.00,0
1773927000000,2026-03-19,GOOGL,304.01,308.06,302.35,307.13,25075800,7701530576.44,0
1773840600000,2026-03-18,GOOGL,309.27,312.47,306.93,307.69,20009800,6156815410.85,0
1773754200000,2026-03-17,GOOGL,305.86,311.42,305.50,310.92,21955200,6826311078.81,0
1773667800000,2026-03-16,GOOGL,304.35,306.49,303.02,305.56,23519700,7186679474.58,0
1773408600000,2026-03-13,GOOGL,307.01,307.69,300.44,302.28,23693100,7161950239.08,0
1773322200000,2026-03-12,GOOGL,306.82,308.94,301.03,303.55,24928300,7566985160.70,0
1773235800000,2026-03-11,GOOGL,306.75,311.42,305.92,308.70,24125700,7447603884.50,0
1773149400000,2026-03-10,GOOGL,306.17,309.51,305.57,307.04,23239700,7135517686.58,0
1773063000000,2026-03-09,GOOGL,294.36,306.80,294.08,306.36,29312100,8980054526.62,0
1772807400000,2026-03-06,GOOGL,296.09,300.53,295.18,298.52,25576900,7635215907.00,0
1772721000000,2026-03-05,GOOGL,303.04,303.30,297.99,300.88,35752300,10757152198.57,0
1772634600000,2026-03-04,GOOGL,302.89,305.47,300.75,303.13,29536200,8953308450.22,0
1772548200000,2026-03-03,GOOGL,298.59,303.94,296.71,303.58,35497000,10776178783.36,0
1772461800000,2026-03-02,GOOGL,303.23,308.49,301.30,306.52,34790200,10663891721.78,0
1772202600000,2026-02-27,GOOGL,304.14,312.37,303.80,311.76,44640600,13917153891.94,0
1772116200000,2026-02-26,GOOGL,312.64,313.14,302.35,307.38,36431200,11198222433.89,0
1772029800000,2026-02-25,GOOGL,312.06,313.64,309.44,312.90,29963600,9375610257.12,0
1771943400000,2026-02-24,GOOGL,310.52,312.27,305.93,310.90,25615600,7963889883.65,0
1771857000000,2026-02-23,GOOGL,319.05,319.52,309.87,311.49,31423000,9787949963.13,0
1771597800000,2026-02-20,GOOGL,304.32,316.50,303.90,314.98,53210800,16760338368.59,0
1771511400000,2026-02-19,GOOGL,301.82,305.47,300.04,302.85,25834400,7823948197.68,0
1771425000000,2026-02-18,GOOGL,302.09,305.38,301.25,303.33,28482100,8639475010.55,0
1771338600000,2026-02-17,GOOGL,300.04,304.44,296.25,302.02,39247600,11853559720.81,0
1770993000000,2026-02-13,GOOGL,307.73,308.63,303.71,305.72,38499700,11770128331.00,0
1770906600000,2026-02-12,GOOGL,312.09,316.24,307.20,309.00,47761300,14758241700.00,0
1770820200000,2026-02-11,GOOGL,318.97,321.06,309.66,310.96,45406400,14119573756.01,0
1770733800000,2026-02-10,GOOGL,320.97,321.67,314.61,318.58,39170000,12478778074.04,0
1770647400000,2026-02-09,GOOGL,320.93,327.70,317.26,324.32,39640100,12856077522.33,0
