https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume JPM,Volume USDT,tradecount
1774618200000,2026-03-27,JPM,289.14,290.11,281.75,282.84,9869500,2791489343.86,0
1774531800000,2026-03-26,JPM,292.58,294.99,290.73,291.66,8669200,2528458903.75,0
1774445400000,2026-03-25,JPM,294.15,297.64,292.44,295.42,12188200,3600638207.66,0
1774359000000,2026-03-24,JPM,286.17,295.48,285.37,292.40,11092300,3243388452.30,0
1774272600000,2026-03-23,JPM,294.31,295.75,287.97,289.91,11470800,3325499670.01,0
1774013400000,2026-03-20,JPM,288.08,290.71,285.27,286.56,22436500,6429403385.22,0
1773927000000,2026-03-19,JPM,286.88,289.51,284.62,287.97,9846700,2835554211.02,0
1773840600000,2026-03-18,JPM,286.83,289.41,285.12,287.74,10057000,2893801081.79,0
1773754200000,2026-03-17,JPM,289.00,291.76,285.95,286.89,8961200,2570878799.27,0
1773667800000,2026-03-16,JPM,286.34,289.27,284.61,286.16,8149000,2331917869.84,0
1773408600000,2026-03-13,JPM,284.67,287.19,282.95,283.44,9091200,2576809750.20,0
1773322200000,2026-03-12,JPM,282.83,283.88,279.10,282.89,13760500,3892708046.57,0
1773235800000,2026-03-11,JPM,288.81,290.48,284.86,287.52,10205000,2934141487.88,0
1773149400000,2026-03-10,JPM,289.29,292.75,287.18,288.73,8344900,2409423068.68,0
1773063000000,2026-03-09,JPM,285.50,291.10,280.45,289.92,12241100,3548939876.37,0
1772807400000,2026-03-06,JPM,286.34,289.99,283.71,289.48,13496500,3906966968.28,0
1772721000000,2026-03-05,JPM,297.98,301.24,292.43,293.55,12732500,3737625219.57,0
1772634600000,2026-03-04,JPM,299.99,301.00,295.82,299.39,8055700,2411796141.00,0
1772548200000,2026-03-03,JPM,292.29,302.39,289.50,300.26,10278200,3086132432.37,0
1772461800000,2026-03-02,JPM,294.81,299.98,293.21,297.56,8508900,2531908263.23,0
1772202600000,2026-02-27,JPM,300.00,302.95,294.45,300.30,18620800,5591826012.70,0
1772116200000,2026-02-26,JPM,304.58,309.01,303.64,306.13,7007800,2145297848.22,0
1772029800000,2026-02-25,JPM,298.64,303.66,297.01,303.30,8095500,2455365051.18,0
1771943400000,2026-02-24,JPM,296.82,299.75,291.38,297.30,13554100,4029633764.54,0
1771857000000,2026-02-23,JPM,308.80,311.00,295.10,297.67,12955400,3856434091.96,0
1771597800000,2026-02-20,JPM,308.40,311.00,305.68,310.79,7792700,2421893299.59,0
1771511400000,2026-02-19,JPM,307.17,309.18,305.12,308.05,6737700,2075548402.75,0
1771425000000,2026-02-18,JPM,308.46,312.28,307.22,308.78,7209600,2226180279.20,0
1771338600000,2026-02-17,JPM,302.76,308.24,302.50,307.13,8896800,2732474227.44,0
1770993000000,2026-02-13,JPM,298.52,304.29,296.52,302.55,9114500,2757591863.74,0
1770906600000,2026-02-12,JPM,312.28,313.62,300.02,302.64,13443400,4068510772.92,0
1770820200000,2026-02-11,JPM,323.24,325.28,308.73,310.82,8703500,2705221933.75,0
1770733800000,2026-02-10,JPM,322.55,326.13,315.12,318.28,9902200,3151672203.91,0
1770647400000,2026-02-09,JPM,321.34,326.40,320.11,322.10,11477500,3696902820.05,0
1770388200000,2026-02-06,JPM,314.71,324.25,314.71,322.40,17797400,5737881651.37,0
1770301800000,2026-02-05,JPM,315.00,316.01,305.54,310.16,9388000,2911782114.38,0
1770215400000,2026-02-04,JPM,314.41,319.31,314.41,317.27,9848800,3124728667.80,0
1770129000000,2026-02-03,JPM,309.73,316.25,309.10,314.85,12688000,3994816877.44,0
1770042600000,2026-02-02,JPM,304.46,309.30,301.37,308.14,9839400,3031912860.13,0
1769783400000,2026-01-30,JPM,305.25,307.93,302.56,305.89,11953200,3656364523.10,0
1769697000000,2026-01-29,JPM,302.40,306.83,302.22,306.42,11580000,3548343755.49,0
1769610600000,2026-01-28,JPM,300.27,301.92,298.05,300.77,9556700,2874368554.01,0
1769524200000,2026-01-27,JPM,301.33,301.97,298.15,300.31,11527400,3461793465.86,0
1769437800000,2026-01-26,JPM,297.81,301.78,297.45,301.04,11752700,3538032908.43,0
1769178600000,2026-01-23,JPM,302.00,302.37,296.51,297.72,11107900,3307044001.56,0
1769092200000,2026-01-22,JPM,304.86,308.20,302.90,303.63,10535800,3198985005.44,0
1769005800000,2026-01-21,JPM,303.43,305.40,301.15,302.04,10270100,3101981091.76,0
1768919400000,2026-01-20,JPM,306.21,311.15,301.86,302.74,12900600,3905527518.02,0
1768573800000,2026-01-16,JPM,310.35,317.21,310.00,312.47,14652500,4578466692.89,0
1768487400000,2026-01-15,JPM,308.47,312.94,307.75,309.26,14751400,4562018108.06,0
1768401000000,2026-01-14,JPM,308.20,311.76,306.12,307.87,25951500,7989688178.28,0
1768314600000,2026-01-13,JPM,324.30,326.86,310.57,310.90,19371200,6022505961.77,0
1768228200000,2026-01-12,JPM,321.88,326.02,321.23,324.49,12805100,4155126773.95,0
1767969000000,2026-01-09,JPM,329.34,331.90,328.17,329.19,6738100,2218115155.45,0
1767882600000,2026-01-08,JPM,326.39,331.40,325.65,329.79,11737100,3870778309.29,0
1767796200000,2026-01-07,JPM,331.14,332.15,324.60,326.99,9815200,3209472152.15,0
1767709800000,2026-01-06,JPM,332.62,335.87,330.65,334.61,7660800,2563380175.78,0
1767623400000,2026-01-05,JPM,325.50,337.25,325.19,334.04,10752600,3591798595.88,0
1767364200000,2026-01-02,JPM,322.50,325.73,320.74,325.48,8054000,2621416008.48,0
1767191400000,2025-12-31,JPM,324.34,324.88,322.04,322.22,5048500,1626727676.16,0
1767105000000,2025-12-30,JPM,324.81,324.94,322.49,323.42,7904300,2556408812.14,0
1767018600000,2025-12-29,JPM,327.00,327.77,323.53,323.75,8635300,2795678375.00,0
1766759400000,2025-12-26,JPM,329.11,330.86,326.54,327.91,4158300,1363548168.23,0
1766586600000,2025-12-24,JPM,326.24,329.99,325.50,329.17,4289300,1411908938.60,0
1766500200000,2025-12-23,JPM,323.61,327.78,323.09,325.93,6668300,2173398970.16,0
1766413800000,2025-12-22,JPM,317.51,323.23,317.51,323.09,8354600,2699287683.40,0
1766154600000,2025-12-19,JPM,313.79,318.56,313.19,317.21,24494400,7769868414.70,0
1766068200000,2025-12-18,JPM,316.00,317.70,312.22,313.00,11444900,3582253700.00,0
1765981800000,2025-12-17,JPM,318.43,319.37,314.66,314.98,8718700,2746216221.79,0
1765895400000,2025-12-16,JPM,319.09,319.52,314.40,315.55,8331300,2628941613.30,0
1765809000000,2025-12-15,JPM,319.59,322.88,318.39,320.02,10864100,3476729162.64,0
1765549800000,2025-12-12,JPM,319.68,320.27,316.60,318.52,8982900,2861233209.31,0
1765463400000,2025-12-11,JPM,309.24,318.00,309.24,317.38,9721900,3085536669.47,0
1765377000000,2025-12-10,JPM,300.50,311.19,298.46,310.11,18874100,5853046874.52,0
1765290600000,2025-12-09,JPM,314.95,318.80,300.02,300.51,18049200,5423965268.26,0
1765204200000,2025-12-08,JPM,315.06,316.47,313.35,315.21,7417200,2337975548.62,0
1764945000000,2025-12-05,JPM,315.64,318.48,314.68,315.04,6518900,2053714311.70,0
1764858600000,2025-12-04,JPM,313.26,318.49,313.00,316.10,9627800,3043347638.76,0
1764772200000,2025-12-03,JPM,307.20,312.36,306.80,312.13,8535300,2664123230.68,0
1764685800000,2025-12-02,JPM,308.74,310.48,307.09,307.88,7249000,2231822155.40,0
1764599400000,2025-12-01,JPM,312.95,314.04,308.54,308.92,7727300,2387117619.76,0
1764340200000,2025-11-28,JPM,309.10,313.72,308.24,313.08,4322400,1353256933.96,0
1764167400000,2025-11-26,JPM,305.00,308.53,303.20,307.64,7910900,2433709391.88,0
1764081000000,2025-11-25,JPM,300.05,304.50,295.56,303.00,8877200,2689791600.00,0
1763994600000,2025-11-24,JPM,298.24,299.82,294.51,298.00,10940200,3260179600.00,0
1763735400000,2025-11-21,JPM,301.29,301.68,292.81,298.02,11766800,3506741606.73,0
1763649000000,2025-11-20,JPM,306.34,309.92,298.16,298.38,7501600,2238327444.63,0
1763562600000,2025-11-19,JPM,299.74,304.45,299.27,303.27,5546600,1682117321.06,0
1763476200000,2025-11-18,JPM,299.50,302.95,297.02,299.41,8077300,2418424422.58,0
1763389800000,2025-11-17,JPM,304.00,305.59,297.67,300.37,8344000,2506287239.26,0
1763130600000,2025-11-14,JPM,307.51,307.64,301.23,303.61,10327000,3135380318.73,0
1763044200000,2025-11-13,JPM,319.23,320.63,309.10,309.48,8973300,2777056982.58,0
1762957800000,2025-11-12,JPM,316.26,322.25,316.21,320.41,10578300,3389393141.74,0
1762871400000,2025-11-11,JPM,317.50,319.05,315.28,315.62,5030200,1587631699.44,0
1762785000000,2025-11-10,JPM,315.00,319.56,314.21,316.89,5794100,1836092433.87,0
1762525800000,2025-11-07,JPM,311.89,314.43,307.64,314.21,7302300,2294455620.60,0
1762439400000,2025-11-06,JPM,310.99,314.84,310.26,313.42,7206100,2258535958.76,0
1762353000000,2025-11-05,JPM,309.61,313.10,305.63,311.68,6865200,2139745485.72,0
1762266600000,2025-11-04,JPM,306.71,312.22,305.10,309.25,7085200,2191098100.00,0
1762180200000,2025-11-03,JPM,311.00,312.32,306.21,309.35,7770000,2403649547.42,0
1761917400000,2025-10-31,JPM,308.54,312.87,307.25,311.12,7721300,2402250818.30,0
1761831000000,2025-10-30,JPM,305.79,312.61,305.10,309.44,7514600,2325317842.35,0
1761744600000,2025-10-29,JPM,303.51,308.25,303.01,305.51,7520300,2297526926.44,0
1761658200000,2025-10-28,JPM,304.86,307.97,303.16,305.36,6336000,1934760867.19,0
1761571800000,2025-10-27,JPM,302.16,304.53,301.01,304.15,5642200,1716075095.56,0
1761312600000,2025-10-24,JPM,296.08,302.60,295.45,300.44,7228300,2171670469.65,0
1761226200000,2025-10-23,JPM,294.38,296.37,292.51,294.54,5438800,1601944198.47,0
1761139800000,2025-10-22,JPM,297.77,298.06,290.54,294.11,8054100,2368791233.02,0
1761053400000,2025-10-21,JPM,301.66,304.05,297.00,297.09,7372700,2190355416.00,0
1760967000000,2025-10-20,JPM,298.50,303.69,298.16,302.36,6894900,2084741863.00,0
1760707800000,2025-10-17,JPM,299.16,299.55,294.20,297.56,10153500,3021275435.21,0
1760621400000,2025-10-16,JPM,305.35,308.68,297.07,298.54,10549400,3149417966.14,0
1760535000000,2025-10-15,JPM,306.39,312.12,305.44,305.69,11354800,3471048839.72,0
1760448600000,2025-10-14,JPM,305.84,307.00,294.21,302.08,16178800,4887291686.76,0
1760362200000,2025-10-13,JPM,305.60,309.46,305.45,307.97,10788700,3322595952.17,0
1760103000000,2025-10-10,JPM,305.66,310.47,300.81,300.89,8597400,2586871811.94,0
1760016600000,2025-10-09,JPM,305.05,308.04,303.39,305.53,7060300,2157133450.38,0
1759930200000,2025-10-08,JPM,308.21,308.78,303.55,304.03,6489900,1973124289.08,0
1759843800000,2025-10-07,JPM,309.35,310.01,304.70,307.69,8454200,2601272818.64,0
1759757400000,2025-10-06,JPM,310.18,311.75,305.13,309.18,7214500,2230579057.16,0
1759498200000,2025-10-03,JPM,308.51,311.66,308.21,310.03,6029900,1869449889.64,0
1759411800000,2025-10-02,JPM,310.00,310.56,306.14,307.55,7600000,2337379907.23,0
1759325400000,2025-10-01,JPM,313.97,314.59,307.41,310.71,9235200,2869468913.09,0
1759239000000,2025-09-30,JPM,316.25,317.41,310.11,315.43,11823300,3729423432.40,0
1759152600000,2025-09-29,JPM,317.06,318.01,313.66,315.69,6462400,2040115071.78,0
1758893400000,2025-09-26,JPM,314.90,317.81,313.70,316.06,7258100,2293995068.28,0
1758807000000,2025-09-25,JPM,314.12,315.65,311.80,313.45,7083200,2220229126.46,0
1758720600000,2025-09-24,JPM,314.05,316.58,311.67,313.42,7310500,2291257008.16,0
1758634200000,2025-09-23,JPM,311.82,316.31,310.58,312.74,8584400,2684685172.17,0
1758547800000,2025-09-22,JPM,309.80,313.70,309.56,312.44,7520200,2349611306.36,0
1758288600000,2025-09-19,JPM,313.60,315.80,309.12,314.78,23568600,7418923879.23,0
1758202200000,2025-09-18,JPM,311.79,313.44,309.61,313.23,8050700,2521720849.45,0
1758115800000,2025-09-17,JPM,310.39,312.91,308.77,311.75,8657800,2699069150.00,0
1758029400000,2025-09-16,JPM,310.00,310.90,307.13,309.19,10525600,3254410289.70,0
1757943000000,2025-09-15,JPM,307.17,309.95,307.17,308.90,7122000,2199985756.53,0
1757683800000,2025-09-12,JPM,305.00,307.55,303.70,306.91,6846700,2101320722.07,0
1757597400000,2025-09-11,JPM,301.24,305.73,300.79,305.56,7942500,2426910280.61,0
1757511000000,2025-09-10,JPM,296.70,301.54,295.40,300.54,7787300,2340395208.54,0
1757424600000,2025-09-09,JPM,292.60,299.00,292.31,297.85,7848200,2337586417.90,0
1757338200000,2025-09-08,JPM,294.89,296.46,291.44,292.91,8188500,2398493564.99,0
1757079000000,2025-09-05,JPM,303.65,305.15,294.31,294.38,9837700,2896022174.04,0
1756992600000,2025-09-04,JPM,300.00,304.43,298.28,303.82,6605800,2006974204.38,0
1756906200000,2025-09-03,JPM,300.57,300.57,296.38,299.51,6316900,1891974780.69,0
1756819800000,2025-09-02,JPM,300.26,300.46,294.50,299.70,7221900,2164403518.16,0
1756474200000,2025-08-29,JPM,302.04,302.95,299.73,301.42,6796400,2048570979.26,0
1756387800000,2025-08-28,JPM,300.02,301.24,298.70,301.07,6410500,1930009281.95,0
1756301400000,2025-08-27,JPM,297.25,301.07,297.04,299.28,6056500,1812589312.61,0
1756215000000,2025-08-26,JPM,294.16,298.74,293.50,298.57,6714700,2004808028.18,0
1756128600000,2025-08-25,JPM,296.24,297.35,294.14,294.90,5856300,1727022834.26,0
1755869400000,2025-08-22,JPM,293.20,297.16,290.13,296.24,8552800,2533681388.48,0
1755783000000,2025-08-21,JPM,291.94,292.77,289.47,291.47,6624000,1930697288.09,0
1755696600000,2025-08-20,JPM,290.81,293.33,287.27,292.24,7374200,2155036135.99,0
1755610200000,2025-08-19,JPM,290.83,292.48,289.53,290.66,6031500,1753115812.09,0
1755523800000,2025-08-18,JPM,290.00,291.90,288.41,291.53,5386900,1570442950.42,0
1755264600000,2025-08-15,JPM,294.84,295.50,289.82,290.49,7340500,2132341773.32,0
1755178200000,2025-08-14,JPM,290.58,294.20,289.64,294.16,6322400,1859797207.15,0
1755091800000,2025-08-13,JPM,293.95,294.55,287.16,290.53,8420400,2446378801.72,0
1755005400000,2025-08-12,JPM,291.50,294.75,290.34,292.85,8570900,2509988117.31,0
1754919000000,2025-08-11,JPM,289.40,291.32,288.78,289.56,5510100,1595504542.55,0
1754659800000,2025-08-08,JPM,288.98,291.23,284.71,288.76,6634100,1915662780.79,0
1754573400000,2025-08-07,JPM,292.94,293.46,286.41,286.94,8057100,2311904293.67,0
1754487000000,2025-08-06,JPM,292.30,293.29,290.16,291.35,6330200,1844303808.64,0
1754400600000,2025-08-05,JPM,294.69,295.79,287.24,291.37,7182300,2092706715.93,0
1754314200000,2025-08-04,JPM,290.26,294.32,290.26,294.26,6649500,1956681934.94,0
1754055000000,2025-08-01,JPM,290.40,291.80,284.24,289.37,12007100,3474494468.37,0
1753968600000,2025-07-31,JPM,299.14,300.98,295.50,296.24,14749700,4369450983.96,0
1753882200000,2025-07-30,JPM,297.42,300.61,297.38,299.63,8061700,2415527210.36,0
1753795800000,2025-07-29,JPM,300.00,301.29,296.20,297.04,7635700,2268108393.25,0
1753709400000,2025-07-28,JPM,297.66,299.43,296.82,298.28,5840400,1742074504.87,0
1753450200000,2025-07-25,JPM,296.70,298.90,295.96,298.62,5918500,1767382441.10,0
1753363800000,2025-07-24,JPM,297.42,299.59,296.20,296.55,7001200,2076205774.54,0
1753277400000,2025-07-23,JPM,292.84,296.99,292.55,296.76,7083500,2102099529.17,0
1753191000000,2025-07-22,JPM,291.50,293.63,289.18,291.43,6717500,1957680975.80,0
1753104600000,2025-07-21,JPM,291.00,294.18,290.58,290.97,7898100,2298110166.64,0
1752845400000,2025-07-18,JPM,289.52,292.50,288.23,291.27,12217000,3558445455.78,0
1752759000000,2025-07-17,JPM,283.44,290.30,283.44,289.90,8509500,2466903998.06,0
1752672600000,2025-07-16,JPM,288.40,290.73,283.01,285.82,9979800,2852426509.09,0
1752586200000,2025-07-15,JPM,288.00,291.95,285.48,286.55,12526100,3589353802.09,0
1752499800000,2025-07-14,JPM,287.07,289.30,285.26,288.70,9079900,2621367240.84,0
1752240600000,2025-07-11,JPM,285.52,287.38,283.65,286.86,7384700,2118374933.83,0
1752154200000,2025-07-10,JPM,283.00,288.31,283.00,288.19,8410900,2423937291.53,0
1752067800000,2025-07-09,JPM,287.18,287.20,282.48,283.16,11273800,3192289249.29,0
1751981400000,2025-07-08,JPM,289.27,289.70,280.31,282.78,15440900,4366377683.15,0
1751895000000,2025-07-07,JPM,295.25,296.04,290.08,291.97,8825700,2576839639.77,0
1751549400000,2025-07-03,JPM,292.15,296.40,291.21,296.00,6541600,1936313600.00,0
1751463000000,2025-07-02,JPM,292.04,292.82,289.70,292.00,8158700,2382340400.00,0
1751376600000,2025-07-01,JPM,290.89,291.13,286.59,290.41,9338300,2711935737.20,0
1751290200000,2025-06-30,JPM,290.40,292.65,288.92,289.91,12689200,3678726018.47,0
1751031000000,2025-06-27,JPM,285.81,288.70,285.04,287.11,17868600,5130253484.25,0
1750944600000,2025-06-26,JPM,284.70,289.41,284.47,288.75,8942100,2582031375.00,0
1750858200000,2025-06-25,JPM,281.50,284.28,280.91,284.06,6826900,1939249197.33,0
1750771800000,2025-06-24,JPM,280.21,282.71,279.51,281.26,9267900,2606689644.51,0
1750685400000,2025-06-23,JPM,275.06,278.55,272.11,278.27,8094600,2252484253.07,0
1750426200000,2025-06-20,JPM,275.57,277.30,273.81,275.00,13969700,3841667500.00,0
1750253400000,2025-06-18,JPM,270.00,277.72,269.72,273.96,9586400,2626290062.08,0
1750167000000,2025-06-17,JPM,268.17,270.59,267.80,269.52,6739300,1816376061.96,0
1750080600000,2025-06-16,JPM,267.00,271.73,266.85,270.36,8566000,2315903634.52,0
1749821400000,2025-06-13,JPM,265.08,267.02,262.71,264.95,7098300,1880694671.65,0
1749735000000,2025-06-12,JPM,266.86,268.29,265.14,268.24,6618000,1775212255.37,0
1749648600000,2025-06-11,JPM,268.68,269.62,265.79,268.15,7434100,1993453869.63,0
1749562200000,2025-06-10,JPM,265.88,268.90,265.85,268.60,7538100,2024733706.01,0
1749475800000,2025-06-09,JPM,266.00,267.90,263.35,266.74,8285000,2209940819.09,0
1749216600000,2025-06-06,JPM,264.33,266.65,264.26,265.73,7738100,2056245398.01,0
1749130200000,2025-06-05,JPM,264.74,264.74,260.31,261.95,8173800,2141127009.78,0
1749043800000,2025-06-04,JPM,265.92,267.12,264.18,264.22,5915700,1563046261.22,0
1748957400000,2025-06-03,JPM,263.73,266.58,262.88,266.27,6998400,1863463891.11,0
1748871000000,2025-06-02,JPM,263.02,265.03,261.90,264.66,6011200,1590924214.01,0
1748611800000,2025-05-30,JPM,263.45,265.33,262.73,264.00,10977700,2898112800.00,0
1748525400000,2025-05-29,JPM,264.80,265.41,262.53,264.37,5081200,1343316819.19,0
1748439000000,2025-05-28,JPM,266.24,266.72,262.90,263.49,5535400,1458522491.94,0
