https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume META,Volume USDT,tradecount
1774618200000,2026-03-27,META,540.10,543.60,520.26,525.72,29980300,15761242437.67,0
1774531800000,2026-03-26,META,582.49,583.00,543.35,547.54,35780100,19591035167.82,0
1774445400000,2026-03-25,META,598.74,603.67,593.40,594.89,12585000,7486690834.35,0
1774359000000,2026-03-24,META,599.10,601.00,591.00,592.92,10739700,6367782740.46,0
1774272600000,2026-03-23,META,605.79,608.64,599.01,604.06,13638000,8238170246.70,0
1774013400000,2026-03-20,META,603.53,603.96,587.25,593.66,21214900,12594436964.26,0
1773927000000,2026-03-19,META,612.15,613.00,602.26,606.70,13247700,8037379751.72,0
1773840600000,2026-03-18,META,616.34,622.65,614.61,615.68,11726300,7219648298.11,0
1773754200000,2026-03-17,META,627.99,636.55,621.70,622.66,10348800,6443783530.08,0
1773667800000,2026-03-16,META,632.00,634.75,623.10,627.45,15134900,9496393189.75,0
1773408600000,2026-03-13,META,623.89,629.17,609.55,613.71,18957600,11634469112.55,0
1773322200000,2026-03-12,META,648.75,653.50,636.90,638.18,11617500,7414056064.91,0
1773235800000,2026-03-11,META,654.76,659.12,648.36,654.86,8977200,5878809060.50,0
1773149400000,2026-03-10,META,653.56,660.30,649.00,654.07,9859300,6448672423.21,0
1773063000000,2026-03-09,META,634.78,647.75,626.78,647.39,13489700,8733097080.60,0
1772807400000,2026-03-06,META,647.90,649.47,636.11,644.86,13159400,8485970491.24,0
1772721000000,2026-03-05,META,661.93,670.70,650.31,660.57,13341400,8812928695.72,0
1772634600000,2026-03-04,META,657.96,672.77,657.67,667.73,10810100,7218227861.87,0
1772548200000,2026-03-03,META,648.29,659.04,638.84,655.08,12263800,8033770313.59,0
1772461800000,2026-03-02,META,637.16,659.94,634.50,653.56,9816100,6415410292.03,0
1772202600000,2026-02-27,META,643.45,649.44,638.12,648.18,15703000,10178370424.99,0
1772116200000,2026-02-26,META,650.55,661.00,647.50,657.01,10637700,6989075380.88,0
1772029800000,2026-02-25,META,642.53,653.88,642.14,653.69,11330700,7406765310.66,0
1771943400000,2026-02-24,META,633.08,641.11,628.98,639.30,10135600,6479688956.27,0
1771857000000,2026-02-23,META,652.54,657.70,636.00,637.25,8605900,5484109775.00,0
1771597800000,2026-02-20,META,639.69,663.35,638.78,655.66,14183500,9299553229.10,0
1771511400000,2026-02-19,META,638.57,647.19,636.72,644.78,10035700,6470818940.01,0
1771425000000,2026-02-18,META,633.80,645.00,628.15,643.22,14649200,9422657994.82,0
1771338600000,2026-02-17,META,639.50,642.60,628.80,639.29,12674700,8102808684.50,0
1770993000000,2026-02-13,META,645.10,651.43,634.57,639.77,12336400,7892458868.95,0
1770906600000,2026-02-12,META,669.97,676.00,645.28,649.81,14960100,9721222544.48,0
1770820200000,2026-02-11,META,674.00,679.27,657.10,668.69,14323800,9578181856.97,0
1770733800000,2026-02-10,META,677.60,680.65,669.79,670.72,10455800,7012913869.68,0
1770647400000,2026-02-09,META,663.18,683.31,658.78,677.22,14837500,10048251315.31,0
1770388200000,2026-02-06,META,665.49,671.99,646.50,661.46,18159300,12011650977.01,0
1770301800000,2026-02-05,META,663.58,681.50,653.50,670.21,17131800,11481904054.43,0
1770215400000,2026-02-04,META,687.73,688.83,667.46,668.99,16882800,11294424207.13,0
1770129000000,2026-02-03,META,707.37,717.00,686.41,691.70,13760700,9518276357.98,0
1770042600000,2026-02-02,META,714.60,721.30,703.52,706.41,14365200,10147720546.22,0
1769783400000,2026-01-30,META,727.50,732.17,713.59,716.50,23744600,17013005900.00,0
1769697000000,2026-01-29,META,737.43,744.00,712.55,738.31,59852900,44189994452.87,0
1769610600000,2026-01-28,META,674.50,677.68,666.10,668.73,25709600,17192780305.86,0
1769524200000,2026-01-27,META,674.59,676.82,664.66,672.97,13297400,8948750888.43,0
1769437800000,2026-01-26,META,665.13,675.28,661.29,672.36,16327400,10977890424.83,0
1769178600000,2026-01-23,META,644.77,666.49,644.45,658.76,22797700,15018213074.63,0
1769092200000,2026-01-22,META,629.35,660.57,626.55,647.63,21394700,13855849665.47,0
1769005800000,2026-01-21,META,606.74,618.27,600.08,612.96,14494700,8884671630.49,0
1768919400000,2026-01-20,META,607.88,611.40,600.00,604.12,15169600,9164258677.93,0
1768573800000,2026-01-16,META,624.18,629.08,620.08,620.25,17012500,10552003125.00,0
1768487400000,2026-01-15,META,618.48,624.17,614.23,620.80,13076100,8117642720.38,0
1768401000000,2026-01-14,META,626.50,628.45,614.82,615.52,15527900,9557733311.28,0
1768314600000,2026-01-13,META,642.27,642.27,624.10,631.09,18030400,11378805620.21,0
1768228200000,2026-01-12,META,652.53,653.97,641.23,641.97,14797200,9499358050.49,0
1767969000000,2026-01-09,META,645.44,654.95,642.85,653.06,11634900,7598287765.59,0
1767882600000,2026-01-08,META,645.88,647.10,635.72,646.06,11921700,7702133472.89,0
1767796200000,2026-01-07,META,655.64,659.15,644.81,648.69,12846300,8333266378.36,0
1767709800000,2026-01-06,META,659.57,665.52,651.90,660.62,11074400,7315970073.93,0
1767623400000,2026-01-05,META,651.01,664.54,647.75,658.79,12213700,8046263154.63,0
1767364200000,2026-01-02,META,662.73,664.39,643.50,650.41,13726500,8927852496.37,0
1767191400000,2025-12-31,META,664.75,665.00,659.44,660.09,7940400,5241378849.24,0
1767105000000,2025-12-30,META,658.69,672.22,657.84,665.95,9187500,6118415737.15,0
1767018600000,2025-12-29,META,658.01,660.25,654.39,658.69,8506500,5603146505.77,0
1766759400000,2025-12-26,META,668.06,668.95,661.32,663.29,7133800,4731778045.25,0
1766586600000,2025-12-24,META,662.53,668.18,662.20,667.55,5627500,3756637556.30,0
1766500200000,2025-12-23,META,660.05,666.00,658.25,664.94,8486800,5643212812.72,0
1766413800000,2025-12-22,META,661.65,673.58,656.65,661.50,15659400,10358693100.00,0
1766154600000,2025-12-19,META,666.42,671.00,658.18,658.77,49977100,32923415143.12,0
1766068200000,2025-12-18,META,657.03,670.56,656.46,664.45,20260300,13461956582.32,0
1765981800000,2025-12-17,META,655.61,661.23,649.20,649.50,15598500,10131225750.00,0
1765895400000,2025-12-16,META,643.50,662.54,643.20,657.15,14309100,9403225414.34,0
1765809000000,2025-12-15,META,645.70,653.00,638.70,647.51,15549100,10068197892.85,0
1765549800000,2025-12-12,META,649.80,711.00,638.61,644.23,14016900,9030107213.23,0
1765463400000,2025-12-11,META,643.29,655.28,640.80,652.71,13056700,8522238943.89,0
1765377000000,2025-12-10,META,649.95,654.51,643.40,650.13,16910900,10994283499.57,0
1765290600000,2025-12-09,META,663.77,664.48,653.34,656.96,12997100,8538575101.58,0
1765204200000,2025-12-08,META,669.34,676.71,665.07,666.80,13161000,8775754639.34,0
1764945000000,2025-12-05,META,664.00,674.69,662.39,673.42,21207900,14281823655.56,0
1764858600000,2025-12-04,META,676.00,676.10,660.05,661.53,29874600,19762945013.23,0
1764772200000,2025-12-03,META,644.41,648.85,637.55,639.60,11134300,7121498008.17,0
1764685800000,2025-12-02,META,642.34,647.87,638.07,647.10,11640900,7532826105.80,0
1764599400000,2025-12-01,META,639.55,645.32,637.76,640.87,13029900,8350471949.38,0
1764340200000,2025-11-28,META,636.08,648.05,635.50,647.95,11033200,7148962074.68,0
1764167400000,2025-11-26,META,637.69,638.36,631.63,633.61,15209500,9636891072.20,0
1764081000000,2025-11-25,META,624.00,637.05,618.30,636.22,25213000,16041014121.34,0
1763994600000,2025-11-24,META,598.72,616.70,597.63,613.05,23554900,14440331157.46,0
1763735400000,2025-11-21,META,588.50,598.12,581.86,594.25,21052600,12510507550.00,0
1763649000000,2025-11-20,META,603.50,606.72,583.35,589.15,20603000,12138257953.00,0
1763562600000,2025-11-19,META,593.72,595.33,581.25,590.32,24744700,14607291485.24,0
1763476200000,2025-11-18,META,591.60,603.66,583.78,597.69,25500600,15241453676.26,0
1763389800000,2025-11-17,META,609.04,611.69,595.40,602.01,16501300,9933947774.15,0
1763130600000,2025-11-14,META,601.79,613.68,595.20,609.46,20724100,12630510441.36,0
1763044200000,2025-11-13,META,613.07,617.65,603.00,609.89,20973800,12791711189.23,0
1762957800000,2025-11-12,META,628.13,628.99,607.77,609.01,24493300,14916664872.19,0
1762871400000,2025-11-11,META,628.00,629.56,619.39,627.08,13302200,8341543803.33,0
1762785000000,2025-11-10,META,631.09,635.00,618.11,631.76,19245000,12158221387.94,0
1762525800000,2025-11-07,META,616.49,622.13,601.20,621.71,29946800,18618225686.01,0
1762439400000,2025-11-06,META,635.85,636.00,618.00,618.94,23628800,14624809529.69,0
1762353000000,2025-11-05,META,632.31,642.23,626.54,635.95,20219900,12858845651.82,0
1762266600000,2025-11-04,META,628.04,641.74,626.01,627.32,27356600,17161342512.37,0
1762180200000,2025-11-03,META,656.00,659.33,636.18,637.71,33003600,21046726481.18,0
1761917400000,2025-10-31,META,674.51,674.89,645.57,648.35,56953200,36925605829.54,0
1761831000000,2025-10-30,META,669.15,680.96,650.17,666.47,88440100,58942670855.98,0
1761744600000,2025-10-29,META,754.75,759.16,742.51,751.67,26818600,20158736603.67,0
1761658200000,2025-10-28,META,752.63,758.40,745.52,751.44,12193800,9162909101.77,0
1761571800000,2025-10-27,META,749.73,755.75,748.01,750.82,11321100,8500108384.92,0
1761312600000,2025-10-24,META,736.79,741.21,731.15,738.36,9151300,6756953733.95,0
1761226200000,2025-10-23,META,734.70,742.41,733.10,734.00,9856000,7234304000.00,0
1761139800000,2025-10-22,META,733.83,740.60,724.03,733.41,8734500,6405969410.43,0
1761053400000,2025-10-21,META,736.02,738.50,728.75,733.27,7647300,5607535820.36,0
1760967000000,2025-10-20,META,721.19,733.77,720.18,732.17,8900200,6516459281.90,0
1760707800000,2025-10-17,META,707.08,718.54,706.12,716.92,12232400,8769651998.95,0
1760621400000,2025-10-16,META,717.55,725.49,703.88,712.07,9017000,6420735256.04,0
1760535000000,2025-10-15,META,717.06,723.90,709.51,717.55,10246800,7352591214.92,0
1760448600000,2025-10-14,META,707.78,715.55,699.33,708.65,8829800,6257237985.57,0
1760362200000,2025-10-13,META,713.01,719.94,707.64,715.70,9251800,6621513372.94,0
1760103000000,2025-10-10,META,730.92,735.27,704.51,705.30,16980100,11976064322.72,0
1760016600000,2025-10-09,META,718.28,733.51,712.44,733.51,12717200,9328193496.19,0
1759930200000,2025-10-08,META,713.45,719.65,707.81,717.84,10790600,7745924593.79,0
1759843800000,2025-10-07,META,717.72,718.50,705.75,713.08,12062900,8601812938.15,0
1759757400000,2025-10-06,META,705.19,716.88,690.51,715.66,21654700,15497402020.45,0
1759498200000,2025-10-03,META,729.63,731.00,710.18,710.56,16154300,11478599368.56,0
1759411800000,2025-10-02,META,722.58,727.77,718.14,727.05,11415300,8299493725.65,0
1759325400000,2025-10-01,META,721.49,721.85,710.20,717.34,20419600,14647796412.38,0
1759239000000,2025-09-30,META,742.25,742.97,726.30,734.38,16226800,11916637463.23,0
1759152600000,2025-09-29,META,748.72,750.78,739.15,743.40,9246800,6874071345.75,0
1758893400000,2025-09-26,META,750.00,751.93,737.35,743.75,9696300,7211623125.00,0
1758807000000,2025-09-25,META,753.45,756.77,744.55,748.91,10591100,7931780416.57,0
1758720600000,2025-09-24,META,757.50,761.11,752.53,760.66,8828200,6715258374.91,0
1758634200000,2025-09-23,META,769.25,770.60,751.07,755.40,10872600,8213162305.44,0
1758547800000,2025-09-22,META,781.85,785.73,764.47,765.16,11706900,8957651289.61,0
1758288600000,2025-09-19,META,786.42,790.80,769.19,778.38,23696800,18445115299.71,0
1758202200000,2025-09-18,META,780.75,788.78,773.36,780.25,10955000,8547638750.00,0
1758115800000,2025-09-17,META,779.99,783.29,766.31,775.72,9400900,7292465872.58,0
1758029400000,2025-09-16,META,767.00,781.36,765.10,779.00,11782500,9178567500.00,0
1757943000000,2025-09-15,META,757.47,774.07,751.99,764.70,10533800,8055196988.59,0
1757683800000,2025-09-12,META,748.73,757.57,743.76,755.59,8248600,6232559895.52,0
1757597400000,2025-09-11,META,754.65,757.10,748.37,750.90,7923300,5949606163.44,0
1757511000000,2025-09-10,META,765.13,765.70,751.00,751.98,12478300,9383431790.28,0
1757424600000,2025-09-09,META,757.49,766.30,753.43,765.70,10999000,8421934434.27,0
1757338200000,2025-09-08,META,756.00,766.51,752.02,752.30,13087800,9845951780.24,0
1757079000000,2025-09-05,META,752.62,757.95,745.03,752.45,9663400,7271225447.96,0
1756992600000,2025-09-04,META,748.57,761.16,745.82,748.65,11439100,8563882494.27,0
1756906200000,2025-09-03,META,736.00,740.25,733.99,737.05,7699300,5674768971.01,0
1756819800000,2025-09-02,META,726.04,736.00,721.73,735.11,9350900,6873939962.02,0
1756474200000,2025-08-29,META,745.28,747.14,735.35,738.70,9070500,6700378460.72,0
1756387800000,2025-08-28,META,744.00,753.05,740.80,751.11,7468000,5609289370.61,0
1756301400000,2025-08-27,META,752.30,754.15,742.84,747.38,8315400,6214763692.60,0
1756215000000,2025-08-26,META,750.80,754.87,747.94,754.10,7601800,5732517194.41,0
1756128600000,2025-08-25,META,754.82,758.88,750.13,753.30,6861200,5168541876.25,0
1755869400000,2025-08-22,META,739.23,756.90,734.39,754.79,10612700,8010359599.81,0
1755783000000,2025-08-21,META,744.71,745.50,733.11,739.10,8876300,6560473113.29,0
1755696600000,2025-08-20,META,747.57,750.20,731.00,747.72,11898200,8896521755.42,0
1755610200000,2025-08-19,META,767.12,767.17,749.36,751.48,12286700,9233209076.03,0
1755523800000,2025-08-18,META,775.09,775.81,756.56,767.37,16513700,12672117888.37,0
1755264600000,2025-08-15,META,784.15,796.25,780.82,785.23,13375400,10502765080.76,0
1755178200000,2025-08-14,META,777.88,787.81,772.51,782.13,8116200,6347923545.63,0
1755091800000,2025-08-13,META,791.15,795.46,778.23,780.08,8811800,6873909094.59,0
1755005400000,2025-08-12,META,773.00,793.67,772.43,790.00,14563100,11504849000.00,0
1754919000000,2025-08-11,META,770.08,773.46,764.67,765.87,7612000,5829802402.83,0
1754659800000,2025-08-08,META,762.75,769.90,758.58,769.30,7320800,5631891350.63,0
1754573400000,2025-08-07,META,773.49,775.00,759.55,761.83,9019700,6871478205.15,0
1754487000000,2025-08-06,META,770.00,773.64,760.46,771.99,9733900,7514473365.94,0
1754400600000,2025-08-05,META,776.45,783.13,763.00,763.46,11640300,8886903693.77,0
1754314200000,2025-08-04,META,760.00,776.85,758.41,776.37,15801700,12267965751.84,0
1754055000000,2025-08-01,META,760.73,766.00,745.31,750.01,19028700,14271715472.83,0
1753968600000,2025-07-31,META,775.20,784.75,765.51,773.44,38831100,30033526078.80,0
1753882200000,2025-07-30,META,708.09,708.50,691.20,695.21,27077300,18824410327.96,0
1753795800000,2025-07-29,META,720.00,724.47,699.91,700.00,13267000,9286900000.00,0
1753709400000,2025-07-28,META,715.20,724.74,712.68,717.63,8715700,6254647833.56,0
1753450200000,2025-07-25,META,716.92,720.65,711.90,712.68,8271700,5895075095.42,0
1753363800000,2025-07-24,META,717.05,723.62,714.00,714.80,10920800,7806187706.69,0
1753277400000,2025-07-23,META,706.37,714.63,704.93,713.58,8771600,6259238477.91,0
1753191000000,2025-07-22,META,716.19,716.60,701.41,704.81,8921100,6287680469.22,0
1753104600000,2025-07-21,META,706.80,717.00,705.76,712.97,9404400,6705054792.48,0
1752845400000,2025-07-18,META,702.19,704.71,691.65,704.28,12779800,9000557918.41,0
1752759000000,2025-07-17,META,704.39,705.90,697.11,701.41,11803300,8278952336.02,0
1752672600000,2025-07-16,META,713.37,713.97,699.27,702.91,13067600,9185346365.06,0
1752586200000,2025-07-15,META,723.90,724.47,709.82,710.39,11529500,8190441673.89,0
1752499800000,2025-07-14,META,717.60,728.00,716.55,720.92,8939400,6444592095.23,0
1752240600000,2025-07-11,META,722.50,725.16,709.70,717.51,10873900,7802132095.19,0
1752154200000,2025-07-10,META,731.55,735.80,719.60,727.24,9913600,7209566367.19,0
1752067800000,2025-07-09,META,722.72,737.53,722.72,732.78,11418000,8366882374.51,0
1751981400000,2025-07-08,META,721.57,722.91,714.81,720.67,7770700,5600110236.20,0
1751895000000,2025-07-07,META,717.60,727.00,713.51,718.35,9457100,6793507554.11,0
1751549400000,2025-07-03,META,726.61,729.03,714.42,719.01,8601700,6184708401.00,0
