https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume MSFT,Volume USDT,tradecount
1774618200000,2026-03-27,MSFT,361.90,362.45,356.51,356.77,37763600,13472919157.12,0
1774531800000,2026-03-26,MSFT,370.82,374.72,365.19,365.97,36836600,13481090546.97,0
1774445400000,2026-03-25,MSFT,376.92,377.06,369.63,371.04,31181200,11569472714.44,0
1774359000000,2026-03-24,MSFT,382.36,382.47,371.85,372.74,42733600,15928521646.68,0
1774272600000,2026-03-23,MSFT,383.90,387.21,381.68,383.00,29680100,11367478300.00,0
1774013400000,2026-03-20,MSFT,386.79,387.00,380.12,381.87,50853200,19419311235.69,0
1773927000000,2026-03-19,MSFT,390.10,392.49,387.06,389.02,25138800,9779495699.82,0
1773840600000,2026-03-18,MSFT,397.13,398.00,391.00,391.79,25908500,10150691436.39,0
1773754200000,2026-03-17,MSFT,400.27,404.40,397.75,399.41,26228300,10475845399.05,0
1773667800000,2026-03-16,MSFT,398.07,400.63,394.79,399.95,27733700,11092093653.55,0
1773408600000,2026-03-13,MSFT,401.00,404.80,394.25,395.55,26848000,10619726072.27,0
1773322200000,2026-03-12,MSFT,404.63,406.12,401.71,401.86,27263900,10956270454.63,0
1773235800000,2026-03-11,MSFT,405.57,409.01,401.59,404.88,25512100,10329339172.57,0
1773149400000,2026-03-10,MSFT,410.03,410.20,402.93,405.76,31706400,12865189173.63,0
1773063000000,2026-03-09,MSFT,404.92,410.21,403.50,409.41,30131900,12336301289.35,0
1772807400000,2026-03-06,MSFT,409.20,413.05,408.51,408.96,31123900,12728429878.05,0
1772721000000,2026-03-05,MSFT,404.42,411.61,404.40,410.68,39001300,16017053598.35,0
1772634600000,2026-03-04,MSFT,401.27,411.03,400.31,405.20,35808000,14509402037.11,0
1772548200000,2026-03-03,MSFT,393.14,406.70,392.67,403.93,38199200,15429802576.22,0
1772461800000,2026-03-02,MSFT,392.86,401.19,390.63,398.55,35474900,14138520961.96,0
1772202600000,2026-02-27,MSFT,390.88,396.82,389.88,392.74,51367200,20173953626.37,0
1772116200000,2026-02-26,MSFT,404.71,407.49,398.74,401.72,34405900,13821538190.00,0
1772029800000,2026-02-25,MSFT,390.53,401.47,390.16,400.60,43625500,17476375566.27,0
1771943400000,2026-02-24,MSFT,384.14,389.36,381.71,389.00,33884700,13181148300.00,0
1771857000000,2026-02-23,MSFT,395.00,395.36,383.10,384.47,43238300,16623829253.78,0
1771597800000,2026-02-20,MSFT,396.11,400.12,395.16,397.23,34015200,13511858269.70,0
1771511400000,2026-02-19,MSFT,400.69,404.43,396.67,398.46,28234000,11250119398.74,0
1771425000000,2026-02-18,MSFT,398.13,402.56,396.32,399.60,23223400,9280070781.74,0
1771338600000,2026-02-17,MSFT,399.22,400.52,394.53,396.86,32078800,12730792098.10,0
1770993000000,2026-02-13,MSFT,404.45,405.54,398.05,401.32,34091600,13681641161.69,0
1770906600000,2026-02-12,MSFT,405.00,406.20,398.01,401.84,40802400,16396036266.58,0
1770820200000,2026-02-11,MSFT,416.18,416.46,401.01,404.37,42491000,17182085462.52,0
1770733800000,2026-02-10,MSFT,419.62,423.68,412.70,413.27,44857900,18538423840.18,0
1770647400000,2026-02-09,MSFT,404.85,414.89,400.87,413.60,45480500,18810735077.59,0
1770388200000,2026-02-06,MSFT,399.17,401.79,392.92,401.14,53515300,21467128225.92,0
1770301800000,2026-02-05,MSFT,407.44,408.30,392.32,393.67,66289200,26096070254.11,0
1770215400000,2026-02-04,MSFT,411.00,419.80,409.24,414.19,45012400,18643686065.89,0
1770129000000,2026-02-03,MSFT,422.01,422.05,408.56,411.21,61424100,25258203636.14,0
1770042600000,2026-02-02,MSFT,430.24,430.74,422.25,423.37,42219900,17874638856.85,0
1769783400000,2026-01-30,MSFT,439.17,439.60,426.45,430.29,58566800,25200708872.45,0
1769697000000,2026-01-29,MSFT,439.99,442.50,421.02,433.50,128855300,55858772550.00,0
1769610600000,2026-01-28,MSFT,483.21,483.74,478.00,481.63,36875400,17760299082.06,0
1769524200000,2026-01-27,MSFT,473.70,482.87,473.16,480.58,29213900,14039615669.72,0
1769437800000,2026-01-26,MSFT,465.31,474.25,462.00,470.28,29291200,13775065500.24,0
1769178600000,2026-01-23,MSFT,451.87,471.10,450.53,465.95,38000200,17706193653.87,0
1769092200000,2026-01-22,MSFT,447.62,452.84,444.70,451.14,25349400,11436128687.33,0
1769005800000,2026-01-21,MSFT,452.60,452.69,438.68,444.11,37980500,16867519298.65,0
1768919400000,2026-01-20,MSFT,451.22,456.80,449.28,454.52,26130000,11876607312.93,0
1768573800000,2026-01-16,MSFT,457.83,463.19,456.48,459.86,34246700,15748686960.34,0
1768487400000,2026-01-15,MSFT,464.12,464.25,455.90,456.66,23225800,10606293913.06,0
1768401000000,2026-01-14,MSFT,466.46,468.20,457.17,459.38,28184300,12947303871.62,0
1768314600000,2026-01-13,MSFT,474.68,475.78,465.95,470.67,28545800,13435652069.31,0
1768228200000,2026-01-12,MSFT,476.67,480.99,475.68,477.18,23519900,11223225709.74,0
1767969000000,2026-01-09,MSFT,474.06,479.82,472.20,479.28,18491000,8862366457.43,0
1767882600000,2026-01-08,MSFT,481.24,482.66,475.86,478.11,18162600,8683720419.95,0
1767796200000,2026-01-07,MSFT,479.76,489.70,477.95,483.47,25564200,12359523805.21,0
1767709800000,2026-01-06,MSFT,473.80,478.74,469.75,478.51,23037700,11023770051.98,0
1767623400000,2026-01-05,MSFT,474.06,476.07,469.50,472.85,25250300,11939604509.12,0
1767364200000,2026-01-02,MSFT,484.39,484.66,470.16,472.94,25571600,12093832566.43,0
1767191400000,2025-12-31,MSFT,487.84,488.14,483.30,483.62,15601600,7545245715.82,0
1767105000000,2025-12-30,MSFT,485.93,489.68,485.50,487.48,13944500,6797665013.20,0
1767018600000,2025-12-29,MSFT,484.86,488.35,484.18,487.10,10893400,5306175206.49,0
1766759400000,2025-12-26,MSFT,486.71,488.12,485.96,487.71,8842200,4312429286.44,0
1766586600000,2025-12-24,MSFT,485.68,489.16,484.83,488.02,5855900,2857796253.67,0
1766500200000,2025-12-23,MSFT,484.98,487.83,484.74,486.85,14683600,7148710749.62,0
1766413800000,2025-12-22,MSFT,486.12,488.73,482.69,484.92,16963000,8225698187.77,0
1766154600000,2025-12-19,MSFT,487.36,487.85,482.49,485.92,70836100,34420678663.17,0
1766068200000,2025-12-18,MSFT,478.19,489.60,477.89,483.98,28573500,13829002843.92,0
1765981800000,2025-12-17,MSFT,476.91,480.00,475.00,476.12,24527200,11677890344.24,0
1765895400000,2025-12-16,MSFT,471.91,477.89,470.88,476.39,20705600,9863941087.30,0
1765809000000,2025-12-15,MSFT,480.10,480.72,472.52,474.82,23727700,11266386687.79,0
1765549800000,2025-12-12,MSFT,479.82,482.45,476.34,478.53,21248100,10167853267.06,0
1765463400000,2025-12-11,MSFT,476.63,486.03,475.86,483.47,24669200,11926818154.11,0
1765377000000,2025-12-10,MSFT,484.03,484.25,475.08,478.56,35756200,17111486984.70,0
1765290600000,2025-12-09,MSFT,489.10,492.12,488.50,492.02,14696100,7230774960.54,0
1765204200000,2025-12-08,MSFT,484.89,492.30,484.38,491.02,21965900,10785695976.68,0
1764945000000,2025-12-05,MSFT,482.52,483.40,478.88,483.16,22608700,10923619574.80,0
1764858600000,2025-12-04,MSFT,479.76,481.32,476.49,480.84,22318200,10731483206.27,0
1764772200000,2025-12-03,MSFT,476.32,484.24,475.20,477.73,34615100,16536672103.29,0
1764685800000,2025-12-02,MSFT,486.72,493.50,486.32,490.00,19562700,9585723000.00,0
1764599400000,2025-12-01,MSFT,488.44,489.86,484.65,486.74,23964000,11664237125.98,0
1764340200000,2025-11-28,MSFT,487.60,492.63,486.65,492.01,14386700,7078400407.50,0
1764167400000,2025-11-26,MSFT,486.31,488.31,481.20,485.50,25709100,12481768050.00,0
1764081000000,2025-11-25,MSFT,474.07,479.15,464.89,476.99,28019800,13365164128.37,0
1763994600000,2025-11-24,MSFT,475.00,476.90,468.02,474.00,34421000,16315554000.00,0
1763735400000,2025-11-21,MSFT,478.50,478.92,468.27,472.12,31769200,14998874548.88,0
1763649000000,2025-11-20,MSFT,492.71,493.57,475.50,478.43,26802500,12823119878.69,0
1763562600000,2025-11-19,MSFT,490.10,495.19,482.83,487.12,23245300,11323250422.50,0
1763476200000,2025-11-18,MSFT,495.37,502.98,486.78,493.79,33815100,16697558517.95,0
1763389800000,2025-11-17,MSFT,508.45,512.12,504.91,507.49,19092800,9689404885.55,0
1763130600000,2025-11-14,MSFT,498.23,511.60,497.44,510.18,28505700,14543037817.22,0
1763044200000,2025-11-13,MSFT,510.31,513.50,501.29,503.29,25273100,12719698714.96,0
1762957800000,2025-11-12,MSFT,509.36,511.67,499.12,511.14,26574900,13583494775.28,0
1762871400000,2025-11-11,MSFT,504.80,509.60,502.35,508.68,17980000,9146066268.31,0
1762785000000,2025-11-10,MSFT,500.04,506.85,498.80,506.00,26101500,13207359000.00,0
1762525800000,2025-11-07,MSFT,496.95,499.38,493.25,496.82,24019800,11933517211.93,0
1762439400000,2025-11-06,MSFT,505.66,505.70,495.81,497.10,27406500,13623771317.28,0
1762353000000,2025-11-05,MSFT,513.30,514.83,506.58,507.16,23024300,11677004072.32,0
1762266600000,2025-11-04,MSFT,511.76,515.55,507.84,514.33,20958700,10779688529.18,0
1762180200000,2025-11-03,MSFT,519.81,524.96,514.59,517.03,22374700,11568391796.51,0
1761917400000,2025-10-31,MSFT,528.88,529.32,515.10,517.81,34006400,17608853900.98,0
1761831000000,2025-10-30,MSFT,530.48,534.97,522.12,525.76,41023100,21568305456.62,0
1761744600000,2025-10-29,MSFT,544.94,546.27,536.73,541.55,36023000,19508255210.27,0
