https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NFLX,Volume USDT,tradecount
1774618200000,2026-03-27,NFLX,94.57,95.58,92.74,93.43,44503800,4157990047.58,0
1774531800000,2026-03-26,NFLX,91.52,95.86,91.01,93.32,59522000,5554593021.84,0
1774445400000,2026-03-25,NFLX,91.71,92.52,91.24,92.28,29545600,2726467931.93,0
1774359000000,2026-03-24,NFLX,92.79,93.74,90.82,90.92,28938000,2631042907.01,0
1774272600000,2026-03-23,NFLX,92.04,93.98,91.86,93.38,34315900,3204418647.75,0
1774013400000,2026-03-20,NFLX,91.31,91.88,90.69,91.82,61678000,5663273941.18,0
1773927000000,2026-03-19,NFLX,94.31,95.75,90.78,91.74,40169300,3685131496.19,0
1773840600000,2026-03-18,NFLX,94.45,95.34,93.61,94.70,27878300,2640074924.92,0
1773754200000,2026-03-17,NFLX,95.30,96.34,94.01,94.36,26434500,2494359436.13,0
1773667800000,2026-03-16,NFLX,95.58,96.10,94.36,95.20,34931800,3325507253.40,0
1773408600000,2026-03-13,NFLX,94.64,95.68,94.24,95.31,29876700,2847548204.06,0
1773322200000,2026-03-12,NFLX,94.86,95.40,93.87,94.31,34206900,3226052655.49,0
1773235800000,2026-03-11,NFLX,97.41,98.00,94.69,94.89,33962900,3222739560.27,0
1773149400000,2026-03-10,NFLX,97.81,98.49,96.29,96.94,41027200,3977176868.16,0
1773063000000,2026-03-09,NFLX,97.70,98.94,96.58,98.32,48589000,4777270465.17,0
1772807400000,2026-03-06,NFLX,99.33,99.88,97.40,99.02,41196300,4079257487.71,0
1772721000000,2026-03-05,NFLX,98.50,100.19,98.10,99.17,53403000,5295975412.22,0
1772634600000,2026-03-04,NFLX,97.11,99.75,96.99,98.66,52604300,5189940430.64,0
1772548200000,2026-03-03,NFLX,96.01,98.46,95.33,97.70,59149000,5778857119.49,0
1772461800000,2026-03-02,NFLX,95.26,98.07,95.20,97.09,79915400,7758985893.34,0
1772202600000,2026-02-27,NFLX,94.30,96.75,90.58,96.24,200767000,19321815651.12,0
1772116200000,2026-02-26,NFLX,83.20,86.50,82.80,84.59,85642500,7244498761.37,0
1772029800000,2026-02-25,NFLX,79.43,83.12,79.25,82.70,69319300,5732705898.45,0
1771943400000,2026-02-24,NFLX,75.73,78.12,75.21,78.04,33079100,2581492994.28,0
1771857000000,2026-02-23,NFLX,77.79,77.83,75.01,76.02,38363000,2916355131.22,0
1771597800000,2026-02-20,NFLX,76.61,78.85,76.40,78.67,32411300,2549796911.65,0
1771511400000,2026-02-19,NFLX,77.75,78.70,76.59,77.00,30139200,2320718400.00,0
1771425000000,2026-02-18,NFLX,77.32,78.32,76.28,77.99,29883100,2330582905.16,0
1771338600000,2026-02-17,NFLX,76.92,77.87,75.30,77.00,35961500,2769035500.00,0
1770993000000,2026-02-13,NFLX,76.14,77.18,75.53,76.87,42292100,3250993843.16,0
1770906600000,2026-02-12,NFLX,79.11,79.15,75.23,75.86,73516100,5576931390.87,0
1770820200000,2026-02-11,NFLX,81.96,82.48,79.45,79.62,40840300,3251704798.17,0
1770733800000,2026-02-10,NFLX,82.72,84.66,82.09,82.21,43595800,3584010678.09,0
1770647400000,2026-02-09,NFLX,82.18,82.21,79.87,81.47,42200200,3438050345.51,0
1770388200000,2026-02-06,NFLX,81.02,82.49,80.65,82.20,46154100,3793866879.15,0
1770301800000,2026-02-05,NFLX,81.49,83.30,80.54,80.87,54805700,4432137109.53,0
1770215400000,2026-02-04,NFLX,79.99,81.44,79.23,80.16,48963200,3924890291.31,0
1770129000000,2026-02-03,NFLX,82.23,82.45,79.62,79.94,49789000,3980132781.56,0
1770042600000,2026-02-02,NFLX,83.53,85.27,82.72,82.76,41445300,3430013116.54,0
1769783400000,2026-01-30,NFLX,83.10,84.06,82.78,83.49,45755000,3820084852.26,0
1769697000000,2026-01-29,NFLX,84.31,84.38,82.35,83.16,42278100,3515846950.83,0
1769610600000,2026-01-28,NFLX,85.63,86.47,84.30,84.64,37762600,3196226440.95,0
1769524200000,2026-01-27,NFLX,85.28,85.60,83.88,85.58,37790800,3234136733.20,0
1769437800000,2026-01-26,NFLX,86.92,86.94,85.35,85.70,40941900,3508720705.06,0
1769178600000,2026-01-23,NFLX,83.43,86.30,83.28,86.12,64520400,5556497025.21,0
1769092200000,2026-01-22,NFLX,85.02,85.10,82.98,83.54,69113300,5773725145.28,0
1769005800000,2026-01-21,NFLX,82.52,86.00,81.93,85.36,127940700,10921018230.09,0
1768919400000,2026-01-20,NFLX,88.97,89.90,87.02,87.26,109729700,9575013856.41,0
1768573800000,2026-01-16,NFLX,88.34,88.51,87.78,88.00,48130500,4235484000.00,0
1768487400000,2026-01-15,NFLX,89.02,89.89,87.82,88.05,36945100,3253016167.75,0
1768401000000,2026-01-14,NFLX,91.24,91.58,87.95,88.55,49737700,4404273486.79,0
1768314600000,2026-01-13,NFLX,89.44,91.15,89.07,90.32,45221100,4084369738.20,0
1768228200000,2026-01-12,NFLX,89.69,90.34,89.33,89.41,36290600,3244742678.90,0
1767969000000,2026-01-09,NFLX,90.03,90.05,88.32,89.46,55579500,4972142019.12,0
1767882600000,2026-01-08,NFLX,90.45,91.25,89.58,90.53,40068700,3627419362.09,0
1767796200000,2026-01-07,NFLX,91.56,92.42,90.06,90.73,36525700,3313976883.61,0
1767709800000,2026-01-06,NFLX,91.54,91.64,89.74,90.65,43331000,3927955216.12,0
1767623400000,2026-01-05,NFLX,90.92,92.63,90.84,91.46,39183300,3583704582.13,0
1767364200000,2026-01-02,NFLX,94.13,94.13,90.81,90.99,41155400,3744729758.08,0
1767191400000,2025-12-31,NFLX,93.60,94.31,93.20,93.76,23495200,2202910002.19,0
1767105000000,2025-12-30,NFLX,93.52,93.99,93.34,93.78,23422000,2196515131.41,0
1767018600000,2025-12-29,NFLX,93.99,94.97,93.63,94.15,24493700,2306081892.37,0
1766759400000,2025-12-26,NFLX,93.48,94.69,93.27,94.47,22068300,2084792327.94,0
1766586600000,2025-12-24,NFLX,93.11,93.68,92.67,93.64,12427900,1163748548.41,0
1766500200000,2025-12-23,NFLX,93.40,93.81,91.33,93.50,25896200,2421294700.00,0
1766413800000,2025-12-22,NFLX,94.71,94.71,92.91,93.23,39484800,3681168036.55,0
1766154600000,2025-12-19,NFLX,93.57,95.54,93.45,94.39,78990200,7455884929.79,0
1766068200000,2025-12-18,NFLX,95.02,95.81,93.59,94.00,37244700,3501001800.00,0
1765981800000,2025-12-17,NFLX,95.98,97.33,94.46,94.79,50472800,4784316758.21,0
1765895400000,2025-12-16,NFLX,93.88,94.93,93.32,94.57,34265000,3240441039.54,0
1765809000000,2025-12-15,NFLX,96.02,96.37,93.53,93.77,40016500,3752347070.67,0
1765549800000,2025-12-12,NFLX,95.50,96.92,94.65,95.19,49323100,4695066009.42,0
1765463400000,2025-12-11,NFLX,93.90,94.82,92.76,94.09,43949000,4135161249.05,0
1765377000000,2025-12-10,NFLX,96.74,96.97,92.35,92.71,74129300,6872527335.13,0
1765290600000,2025-12-09,NFLX,97.03,97.24,95.45,96.71,51745600,5004316928.63,0
1765204200000,2025-12-08,NFLX,99.87,99.89,95.30,96.79,100906300,9766720869.38,0
1764945000000,2025-12-05,NFLX,98.78,104.79,97.74,100.24,133363600,13368366979.10,0
1764858600000,2025-12-04,NFLX,103.57,103.80,101.77,103.22,51779100,5344638765.21,0
1764772200000,2025-12-03,NFLX,106.59,106.87,102.03,103.96,53593400,5571569814.93,0
1764685800000,2025-12-02,NFLX,109.21,109.73,107.52,109.35,25763000,2817184010.69,0
