https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume NVDA,Volume USDT,tradecount
1774618200000,2026-03-27,NVDA,170.00,170.97,167.01,167.52,195294300,32715701970.39,0
1774531800000,2026-03-26,NVDA,176.07,176.51,171.14,171.24,186152200,31876703750.56,0
1774445400000,2026-03-25,NVDA,177.10,181.22,176.85,178.68,162602100,29053742037.07,0
1774359000000,2026-03-24,NVDA,174.83,176.22,173.98,175.20,147667800,25871398109.35,0
1774272600000,2026-03-23,NVDA,177.26,178.37,174.76,175.64,182836300,32113367620.41,0
1774013400000,2026-03-20,NVDA,178.00,178.26,171.72,172.70,241323500,41676567713.54,0
1773927000000,2026-03-19,NVDA,178.01,179.98,175.79,178.56,170968500,30528134942.60,0
1773840600000,2026-03-18,NVDA,182.48,183.38,180.33,180.40,156683100,28265630283.68,0
1773754200000,2026-03-17,NVDA,185.06,185.40,181.68,181.93,182497800,33201823417.35,0
1773667800000,2026-03-16,NVDA,182.97,188.88,181.41,183.22,217307400,39815062093.27,0
1773408600000,2026-03-13,NVDA,184.92,186.09,179.94,180.25,160988400,29018159100.00,0
1773322200000,2026-03-12,NVDA,184.05,184.94,181.75,183.14,155762700,28526380782.93,0
1773235800000,2026-03-11,NVDA,185.91,187.62,184.45,186.03,145280400,27026512634.66,0
1773149400000,2026-03-10,NVDA,182.40,186.44,182.01,184.77,179118500,33095726010.28,0
1773063000000,2026-03-09,NVDA,176.83,182.91,175.56,182.65,177213600,32368062958.37,0
1772807400000,2026-03-06,NVDA,179.84,182.76,176.82,177.82,189021900,33611875642.44,0
1772721000000,2026-03-05,NVDA,181.17,184.06,177.88,183.34,198779700,36444269470.05,0
1772634600000,2026-03-04,NVDA,180.44,184.70,180.06,183.04,177731200,32531917654.74,0
1772548200000,2026-03-03,NVDA,178.49,180.90,176.92,180.05,178099400,32066797513.52,0
1772461800000,2026-03-02,NVDA,175.01,183.46,174.64,182.48,209095300,38155709450.65,0
1772202600000,2026-02-27,NVDA,181.25,182.59,176.38,177.19,311636500,55218872195.83,0
1772116200000,2026-02-26,NVDA,194.27,194.29,184.32,184.89,360807900,66709772410.78,0
1772029800000,2026-02-25,NVDA,194.45,197.63,193.79,195.56,250637100,49014590664.09,0
1771943400000,2026-02-24,NVDA,191.49,193.77,187.40,192.85,175123600,33772587328.87,0
1771857000000,2026-02-23,NVDA,191.40,193.95,189.58,191.55,171584800,32867068963.64,0
1771597800000,2026-02-20,NVDA,186.57,190.33,185.94,189.82,178422300,33868122292.80,0
1771511400000,2026-02-19,NVDA,187.06,188.43,185.66,187.90,126554500,23779589777.57,0
1771425000000,2026-02-18,NVDA,188.75,190.37,186.76,187.98,164749100,30969535114.12,0
1771338600000,2026-02-17,NVDA,181.75,187.15,179.18,184.97,162276900,30016358391.09,0
1770993000000,2026-02-13,NVDA,187.48,187.50,181.59,182.81,161888000,29594744884.77,0
1770906600000,2026-02-12,NVDA,193.03,193.61,186.51,186.94,189932500,35505982013.70,0
1770820200000,2026-02-11,NVDA,192.45,193.26,188.77,190.05,144192700,27403823075.04,0
1770733800000,2026-02-10,NVDA,191.38,192.48,188.12,188.54,136764800,25785634473.78,0
1770647400000,2026-02-09,NVDA,184.26,193.66,183.95,190.04,196387400,37321460177.48,0
1770388200000,2026-02-06,NVDA,176.69,187.00,174.60,185.41,231346200,42893899789.22,0
1770301800000,2026-02-05,NVDA,174.93,176.82,171.03,171.88,206312900,35461062259.39,0
1770215400000,2026-02-04,NVDA,179.46,179.58,171.91,174.19,207014100,36059786584.41,0
1770129000000,2026-02-03,NVDA,186.24,186.27,176.23,180.34,204019600,36792893916.86,0
1770042600000,2026-02-02,NVDA,187.20,190.30,184.88,185.61,165794100,30773043002.19,0
1769783400000,2026-01-30,NVDA,191.21,194.49,189.47,191.13,179489500,34305829011.41,0
1769697000000,2026-01-29,NVDA,191.34,193.48,186.06,192.51,171764400,33066363700.47,0
1769610600000,2026-01-28,NVDA,191.27,192.35,189.84,191.52,148552700,28450813738.69,0
1769524200000,2026-01-27,NVDA,187.24,190.00,185.70,188.52,143711600,27092511446.00,0
1769437800000,2026-01-26,NVDA,187.16,189.12,185.99,186.47,124799600,23271381564.34,0
1769178600000,2026-01-23,NVDA,187.50,189.60,186.82,187.67,142748100,26789535665.62,0
1769092200000,2026-01-22,NVDA,184.75,186.17,183.93,184.84,139636600,25810428632.64,0
1769005800000,2026-01-21,NVDA,179.05,185.38,178.40,183.32,200381000,36733846387.63,0
1768919400000,2026-01-20,NVDA,181.90,182.38,177.61,178.07,223345300,39771099206.83,0
1768573800000,2026-01-16,NVDA,189.08,190.44,186.08,186.23,187967200,35005130852.92,0
1768487400000,2026-01-15,NVDA,186.50,189.70,186.33,187.05,206188600,38567578259.24,0
1768401000000,2026-01-14,NVDA,184.32,184.46,180.80,183.14,159586100,29226598256.60,0
1768314600000,2026-01-13,NVDA,185.00,188.11,183.40,185.81,160128900,29753550518.06,0
1768228200000,2026-01-12,NVDA,183.22,187.12,183.02,184.94,137968500,25515894726.84,0
1767969000000,2026-01-09,NVDA,185.08,186.34,183.67,184.86,131327500,24277201730.16,0
1767882600000,2026-01-08,NVDA,189.11,189.55,183.71,185.04,172457000,31911442122.15,0
1767796200000,2026-01-07,NVDA,188.57,191.37,186.56,189.11,153543200,29036554645.72,0
1767709800000,2026-01-06,NVDA,190.52,192.17,186.82,187.24,176862600,33115754195.54,0
1767623400000,2026-01-05,NVDA,191.76,193.63,186.15,188.12,183529700,34525606267.86,0
1767364200000,2026-01-02,NVDA,189.84,192.93,188.26,188.85,148240500,27995219329.79,0
1767191400000,2025-12-31,NVDA,189.57,190.56,186.49,186.50,120100500,22398743250.00,0
1767105000000,2025-12-30,NVDA,188.24,188.99,186.93,187.54,97687300,18320275586.14,0
1767018600000,2025-12-29,NVDA,187.71,188.76,185.91,188.22,120006100,22587548288.49,0
1766759400000,2025-12-26,NVDA,189.92,192.69,188.00,190.53,139740300,26624719188.42,0
1766586600000,2025-12-24,NVDA,187.94,188.91,186.59,188.61,65528500,12359330425.00,0
1766500200000,2025-12-23,NVDA,182.97,189.33,182.90,189.21,174873600,33087835030.08,0
1766413800000,2025-12-22,NVDA,183.92,184.16,182.35,183.69,129064400,23707839951.10,0
1766154600000,2025-12-19,NVDA,176.67,181.45,176.34,180.99,324925900,58808340425.87,0
1766068200000,2025-12-18,NVDA,174.53,176.15,171.82,174.14,176096000,30665357332.52,0
1765981800000,2025-12-17,NVDA,176.10,176.13,170.31,170.94,222775500,38081244513.89,0
1765895400000,2025-12-16,NVDA,176.26,178.49,174.90,177.72,148588100,26407077313.38,0
1765809000000,2025-12-15,NVDA,177.94,178.42,175.03,176.29,164775600,29048289417.72,0
1765549800000,2025-12-12,NVDA,181.11,182.82,174.62,175.02,204274900,35752193870.76,0
1765463400000,2025-12-11,NVDA,180.28,181.32,176.62,180.93,182136600,32953973703.99,0
1765377000000,2025-12-10,NVDA,184.97,185.48,182.04,183.78,162785400,29916700613.29,0
1765290600000,2025-12-09,NVDA,185.56,185.72,183.32,184.97,144719700,26768803085.66,0
1765204200000,2025-12-08,NVDA,182.64,188.00,182.40,185.55,204378100,37922357078.71,0
1764945000000,2025-12-05,NVDA,183.89,184.66,180.91,182.41,143971100,26261768878.24,0
1764858600000,2025-12-04,NVDA,181.62,184.52,179.96,183.38,167364900,30691376179.21,0
1764772200000,2025-12-03,NVDA,181.08,182.45,179.11,179.59,165138000,29657132815.25,0
1764685800000,2025-12-02,NVDA,181.76,185.66,180.00,181.46,182632200,33140440238.17,0
1764599400000,2025-12-01,NVDA,174.76,180.30,173.68,179.92,188131000,33848529175.52,0
1764340200000,2025-11-28,NVDA,179.01,179.29,176.50,177.00,121332800,21475905600.00,0
1764167400000,2025-11-26,NVDA,181.63,182.91,178.24,180.26,183852000,33141160510.07,0
1764081000000,2025-11-25,NVDA,174.91,178.16,169.55,177.82,320600300,57009147694.15,0
1763994600000,2025-11-24,NVDA,179.49,183.50,176.48,182.55,256618300,46845671448.14,0
1763735400000,2025-11-21,NVDA,181.24,184.56,172.93,178.88,346926200,62058160349.98,0
1763649000000,2025-11-20,NVDA,195.95,196.00,179.85,180.64,343504800,62050706862.34,0
1763562600000,2025-11-19,NVDA,184.79,187.86,182.83,186.52,247246400,46116399584.35,0
1763476200000,2025-11-18,NVDA,183.38,184.80,179.65,181.36,213598900,38738296634.37,0
1763389800000,2025-11-17,NVDA,185.97,189.00,184.32,186.60,173628900,32399153799.75,0
1763130600000,2025-11-14,NVDA,182.86,191.01,180.58,190.17,186591900,35484181281.34,0
1763044200000,2025-11-13,NVDA,191.05,191.44,183.85,186.86,207423100,38759080592.60,0
1762957800000,2025-11-12,NVDA,195.72,195.89,191.13,193.80,154935300,30026461612.83,0
1762871400000,2025-11-11,NVDA,195.16,195.42,191.30,193.16,176483300,34089514874.30,0
1762785000000,2025-11-10,NVDA,195.11,199.94,193.79,199.05,198897100,39590468361.99,0
1762525800000,2025-11-07,NVDA,184.90,188.32,178.91,188.15,264942300,49848892127.92,0
1762439400000,2025-11-06,NVDA,196.42,197.62,186.38,188.08,223029800,41947445192.38,0
1762353000000,2025-11-05,NVDA,198.77,202.92,194.65,195.21,171350300,33449293213.42,0
1762266600000,2025-11-04,NVDA,203.00,203.97,197.93,198.69,188919300,37536376178.23,0
1762180200000,2025-11-03,NVDA,208.08,211.34,205.56,206.88,180267300,37293699904.21,0
1761917400000,2025-10-31,NVDA,206.45,207.97,202.07,202.49,179802200,36408148465.68,0
1761831000000,2025-10-30,NVDA,205.15,206.16,201.41,202.89,178864400,36289798006.83,0
1761744600000,2025-10-29,NVDA,207.98,212.19,204.78,207.04,308829600,63940078310.56,0
1761658200000,2025-10-28,NVDA,193.05,203.15,191.91,201.03,297986200,59904165422.25,0
1761571800000,2025-10-27,NVDA,189.99,192.00,188.43,191.49,153452700,29384658365.94,0
1761312600000,2025-10-24,NVDA,183.84,187.47,183.50,186.26,131296700,24455322620.77,0
1761226200000,2025-10-23,NVDA,180.42,183.03,179.79,182.16,111363700,20286011999.83,0
1761139800000,2025-10-22,NVDA,181.14,183.44,176.76,180.28,162249600,29250357689.94,0
1761053400000,2025-10-21,NVDA,182.79,182.79,179.80,181.16,124240200,22507355086.98,0
1760967000000,2025-10-20,NVDA,183.13,185.20,181.73,182.64,128544700,23477403929.54,0
1760707800000,2025-10-17,NVDA,180.18,184.10,179.75,183.22,173135200,31721831555.35,0
1760621400000,2025-10-16,NVDA,182.23,183.28,179.77,181.81,179723300,32675492734.22,0
1760535000000,2025-10-15,NVDA,184.80,184.87,177.29,179.83,214450500,38564633807.67,0
1760448600000,2025-10-14,NVDA,184.77,184.80,179.70,180.03,205641400,37021620990.97,0
1760362200000,2025-10-13,NVDA,187.97,190.11,185.96,188.32,153482800,28903882020.14,0
1760103000000,2025-10-10,NVDA,193.51,195.62,182.05,183.16,268774400,49228720088.28,0
1760016600000,2025-10-09,NVDA,192.23,195.30,191.06,192.57,182997200,35239772144.31,0
1759930200000,2025-10-08,NVDA,186.57,189.60,186.54,189.11,130168900,24616240758.45,0
1759843800000,2025-10-07,NVDA,186.23,189.06,184.00,185.04,140088000,25921882579.47,0
1759757400000,2025-10-06,NVDA,185.50,187.23,183.33,185.54,157678100,29255593615.37,0
1759498200000,2025-10-03,NVDA,189.19,190.36,185.38,187.62,137596900,25815929706.14,0
1759411800000,2025-10-02,NVDA,189.60,191.05,188.06,188.89,136805800,25841247478.50,0
1759325400000,2025-10-01,NVDA,185.24,188.14,183.90,187.24,173844900,32550720030.96,0
1759239000000,2025-09-30,NVDA,182.08,187.35,181.48,186.58,236981000,44215915413.93,0
1759152600000,2025-09-29,NVDA,180.43,184.00,180.32,181.85,193063500,35108598653.37,0
1758893400000,2025-09-26,NVDA,178.17,179.77,174.93,178.19,148573700,26474347965.73,0
1758807000000,2025-09-25,NVDA,174.48,180.26,173.13,177.69,191586700,34043041190.74,0
1758720600000,2025-09-24,NVDA,179.77,179.78,175.40,176.97,143564100,25406538952.25,0
1758634200000,2025-09-23,NVDA,181.97,182.42,176.21,178.43,192559600,34358408017.65,0
1758547800000,2025-09-22,NVDA,175.30,184.55,174.71,183.61,269637000,49508049734.57,0
1758288600000,2025-09-19,NVDA,175.77,178.08,175.18,176.67,237182100,41902961172.71,0
1758202200000,2025-09-18,NVDA,173.98,177.10,172.96,176.24,191763300,33796365045.39,0
1758115800000,2025-09-17,NVDA,172.64,173.20,168.41,170.29,211843800,36074879279.71,0
1758029400000,2025-09-16,NVDA,177.00,177.50,174.38,174.88,140737800,24612227151.20,0
1757943000000,2025-09-15,NVDA,175.67,178.85,174.51,177.75,147061600,26140199400.00,0
1757683800000,2025-09-12,NVDA,177.77,178.60,176.45,177.82,124911000,22211674934.88,0
1757597400000,2025-09-11,NVDA,179.68,180.28,176.48,177.17,151159300,26780892904.22,0
1757511000000,2025-09-10,NVDA,176.64,179.29,175.47,177.33,226852000,40227665575.38,0
1757424600000,2025-09-09,NVDA,169.09,170.98,166.74,170.76,157548400,26902963918.56,0
1757338200000,2025-09-08,NVDA,167.55,170.96,167.35,168.31,163769100,27563976821.17,0
1757079000000,2025-09-05,NVDA,168.03,169.03,164.07,167.02,224441400,37486203586.92,0
1756992600000,2025-09-04,NVDA,170.57,171.86,169.41,171.66,141670100,24319089884.81,0
1756906200000,2025-09-03,NVDA,171.06,172.41,168.88,170.62,164424900,28054175635.14,0
1756819800000,2025-09-02,NVDA,170.00,172.38,167.22,170.78,231164900,39478341339.82,0
1756474200000,2025-08-29,NVDA,178.11,178.15,173.15,174.18,243257900,42370659240.33,0
1756387800000,2025-08-28,NVDA,180.82,184.47,176.41,180.17,281787800,50769707410.03,0
1756301400000,2025-08-27,NVDA,181.98,182.49,179.10,181.60,235518900,42770233677.49,0
1756215000000,2025-08-26,NVDA,180.06,182.39,178.81,181.77,168688200,30662454834.71,0
1756128600000,2025-08-25,NVDA,178.35,181.91,176.57,179.81,163012800,29311331170.02,0
1755869400000,2025-08-22,NVDA,172.61,178.59,171.20,177.99,172789400,30754786255.16,0
1755783000000,2025-08-21,NVDA,174.85,176.90,173.81,174.98,140040900,24504356083.68,0
1755696600000,2025-08-20,NVDA,175.17,176.00,168.80,175.40,215142700,37736028266.87,0
1755610200000,2025-08-19,NVDA,182.43,182.50,175.49,175.64,185229200,32533656574.95,0
1755523800000,2025-08-18,NVDA,180.60,182.94,180.59,182.01,132008000,24026775354.86,0
1755264600000,2025-08-15,NVDA,181.88,181.90,178.04,180.45,156602200,28258866512.09,0
1755178200000,2025-08-14,NVDA,179.75,183.02,179.46,182.02,129554000,23581419633.51,0
1755091800000,2025-08-13,NVDA,182.62,183.97,179.35,181.59,179871700,32662901344.29,0
1755005400000,2025-08-12,NVDA,182.96,184.48,179.46,183.16,145485700,26647161344.78,0
1754919000000,2025-08-11,NVDA,182.05,183.84,180.25,182.06,138323200,25183121454.30,0
1754659800000,2025-08-08,NVDA,181.55,183.30,180.40,182.70,123396700,22544576713.42,0
