https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume OP,Volume USDT,tradecount
1688428800000,2023-07-04,OPUSDT,1.35500000,1.37000000,1.26800000,1.28300000,15119886.45000000,20067517.40761000,51158
1688515200000,2023-07-05,OPUSDT,1.28300000,1.30300000,1.20000000,1.23400000,19075728.10000000,23851882.20416000,63973
1688601600000,2023-07-06,OPUSDT,1.23400000,1.28300000,1.18300000,1.18500000,16592574.80000000,20422841.91582000,54931
1688688000000,2023-07-07,OPUSDT,1.18500000,1.22700000,1.16900000,1.22700000,10907555.26000000,13119404.24442000,35231
1688774400000,2023-07-08,OPUSDT,1.22700000,1.23700000,1.18900000,1.21700000,7751883.30000000,9414574.31474000,25709
1688860800000,2023-07-09,OPUSDT,1.21700000,1.23000000,1.19800000,1.21400000,6900804.81000000,8377604.73265000,21596
1688947200000,2023-07-10,OPUSDT,1.21400000,1.22700000,1.09800000,1.20000000,17483153.42000000,20678532.30059000,53557
1689033600000,2023-07-11,OPUSDT,1.20000000,1.24500000,1.19200000,1.22400000,11153172.84000000,13563308.29749000,33603
1689120000000,2023-07-12,OPUSDT,1.22400000,1.27000000,1.19100000,1.21700000,15312284.97000000,18903476.58459000,53702
1689206400000,2023-07-13,OPUSDT,1.21700000,1.42600000,1.20600000,1.37000000,42188933.82000000,56425616.94087000,143880
1689292800000,2023-07-14,OPUSDT,1.37100000,1.64500000,1.36200000,1.45700000,85181211.20000000,124277823.96977000,315715
1689379200000,2023-07-15,OPUSDT,1.45600000,1.55300000,1.43400000,1.45900000,35407639.66000000,52396372.13307000,123075
1689465600000,2023-07-16,OPUSDT,1.45900000,1.51500000,1.39800000,1.49100000,20866005.21000000,30571927.20836000,76712
1689552000000,2023-07-17,OPUSDT,1.49100000,1.54900000,1.40500000,1.48100000,29337629.95000000,43263647.10579000,105277
1689638400000,2023-07-18,OPUSDT,1.48200000,1.56100000,1.41200000,1.43100000,30943911.48000000,46197309.13036000,111620
1689724800000,2023-07-19,OPUSDT,1.43000000,1.63300000,1.41700000,1.56500000,33940540.67000000,52157912.65814000,137023
1689811200000,2023-07-20,OPUSDT,1.56500000,1.60800000,1.50900000,1.53500000,24324136.47000000,37767961.49522000,86598
1689897600000,2023-07-21,OPUSDT,1.53400000,1.55800000,1.50100000,1.50900000,15521242.02000000,23680990.10085000,53631
1689984000000,2023-07-22,OPUSDT,1.50800000,1.59200000,1.50700000,1.56700000,13604964.07000000,21094584.14395000,52507
1690070400000,2023-07-23,OPUSDT,1.56700000,1.65900000,1.53700000,1.58100000,25127845.54000000,40084754.66291000,88642
1690156800000,2023-07-24,OPUSDT,1.58100000,1.58700000,1.47100000,1.50900000,28803519.68000000,44251655.93704000,95429
1690243200000,2023-07-25,OPUSDT,1.50800000,1.52400000,1.44400000,1.45100000,17114401.42000000,25431295.49915000,56102
1690329600000,2023-07-26,OPUSDT,1.45000000,1.54600000,1.40300000,1.51300000,19018656.78000000,28088930.32886000,69427
1690416000000,2023-07-27,OPUSDT,1.51200000,1.56900000,1.49000000,1.49700000,15477102.09000000,23656730.86212000,50264
1690502400000,2023-07-28,OPUSDT,1.49600000,1.51400000,1.46100000,1.47800000,11968220.82000000,17759009.94523000,38695
1690588800000,2023-07-29,OPUSDT,1.47700000,1.51600000,1.47300000,1.50900000,7602523.77000000,11400347.80934000,26074
1690675200000,2023-07-30,OPUSDT,1.50900000,1.63300000,1.49800000,1.62400000,35588055.29000000,56195020.22547000,127844
1690761600000,2023-07-31,OPUSDT,1.62400000,1.77100000,1.60500000,1.61300000,53074293.24000000,88568701.85198000,177615
1690848000000,2023-08-01,OPUSDT,1.61400000,1.66000000,1.55400000,1.65000000,29367474.57000000,46823407.30371000,88498
1690934400000,2023-08-02,OPUSDT,1.65000000,1.67900000,1.60600000,1.63800000,28986271.21000000,47560709.93000000,97129
1691020800000,2023-08-03,OPUSDT,1.63700000,1.75200000,1.63600000,1.71400000,42712964.73000000,72353653.38332000,124979
1691107200000,2023-08-04,OPUSDT,1.71400000,1.76700000,1.67700000,1.68700000,23870342.53000000,40997754.11803000,71589
1691193600000,2023-08-05,OPUSDT,1.68700000,1.72300000,1.65200000,1.69000000,14532439.13000000,24432831.37551000,43349
1691280000000,2023-08-06,OPUSDT,1.69100000,1.72700000,1.67400000,1.70200000,10965037.93000000,18615547.72881000,34673
1691366400000,2023-08-07,OPUSDT,1.70100000,1.80900000,1.67300000,1.79800000,30816087.82000000,53803447.33898000,92619
1691452800000,2023-08-08,OPUSDT,1.79700000,1.82900000,1.66300000,1.68000000,39559587.49000000,67947378.28704000,125712
1691539200000,2023-08-09,OPUSDT,1.67900000,1.70500000,1.52200000,1.55100000,36720160.64000000,59554212.33767000,117432
1691625600000,2023-08-10,OPUSDT,1.55100000,1.60000000,1.54600000,1.58000000,18614574.22000000,29293165.35705000,59548
1691712000000,2023-08-11,OPUSDT,1.58000000,1.60900000,1.57300000,1.58900000,12088811.00000000,19232765.23877000,36121
1691798400000,2023-08-12,OPUSDT,1.58900000,1.59800000,1.53500000,1.55100000,10021616.79000000,15708085.82485000,29677
1691884800000,2023-08-13,OPUSDT,1.55000000,1.56600000,1.52500000,1.54000000,8542349.25000000,13228800.48797000,27329
1691971200000,2023-08-14,OPUSDT,1.53900000,1.57700000,1.50600000,1.53000000,13377278.71000000,20731448.71117000,39503
1692057600000,2023-08-15,OPUSDT,1.53100000,1.53700000,1.40900000,1.47000000,20714406.44000000,30987253.54027000,59773
1692144000000,2023-08-16,OPUSDT,1.47100000,1.49100000,1.37300000,1.41100000,27769597.42000000,39991160.04061000,68373
1692230400000,2023-08-17,OPUSDT,1.41100000,1.46500000,1.21100000,1.36500000,43000692.45000000,59629574.75487000,133094
1692316800000,2023-08-18,OPUSDT,1.36500000,1.46400000,1.34400000,1.44000000,38149481.47000000,53785151.40084000,95325
1692403200000,2023-08-19,OPUSDT,1.44000000,1.51900000,1.42700000,1.47400000,14957944.38000000,21994587.88819000,41686
1692489600000,2023-08-20,OPUSDT,1.47300000,1.48900000,1.44600000,1.47300000,9901921.77000000,14530019.03450000,27719
1692576000000,2023-08-21,OPUSDT,1.47400000,1.55800000,1.46400000,1.52800000,27300311.51000000,41277495.86053000,74800
1692662400000,2023-08-22,OPUSDT,1.52900000,1.60000000,1.49400000,1.57600000,30595838.95000000,47398146.60149000,86180
1692748800000,2023-08-23,OPUSDT,1.57700000,1.62700000,1.52500000,1.56200000,19879400.03000000,31313175.83915000,64759
1692835200000,2023-08-24,OPUSDT,1.56100000,1.59200000,1.52100000,1.58600000,16273306.38000000,25270526.72482000,46711
1692921600000,2023-08-25,OPUSDT,1.58500000,1.59300000,1.46100000,1.46800000,28190003.46000000,42339954.36386000,79484
1693008000000,2023-08-26,OPUSDT,1.46800000,1.50000000,1.44400000,1.48100000,8974571.51000000,13277854.42702000,25408
1693094400000,2023-08-27,OPUSDT,1.48000000,1.49500000,1.43400000,1.45300000,10118300.33000000,14810380.24323000,27982
