https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ORCL,Volume USDT,tradecount
1774618200000,2026-03-27,ORCL,140.93,141.69,138.30,139.66,17879600,2497065001.48,0
1774531800000,2026-03-26,ORCL,143.89,146.47,142.54,142.81,16961900,2422328897.59,0
1774445400000,2026-03-25,ORCL,149.23,149.84,144.60,146.02,20683800,3020248564.37,0
1774359000000,2026-03-24,ORCL,153.00,153.90,146.85,147.09,26122100,3842299593.34,0
1774272600000,2026-03-23,ORCL,151.42,155.78,150.71,154.34,19927900,3075672013.02,0
1774013400000,2026-03-20,ORCL,153.05,153.25,147.95,149.68,37551400,5620693276.97,0
1773927000000,2026-03-19,ORCL,150.46,156.92,148.89,155.52,22046100,3428609566.19,0
1773840600000,2026-03-18,ORCL,153.40,154.97,152.04,152.90,18051100,2760013079.82,0
1773754200000,2026-03-17,ORCL,155.44,158.92,153.50,154.69,23929500,3701654413.42,0
1773667800000,2026-03-16,ORCL,156.06,158.74,154.51,155.97,21607700,3370152995.38,0
1773408600000,2026-03-13,ORCL,159.05,160.77,154.15,155.11,26350400,4087210560.08,0
1773322200000,2026-03-12,ORCL,164.66,167.83,158.61,159.16,37133700,5910199827.99,0
1773235800000,2026-03-11,ORCL,166.38,171.76,160.58,163.12,83247500,13579331793.52,0
1773149400000,2026-03-10,ORCL,153.62,154.14,148.45,149.40,51544600,7700762925.40,0
1773063000000,2026-03-09,ORCL,150.70,152.00,146.43,151.56,31173500,4724655583.89,0
1772807400000,2026-03-06,ORCL,152.92,159.19,151.62,152.96,38000600,5812572031.13,0
1772721000000,2026-03-05,ORCL,152.59,157.94,150.12,154.79,24094800,3729633930.23,0
1772634600000,2026-03-04,ORCL,150.01,153.61,149.10,152.37,17585400,2679487312.13,0
1772548200000,2026-03-03,ORCL,144.75,150.93,143.05,149.01,20120800,2998200297.47,0
1772461800000,2026-03-02,ORCL,141.62,150.17,141.18,149.25,22418800,3346005900.00,0
1772202600000,2026-02-27,ORCL,143.88,146.08,142.10,145.40,36425200,5296223857.68,0
1772116200000,2026-02-26,ORCL,148.79,152.50,145.15,150.31,20652200,3104232131.58,0
1772029800000,2026-02-25,ORCL,149.16,153.28,147.34,147.89,27303900,4037973754.34,0
1771943400000,2026-02-24,ORCL,140.84,146.76,138.73,146.14,21336600,3118130710.98,0
1771857000000,2026-02-23,ORCL,145.69,145.80,138.59,141.31,31749800,4486564160.49,0
1771597800000,2026-02-20,ORCL,153.30,153.99,147.39,148.08,29621900,4386411006.24,0
1771511400000,2026-02-19,ORCL,157.19,160.08,155.77,156.54,14976300,2344389901.45,0
1771425000000,2026-02-18,ORCL,154.41,157.30,151.37,156.17,14801100,2311487759.90,0
1771338600000,2026-02-17,ORCL,157.98,159.28,152.88,153.97,19610800,3019474899.94,0
1770993000000,2026-02-13,ORCL,159.25,162.30,155.29,160.14,18597000,2978123568.65,0
1770906600000,2026-02-12,ORCL,157.93,159.04,152.50,156.48,23285400,3643699292.51,0
1770820200000,2026-02-11,ORCL,163.66,163.66,154.00,157.16,24538900,3856533613.86,0
1770733800000,2026-02-10,ORCL,160.00,165.39,156.96,159.89,40092200,6410341833.53,0
1770647400000,2026-02-09,ORCL,148.49,159.75,147.00,156.59,49936500,7819556352.13,0
1770388200000,2026-02-06,ORCL,139.75,143.20,138.91,142.82,29962400,4279230187.45,0
1770301800000,2026-02-05,ORCL,145.60,146.55,135.25,136.48,42789000,5839842537.19,0
1770215400000,2026-02-04,ORCL,153.89,153.94,144.43,146.67,42323400,6207573000.50,0
1770129000000,2026-02-03,ORCL,158.26,159.38,151.90,154.67,43260100,6691039587.79,0
1770042600000,2026-02-02,ORCL,170.92,171.20,160.00,160.06,47421000,7590205144.23,0
1769783400000,2026-01-30,ORCL,168.17,168.90,163.24,164.58,27362400,4503303842.10,0
1769697000000,2026-01-29,ORCL,170.15,170.23,161.52,169.01,37254500,6296382840.35,0
1769610600000,2026-01-28,ORCL,174.92,181.68,171.86,172.80,35882700,6200530669.51,0
1769524200000,2026-01-27,ORCL,179.19,179.72,173.68,174.90,27093700,4738687964.63,0
1769437800000,2026-01-26,ORCL,179.10,185.31,178.53,182.44,21100400,3849557027.51,0
1769178600000,2026-01-23,ORCL,172.62,179.65,172.00,177.16,23011300,4076681992.27,0
1769092200000,2026-01-22,ORCL,179.37,180.16,176.50,178.18,21141900,3767063587.15,0
1769005800000,2026-01-21,ORCL,179.68,180.60,170.60,173.88,38190000,6640477386.47,0
