https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume PYPL,Volume USDT,tradecount
1774618200000,2026-03-27,PYPL,44.72,44.79,43.55,43.59,17418200,759259340.66,0
1774531800000,2026-03-26,PYPL,44.48,45.97,44.47,45.20,14613000,660507611.15,0
1774445400000,2026-03-25,PYPL,45.08,45.96,44.20,44.85,14861200,666524797.32,0
1774359000000,2026-03-24,PYPL,44.94,45.26,43.99,44.21,19616500,867245447.04,0
1774272600000,2026-03-23,PYPL,44.72,45.74,44.01,45.49,21262500,967231160.69,0
1774013400000,2026-03-20,PYPL,44.33,44.55,43.33,44.01,31695500,1394918901.80,0
1773927000000,2026-03-19,PYPL,44.19,44.84,43.53,44.19,22744600,1005083842.77,0
1773840600000,2026-03-18,PYPL,45.62,46.08,44.55,44.59,19662700,876759796.00,0
1773754200000,2026-03-17,PYPL,45.84,46.98,45.74,46.13,21819800,1006547397.31,0
1773667800000,2026-03-16,PYPL,45.25,45.90,45.19,45.42,14460200,656782257.52,0
1773408600000,2026-03-13,PYPL,44.21,45.25,44.17,44.90,13962500,626916271.31,0
1773322200000,2026-03-12,PYPL,45.30,46.07,44.34,44.36,15293100,678401925.33,0
1773235800000,2026-03-11,PYPL,45.45,46.14,44.80,45.57,13794100,628597132.79,0
1773149400000,2026-03-10,PYPL,45.61,45.82,44.81,45.02,17575900,791267026.05,0
1773063000000,2026-03-09,PYPL,46.05,46.53,44.96,46.16,18908300,872807125.11,0
1772807400000,2026-03-06,PYPL,47.17,47.73,46.35,46.97,15900100,746827716.41,0
1772721000000,2026-03-05,PYPL,46.49,47.92,46.49,47.64,18317700,872655216.82,0
1772634600000,2026-03-04,PYPL,46.05,47.33,45.93,46.75,14612800,683148400.00,0
1772548200000,2026-03-03,PYPL,44.73,46.96,44.66,46.38,22406400,1039208855.93,0
1772461800000,2026-03-02,PYPL,44.82,45.96,44.64,45.63,17355300,791922357.54,0
1772202600000,2026-02-27,PYPL,45.81,46.42,45.42,46.21,23641200,1092459830.36,0
1772116200000,2026-02-26,PYPL,47.50,47.73,44.49,45.53,48091800,2189619595.29,0
1772029800000,2026-02-25,PYPL,47.38,48.50,46.44,47.32,42794100,2025016798.94,0
1771943400000,2026-02-24,PYPL,43.49,48.00,43.03,47.02,58557200,2753359570.81,0
1771857000000,2026-02-23,PYPL,41.04,45.69,40.53,44.05,75619500,3331038917.31,0
1771597800000,2026-02-20,PYPL,41.58,42.81,41.51,41.65,23174000,965197135.36,0
1771511400000,2026-02-19,PYPL,41.10,41.79,40.85,41.73,24646900,1028515125.72,0
1771425000000,2026-02-18,PYPL,40.77,41.76,40.59,41.45,17925500,743011988.68,0
1771338600000,2026-02-17,PYPL,40.50,41.60,40.37,40.81,20342500,830177452.94,0
1770993000000,2026-02-13,PYPL,39.24,40.37,39.09,40.29,25092400,1010972818.97,0
1770906600000,2026-02-12,PYPL,40.28,40.28,38.46,39.08,28004800,1094427635.28,0
1770820200000,2026-02-11,PYPL,41.50,41.62,40.01,40.46,21538900,871463874.28,0
1770733800000,2026-02-10,PYPL,40.75,42.35,40.75,41.49,22787700,945461711.25,0
1770647400000,2026-02-09,PYPL,40.21,41.27,39.81,41.15,26034300,1071311484.73,0
1770388200000,2026-02-06,PYPL,40.25,40.61,39.38,40.42,34921700,1411535050.06,0
1770301800000,2026-02-05,PYPL,40.60,41.01,38.88,39.90,42842800,1709427785.37,0
1770215400000,2026-02-04,PYPL,41.60,41.84,39.96,41.03,58018000,2380478469.18,0
1770129000000,2026-02-03,PYPL,42.88,43.70,41.43,41.70,141690600,5908498128.10,0
1770042600000,2026-02-02,PYPL,52.50,53.44,52.32,52.33,27452900,1436610307.27,0
1769783400000,2026-01-30,PYPL,52.44,52.95,52.06,52.69,18607800,980444956.45,0
1769697000000,2026-01-29,PYPL,54.12,54.17,52.53,53.11,19463500,1033706496.88,0
1769610600000,2026-01-28,PYPL,55.01,55.49,53.65,54.08,19222700,1039563651.20,0
1769524200000,2026-01-27,PYPL,56.50,56.63,55.21,55.51,14240700,790501233.10,0
1769437800000,2026-01-26,PYPL,56.57,57.12,56.49,56.60,9971400,564381224.78,0
1769178600000,2026-01-23,PYPL,56.83,56.99,56.41,56.62,8758900,495928908.64,0
1769092200000,2026-01-22,PYPL,56.59,57.55,56.55,57.15,14540700,831001027.19,0
1769005800000,2026-01-21,PYPL,55.52,56.33,55.10,55.89,15117000,844889120.77,0
1768919400000,2026-01-20,PYPL,55.58,56.08,55.01,55.08,19744400,1087521588.15,0
1768573800000,2026-01-16,PYPL,56.79,56.97,56.24,56.89,15116900,860000431.77,0
1768487400000,2026-01-15,PYPL,57.74,57.86,56.60,56.74,16405300,930836749.54,0
1768401000000,2026-01-14,PYPL,56.40,57.79,56.27,57.66,16039900,924860631.55,0
1768314600000,2026-01-13,PYPL,57.21,57.30,56.28,56.56,15900500,899332301.84,0
1768228200000,2026-01-12,PYPL,57.61,57.78,56.76,57.29,19898900,1140007999.22,0
1767969000000,2026-01-09,PYPL,58.80,58.86,57.28,57.66,15061500,868446087.70,0
1767882600000,2026-01-08,PYPL,58.02,59.00,57.77,58.27,13105200,763640010.00,0
1767796200000,2026-01-07,PYPL,59.87,60.13,58.26,58.51,18044300,1055771962.71,0
1767709800000,2026-01-06,PYPL,59.27,59.94,58.98,59.81,11110800,664536963.26,0
1767623400000,2026-01-05,PYPL,58.01,60.10,57.90,59.29,17115900,1014801726.67,0
1767364200000,2026-01-02,PYPL,58.67,58.80,57.65,58.14,14693100,854256825.03,0
1767191400000,2025-12-31,PYPL,59.03,59.04,58.34,58.38,13027300,760533787.91,0
1767105000000,2025-12-30,PYPL,59.46,59.60,59.08,59.10,11277900,666523872.79,0
1767018600000,2025-12-29,PYPL,59.85,60.14,59.12,59.49,12910100,768021870.67,0
1766759400000,2025-12-26,PYPL,60.00,60.11,59.53,59.97,7537800,452041875.20,0
1766586600000,2025-12-24,PYPL,59.33,60.15,59.31,60.04,5491700,329721673.03,0
1766500200000,2025-12-23,PYPL,59.83,60.07,58.94,59.41,12153600,722045374.15,0
1766413800000,2025-12-22,PYPL,59.96,60.54,59.76,59.86,13976100,836609354.53,0
1766154600000,2025-12-19,PYPL,58.92,60.12,58.80,59.81,31927500,1909583818.85,0
1766068200000,2025-12-18,PYPL,59.59,60.32,58.92,59.44,23734500,1410778647.41,0
1765981800000,2025-12-17,PYPL,61.39,62.41,60.13,60.18,16357800,984412408.99,0
1765895400000,2025-12-16,PYPL,61.69,62.15,60.95,61.33,17316800,1062039375.71,0
1765809000000,2025-12-15,PYPL,61.96,62.82,60.62,60.74,18187500,1104708780.53,0
1765549800000,2025-12-12,PYPL,61.08,62.15,61.00,61.66,15964000,984340237.56,0
1765463400000,2025-12-11,PYPL,60.08,61.79,59.85,61.69,14023800,865128202.74,0
1765377000000,2025-12-10,PYPL,60.49,61.48,60.16,61.16,19985100,1222288712.95,0
1765290600000,2025-12-09,PYPL,60.75,61.50,60.49,60.78,13214700,803189449.87,0
1765204200000,2025-12-08,PYPL,62.42,62.51,60.99,61.12,12544000,766689266.60,0
1764945000000,2025-12-05,PYPL,61.67,62.94,61.48,62.28,11152900,694602598.39,0
1764858600000,2025-12-04,PYPL,60.50,62.10,60.38,61.73,15994300,987328131.68,0
1764772200000,2025-12-03,PYPL,62.85,63.93,60.41,61.24,24402800,1494427512.96,0
1764685800000,2025-12-02,PYPL,62.92,63.83,62.15,62.90,10834100,681464906.53,0
1764599400000,2025-12-01,PYPL,62.05,63.21,61.83,62.58,10923300,683580134.00,0
1764340200000,2025-11-28,PYPL,62.23,63.06,62.13,62.69,7875900,493740160.18,0
1764167400000,2025-11-26,PYPL,61.40,62.16,61.17,61.83,8335300,515371614.26,0
1764081000000,2025-11-25,PYPL,60.86,61.97,60.72,61.22,11065200,677411557.51,0
1763994600000,2025-11-24,PYPL,60.61,60.83,59.85,60.56,21013500,1272577588.86,0
1763735400000,2025-11-21,PYPL,58.24,60.96,58.04,60.57,20849400,1262848151.64,0
1763649000000,2025-11-20,PYPL,60.58,60.72,58.00,58.10,21059300,1223650616.86,0
