https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume TSLA,Volume USDT,tradecount
1774618200000,2026-03-27,TSLA,369.69,369.86,359.47,361.83,61869200,22386131805.24,0
1774531800000,2026-03-26,TSLA,381.60,384.44,371.87,372.11,55522900,20660625505.68,0
1774445400000,2026-03-25,TSLA,389.99,396.23,385.01,385.95,55157300,21287960608.31,0
1774359000000,2026-03-24,TSLA,376.56,387.48,376.31,383.03,60004900,22983676773.75,0
1774272600000,2026-03-23,TSLA,373.09,385.33,372.73,380.85,74606000,28413695555.36,0
1774013400000,2026-03-20,TSLA,379.85,379.89,364.46,367.96,78628600,28932178984.12,0
1773927000000,2026-03-19,TSLA,387.27,387.27,378.73,380.30,67078300,25509876671.17,0
1773840600000,2026-03-18,TSLA,399.00,403.07,392.31,392.78,50853100,19974080555.92,0
1773754200000,2026-03-17,TSLA,395.69,400.12,393.00,399.27,46890500,18721969419.85,0
1773667800000,2026-03-16,TSLA,396.22,403.73,394.42,395.56,58068300,22969496606.23,0
1773408600000,2026-03-13,TSLA,399.17,400.20,389.95,391.20,58504100,22886804634.16,0
1773322200000,2026-03-12,TSLA,405.18,406.50,394.65,395.01,60973800,24085261333.45,0
1773235800000,2026-03-11,TSLA,402.28,416.38,402.15,407.82,62559900,25513178876.20,0
1773149400000,2026-03-10,TSLA,402.22,406.59,398.19,399.24,59258700,23658442809.30,0
1773063000000,2026-03-09,TSLA,390.05,401.59,381.40,398.68,67018900,26719094561.14,0
1772807400000,2026-03-06,TSLA,398.09,402.35,394.21,396.73,64054600,25412382161.72,0
1772721000000,2026-03-05,TSLA,401.57,408.62,399.42,405.55,51925900,21058548111.14,0
1772634600000,2026-03-04,TSLA,397.85,408.33,394.58,405.94,68305500,27727934836.76,0
1772548200000,2026-03-03,TSLA,395.09,396.34,385.39,392.43,62617300,24572906580.38,0
1772461800000,2026-03-02,TSLA,390.60,404.54,388.25,403.32,55088300,22218213559.48,0
1772202600000,2026-02-27,TSLA,402.94,407.12,398.11,402.51,56890100,22898834706.57,0
1772116200000,2026-02-26,TSLA,414.42,416.81,403.66,408.58,53602500,21900908730.24,0
1772029800000,2026-02-25,TSLA,412.15,420.34,412.15,417.40,54809700,22877568445.47,0
1771943400000,2026-02-24,TSLA,399.50,410.82,397.64,409.38,58579500,23981275996.03,0
1771857000000,2026-02-23,TSLA,407.29,407.70,394.04,399.83,69680000,27860153464.36,0
1771597800000,2026-02-20,TSLA,408.30,414.70,405.50,411.82,57912200,23849402628.16,0
1771511400000,2026-02-19,TSLA,407.25,415.25,404.11,411.71,51019600,21005279080.04,0
1771425000000,2026-02-18,TSLA,411.11,416.90,409.58,411.32,45921400,18888390584.34,0
1771338600000,2026-02-17,TSLA,412.36,413.72,400.51,410.63,59678800,24505905935.40,0
1770993000000,2026-02-13,TSLA,414.31,424.06,410.88,417.44,51434100,21470650829.57,0
1770906600000,2026-02-12,TSLA,430.30,436.23,414.00,417.07,61933400,25830563591.61,0
1770820200000,2026-02-11,TSLA,427.96,436.35,420.03,428.27,57362000,24566423109.80,0
1770733800000,2026-02-10,TSLA,418.08,427.25,417.00,425.21,64450200,27404868991.28,0
1770647400000,2026-02-09,TSLA,409.91,421.25,407.29,417.32,54484300,22737388475.05,0
1770388200000,2026-02-06,TSLA,400.87,414.55,397.75,411.11,62677100,25767181662.88,0
1770301800000,2026-02-05,TSLA,397.02,402.10,387.53,397.21,72819800,28924752135.76,0
1770215400000,2026-02-04,TSLA,420.46,423.90,399.18,406.01,74606900,30291148197.58,0
1770129000000,2026-02-03,TSLA,424.27,428.56,413.69,421.96,56886500,24003827053.91,0
1770042600000,2026-02-02,TSLA,421.29,427.15,414.50,421.81,58739500,24776908351.59,0
1769783400000,2026-01-30,TSLA,425.35,439.88,422.70,430.41,82626100,35563100003.59,0
1769697000000,2026-01-29,TSLA,437.80,440.23,414.62,416.56,81686100,34027161616.57,0
1769610600000,2026-01-28,TSLA,431.91,438.26,430.10,431.46,54857400,23668773335.25,0
1769524200000,2026-01-27,TSLA,437.41,437.52,430.69,430.90,37733100,16259192559.70,0
1769437800000,2026-01-26,TSLA,445.00,445.04,434.28,435.20,49397400,21497749083.00,0
1769178600000,2026-01-23,TSLA,447.43,452.43,444.04,449.06,56771400,25493764745.40,0
1769092200000,2026-01-22,TSLA,435.16,449.50,432.63,449.36,71546700,32150224063.95,0
1769005800000,2026-01-21,TSLA,421.66,438.20,419.62,431.44,68124000,29391418726.32,0
1768919400000,2026-01-20,TSLA,429.36,430.73,417.44,419.25,63187300,26491275525.00,0
1768573800000,2026-01-16,TSLA,439.50,447.25,435.26,437.50,60220600,26346512500.00,0
1768487400000,2026-01-15,TSLA,441.13,445.36,437.65,438.57,49465800,21694216268.30,0
1768401000000,2026-01-14,TSLA,442.81,443.91,434.22,439.20,57259500,25148373098.97,0
1768314600000,2026-01-13,TSLA,450.20,451.81,443.95,447.20,53719200,24023226895.75,0
1768228200000,2026-01-12,TSLA,441.23,454.30,438.00,448.96,61649600,27678203889.21,0
1767969000000,2026-01-09,TSLA,435.95,449.05,430.39,445.01,67331500,29963191472.53,0
1767882600000,2026-01-08,TSLA,427.89,436.89,424.37,435.80,57041100,24858510683.70,0
1767796200000,2026-01-07,TSLA,435.90,438.37,431.29,431.41,59828800,25810742827.10,0
1767709800000,2026-01-06,TSLA,446.38,448.25,428.78,432.96,89093800,38574050886.70,0
1767623400000,2026-01-05,TSLA,447.99,457.55,444.57,451.67,67940800,30686822048.29,0
1767364200000,2026-01-02,TSLA,457.80,458.34,435.30,438.07,85535400,37470493304.48,0
1767191400000,2025-12-31,TSLA,456.10,456.55,449.30,449.72,49078000,22071358219.91,0
1767105000000,2025-12-30,TSLA,461.09,463.12,453.83,454.43,59238500,26919751121.12,0
1767018600000,2025-12-29,TSLA,469.00,469.40,459.00,459.64,66263000,30457126290.65,0
1766759400000,2025-12-26,TSLA,485.23,489.09,473.82,475.19,58780700,27932000976.51,0
1766586600000,2025-12-24,TSLA,488.48,490.90,476.80,485.40,41285400,20039932908.01,0
1766500200000,2025-12-23,TSLA,489.40,491.97,482.84,485.56,58223600,28271051073.85,0
1766413800000,2025-12-22,TSLA,489.88,498.83,485.33,488.73,86916100,42478506507.89,0
1766154600000,2025-12-19,TSLA,488.12,490.49,474.72,481.20,103305400,49710559741.05,0
1766068200000,2025-12-18,TSLA,478.16,490.86,473.12,483.37,95168400,46001549043.31,0
1765981800000,2025-12-17,TSLA,488.22,495.28,466.20,467.26,106490400,49758705343.95,0
1765895400000,2025-12-16,TSLA,472.21,491.50,465.83,489.88,107608100,52715056553.43,0
1765809000000,2025-12-15,TSLA,469.44,481.77,467.66,475.31,114542200,54443052802.36,0
1765549800000,2025-12-12,TSLA,448.09,463.01,441.67,458.96,95656700,43902598214.62,0
1765463400000,2025-12-11,TSLA,448.95,449.27,440.33,446.89,55979500,25016679575.01,0
1765377000000,2025-12-10,TSLA,446.07,456.88,443.61,451.45,63257500,28557599147.19,0
1765290600000,2025-12-09,TSLA,437.54,452.39,435.70,445.17,62367400,27764096295.45,0
1765204200000,2025-12-08,TSLA,447.45,449.75,435.25,439.58,69165800,30403901435.26,0
1764945000000,2025-12-05,TSLA,453.03,458.87,451.66,455.00,56427500,25674512500.00,0
1764858600000,2025-12-04,TSLA,449.94,454.63,445.39,454.53,71906500,32683661357.22,0
1764772200000,2025-12-03,TSLA,432.10,447.92,431.11,446.74,87483000,39082154565.67,0
1764685800000,2025-12-02,TSLA,430.81,436.80,422.12,429.24,69336600,29762041506.88,0
1764599400000,2025-12-01,TSLA,425.32,433.66,425.29,430.14,57463600,24717393745.75,0
1764340200000,2025-11-28,TSLA,426.59,432.93,426.20,430.17,36252900,15594910479.79,0
1764167400000,2025-11-26,TSLA,423.95,426.94,416.89,426.58,63463000,27072045687.84,0
1764081000000,2025-11-25,TSLA,414.42,420.48,405.95,419.40,71915600,30161402201.06,0
1763994600000,2025-11-24,TSLA,402.17,421.72,401.09,417.78,96806400,40443777673.83,0
1763735400000,2025-11-21,TSLA,402.32,402.80,383.76,391.09,100460600,39289135686.10,0
1763649000000,2025-11-20,TSLA,414.63,428.94,394.74,395.23,113548800,44877893471.48,0
1763562600000,2025-11-19,TSLA,406.18,411.78,398.50,403.99,72047700,29106549619.41,0
1763476200000,2025-11-18,TSLA,405.38,408.90,393.71,401.25,80688600,32376300750.00,0
1763389800000,2025-11-17,TSLA,398.74,423.96,398.74,408.92,102214300,41797472928.51,0
1763130600000,2025-11-14,TSLA,386.30,412.19,382.78,404.35,105506700,42661634788.96,0
1763044200000,2025-11-13,TSLA,423.13,424.50,396.34,401.99,118948000,47815905358.40,0
1762957800000,2025-11-12,TSLA,442.15,442.33,426.56,430.60,58513500,25195913457.14,0
1762871400000,2025-11-11,TSLA,439.40,442.49,432.36,439.62,60533200,26611605088.43,0
1762785000000,2025-11-10,TSLA,439.60,449.67,433.36,445.23,76515900,34067174997.63,0
1762525800000,2025-11-07,TSLA,437.92,439.36,421.88,429.52,103471500,44443077543.23,0
1762439400000,2025-11-06,TSLA,461.96,467.45,435.09,445.91,109622900,48881947740.45,0
1762353000000,2025-11-05,TSLA,452.05,466.33,440.71,462.07,85573000,39540716736.76,0
1762266600000,2025-11-04,TSLA,454.46,460.22,443.60,444.26,87756600,38986747973.00,0
1762180200000,2025-11-03,TSLA,455.99,474.07,453.80,468.37,84595200,39621853410.94,0
1761917400000,2025-10-31,TSLA,446.75,458.00,443.69,456.56,83135800,37956480645.03,0
1761831000000,2025-10-30,TSLA,451.05,455.06,439.61,440.10,72447900,31884321232.19,0
1761744600000,2025-10-29,TSLA,462.50,465.70,452.65,461.51,67983500,31375065748.90,0
1761658200000,2025-10-28,TSLA,454.78,467.00,451.60,460.55,80185700,36929523156.17,0
1761571800000,2025-10-27,TSLA,439.98,460.16,438.69,452.42,105867500,47896575771.56,0
1761312600000,2025-10-24,TSLA,446.83,451.68,430.17,433.72,94727800,41085341531.63,0
1761226200000,2025-10-23,TSLA,420.00,449.40,413.90,448.98,126709800,56890167396.08,0
1761139800000,2025-10-22,TSLA,443.45,445.54,429.00,438.97,84023500,36883795897.57,0
1761053400000,2025-10-21,TSLA,445.76,449.30,442.05,442.60,54412200,24082840052.11,0
1760967000000,2025-10-20,TSLA,443.87,449.80,440.61,447.43,63719000,28509791703.31,0
1760707800000,2025-10-17,TSLA,425.50,441.46,423.60,439.31,89331600,39244264977.91,0
1760621400000,2025-10-16,TSLA,434.73,439.35,421.31,428.75,77189900,33095169625.00,0
1760535000000,2025-10-15,TSLA,434.90,440.51,426.33,435.15,71558200,31138550293.24,0
1760448600000,2025-10-14,TSLA,426.79,434.20,417.86,429.24,72669400,31192612546.34,0
1760362200000,2025-10-13,TSLA,423.53,436.89,419.70,435.90,79552800,34677065034.45,0
1760103000000,2025-10-10,TSLA,436.54,443.13,411.45,413.49,112107900,46355494476.20,0
1760016600000,2025-10-09,TSLA,431.81,436.35,426.18,435.54,69339900,30200300638.50,0
1759930200000,2025-10-08,TSLA,437.57,441.33,425.23,438.69,71192100,31231262522.81,0
1759843800000,2025-10-07,TSLA,447.82,452.68,432.45,433.09,102296100,44303417574.38,0
1759757400000,2025-10-06,TSLA,440.75,453.55,436.69,453.25,85324900,38673510925.00,0
1759498200000,2025-10-03,TSLA,443.29,446.77,416.58,429.83,133188200,57248282217.58,0
1759411800000,2025-10-02,TSLA,470.54,470.75,435.57,436.00,137009000,59735924000.00,0
1759325400000,2025-10-01,TSLA,443.80,462.29,440.75,459.46,98122300,45083271119.55,0
1759239000000,2025-09-30,TSLA,441.52,445.00,433.12,444.72,74358000,33068489850.77,0
1759152600000,2025-09-29,TSLA,444.35,450.98,439.50,443.21,79491500,35231427035.75,0
1758893400000,2025-09-26,TSLA,428.30,440.47,421.02,440.40,101628200,44757058659.71,0
1758807000000,2025-09-25,TSLA,435.24,435.35,419.08,423.39,96746400,40961459713.18,0
1758720600000,2025-09-24,TSLA,429.83,444.21,429.03,442.79,93133600,41238627539.82,0
1758634200000,2025-09-23,TSLA,439.88,440.97,423.72,425.85,83422700,35525557304.17,0
1758547800000,2025-09-22,TSLA,431.11,444.98,429.13,434.21,97108800,42165611218.21,0
1758288600000,2025-09-19,TSLA,421.82,429.47,421.72,426.07,93131000,39680325852.11,0
1758202200000,2025-09-18,TSLA,428.87,432.22,416.56,416.85,90454500,37705958877.09,0
1758115800000,2025-09-17,TSLA,415.75,428.31,409.67,425.86,106133500,45198010755.31,0
1758029400000,2025-09-16,TSLA,414.50,423.25,411.43,421.62,104285700,43968936324.79,0
1757943000000,2025-09-15,TSLA,423.13,425.70,402.43,410.04,163823700,67174271347.86,0
1757683800000,2025-09-12,TSLA,370.94,396.69,370.24,395.94,168156400,66579845426.54,0
1757597400000,2025-09-11,TSLA,350.17,368.99,347.60,368.81,103756000,38266250106.69,0
1757511000000,2025-09-10,TSLA,350.55,356.33,346.07,347.79,72121700,25083206659.27,0
1757424600000,2025-09-09,TSLA,348.44,350.77,343.82,346.97,53816000,18672537585.69,0
1757338200000,2025-09-08,TSLA,354.64,358.44,344.84,346.40,75208300,26052154660.96,0
1757079000000,2025-09-05,TSLA,348.00,355.87,344.68,350.84,108989800,38237981032.87,0
1756992600000,2025-09-04,TSLA,336.15,338.89,331.48,338.53,60711000,20552494755.89,0
1756906200000,2025-09-03,TSLA,335.20,343.33,328.51,334.09,88733300,29644907872.05,0
1756819800000,2025-09-02,TSLA,328.23,333.33,325.60,329.36,58392000,19231988264.65,0
1756474200000,2025-08-29,TSLA,347.23,348.75,331.70,333.87,81145700,27092114462.78,0
