https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume UBER,Volume USDT,tradecount
1774618200000,2026-03-27,UBER,70.11,70.38,68.46,69.18,13850200,958156840.23,0
1774531800000,2026-03-26,UBER,72.74,72.76,70.20,70.55,15412900,1087380142.04,0
1774445400000,2026-03-25,UBER,73.00,73.84,72.19,73.08,11569300,845484465.18,0
1774359000000,2026-03-24,UBER,74.63,75.01,72.14,72.34,14404200,1041999775.25,0
1774272600000,2026-03-23,UBER,75.27,75.82,74.44,75.12,14154700,1063301102.88,0
1774013400000,2026-03-20,UBER,74.98,74.98,73.04,73.89,26161200,1933051052.03,0
1773927000000,2026-03-19,UBER,76.48,77.85,75.32,75.34,13791600,1039059093.49,0
1773840600000,2026-03-18,UBER,77.43,77.68,76.48,76.66,13692700,1049682432.14,0
1773754200000,2026-03-17,UBER,77.39,79.23,77.31,77.79,33146100,2578435149.35,0
1773667800000,2026-03-16,UBER,74.00,75.38,74.00,74.66,15997300,1194358476.58,0
1773408600000,2026-03-13,UBER,73.29,74.87,72.69,73.33,16400700,1202663361.03,0
1773322200000,2026-03-12,UBER,74.87,75.85,72.59,72.97,17082700,1246524639.85,0
1773235800000,2026-03-11,UBER,74.54,75.60,73.55,74.97,21010800,1575179701.65,0
1773149400000,2026-03-10,UBER,73.97,74.12,72.18,72.36,17581500,1272197350.73,0
1773063000000,2026-03-09,UBER,74.12,74.54,71.94,73.84,21208900,1566065098.33,0
1772807400000,2026-03-06,UBER,74.73,75.57,74.19,75.13,14771200,1109760215.43,0
1772721000000,2026-03-05,UBER,76.59,78.25,75.14,75.44,17894000,1349923403.69,0
1772634600000,2026-03-04,UBER,76.29,77.04,75.01,76.65,19818600,1519095720.24,0
1772548200000,2026-03-03,UBER,74.50,77.31,74.02,76.36,21892500,1671711313.36,0
1772461800000,2026-03-02,UBER,73.50,76.50,73.15,75.95,25779100,1957922566.33,0
1772202600000,2026-02-27,UBER,73.90,75.78,73.66,75.42,20427900,1540672180.60,0
