https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume V,Volume USDT,tradecount
1774618200000,2026-03-27,V,304.32,304.59,294.32,295.52,9971900,2946895778.45,0
1774531800000,2026-03-26,V,304.16,307.87,303.00,305.53,7652700,2338129421.66,0
1774445400000,2026-03-25,V,305.48,308.49,302.17,304.91,6280900,1915109242.00,0
1774359000000,2026-03-24,V,302.00,306.04,300.62,303.76,5375900,1632983436.50,0
1774272600000,2026-03-23,V,305.20,307.85,302.85,304.44,7824500,2382090799.10,0
1774013400000,2026-03-20,V,299.85,302.92,299.01,301.62,14398100,4342754851.70,0
1773927000000,2026-03-19,V,298.04,302.47,297.03,299.71,6826400,2045940285.67,0
1773840600000,2026-03-18,V,307.41,307.94,298.50,299.02,7191700,2150462054.99,0
1773754200000,2026-03-17,V,311.32,312.69,307.38,308.46,6872200,2119798753.28,0
1773667800000,2026-03-16,V,307.85,311.13,307.38,310.11,6401200,1985076038.23,0
1773408600000,2026-03-13,V,307.59,310.35,306.42,307.14,4814100,1478602744.52,0
1773322200000,2026-03-12,V,308.14,310.95,306.02,306.50,7514900,2303316850.00,0
1773235800000,2026-03-11,V,313.25,315.08,308.39,308.96,6376700,1970145177.51,0
1773149400000,2026-03-10,V,315.43,317.13,311.45,314.43,5271300,1657454820.39,0
1773063000000,2026-03-09,V,313.46,316.40,310.15,315.97,8381500,2648302565.23,0
1772807400000,2026-03-06,V,316.05,317.69,312.30,317.36,6439700,2043703097.67,0
1772721000000,2026-03-05,V,319.33,322.80,314.77,319.80,8267200,2643850459.08,0
1772634600000,2026-03-04,V,321.44,325.77,319.80,320.47,5257900,1684999219.42,0
1772548200000,2026-03-03,V,315.81,322.04,314.35,320.83,5474300,1756319595.49,0
1772461800000,2026-03-02,V,315.50,322.60,314.60,320.51,6674900,2139372264.18,0
1772202600000,2026-02-27,V,314.46,320.23,311.95,320.14,12412900,3973865987.83,0
1772116200000,2026-02-26,V,314.48,319.42,313.94,316.70,8725500,2763365956.51,0
1772029800000,2026-02-25,V,308.55,313.94,308.25,312.99,7624200,2386298283.54,0
1771943400000,2026-02-24,V,305.50,309.27,303.08,307.22,9120200,2801907855.13,0
1771857000000,2026-02-23,V,319.04,320.52,304.71,306.52,13048000,3999472816.65,0
1771597800000,2026-02-20,V,318.11,322.35,317.82,320.95,6831100,2192441628.39,0
1771511400000,2026-02-19,V,317.49,320.20,315.73,318.93,5967600,1903246624.29,0
1771425000000,2026-02-18,V,319.50,322.28,316.72,320.30,7091900,2271535483.43,0
1771338600000,2026-02-17,V,314.41,321.38,314.41,319.50,8591700,2745048150.00,0
1770993000000,2026-02-13,V,323.83,326.48,312.82,314.08,11653900,3660256755.51,0
1770906600000,2026-02-12,V,328.89,332.24,324.00,324.18,9392600,3044892999.21,0
1770820200000,2026-02-11,V,326.92,331.04,326.42,329.24,8264300,2720938051.29,0
1770733800000,2026-02-10,V,324.71,329.88,324.55,328.17,5801800,1903976783.91,0
1770647400000,2026-02-09,V,330.76,332.82,323.62,325.58,8513400,2771792657.68,0
1770388200000,2026-02-06,V,331.78,335.13,327.10,331.58,7798800,2585925999.28,0
1770301800000,2026-02-05,V,333.00,337.59,328.82,329.13,8339000,2744615110.72,0
1770215400000,2026-02-04,V,327.11,331.31,324.42,329.95,8472300,2795435488.42,0
1770129000000,2026-02-03,V,331.65,335.79,328.87,328.93,9081200,2987079049.49,0
1770042600000,2026-02-02,V,324.83,334.69,324.11,333.84,8502400,2838441184.86,0
1769783400000,2026-01-30,V,332.22,333.00,321.60,321.83,11199100,3604206202.62,0
1769697000000,2026-01-29,V,330.00,333.36,323.51,331.80,10214200,3389071435.31,0
1769610600000,2026-01-28,V,326.73,328.39,324.88,326.98,8106000,2650499969.06,0
1769524200000,2026-01-27,V,328.48,328.93,324.91,325.26,6365800,2070540170.17,0
1769437800000,2026-01-26,V,328.00,332.00,325.03,328.49,7540200,2476880224.37,0
1769178600000,2026-01-23,V,325.86,327.80,324.62,326.18,5667900,1848755580.49,0
1769092200000,2026-01-22,V,326.46,328.39,324.00,326.36,6938700,2264514030.36,0
1769005800000,2026-01-21,V,326.43,328.67,323.00,325.28,8974600,2919257877.04,0
1768919400000,2026-01-20,V,322.23,328.32,321.56,325.82,8279900,2697757078.64,0
1768573800000,2026-01-16,V,326.78,329.25,325.40,328.30,8341600,2738547178.17,0
1768487400000,2026-01-15,V,329.33,331.69,326.37,327.75,8587700,2814618675.00,0
1768401000000,2026-01-14,V,328.66,329.90,323.94,329.17,9388400,3090379754.06,0
1768314600000,2026-01-13,V,337.00,337.52,323.83,327.88,20383500,6683342079.53,0
1768228200000,2026-01-12,V,342.78,346.51,337.32,343.20,13281300,4558142322.13,0
1767969000000,2026-01-09,V,352.16,354.70,349.16,349.77,4902900,1714887279.14,0
1767882600000,2026-01-08,V,355.00,356.35,349.50,352.23,6357600,2239337517.85,0
1767796200000,2026-01-07,V,357.15,358.28,354.51,355.88,6333900,2254108362.93,0
1767709800000,2026-01-06,V,353.68,358.62,352.00,357.56,6775400,2422612007.46,0
1767623400000,2026-01-05,V,344.50,357.54,344.05,353.80,7592200,2686120267.32,0
1767364200000,2026-01-02,V,349.87,350.05,343.48,346.48,5403800,1872308683.37,0
1767191400000,2025-12-31,V,353.65,355.20,350.69,350.71,3503200,1228607242.07,0
1767105000000,2025-12-30,V,354.00,354.87,352.66,353.62,3366500,1190461713.56,0
1767018600000,2025-12-29,V,355.49,356.55,353.80,354.61,3989900,1414858380.55,0
1766759400000,2025-12-26,V,355.10,356.73,353.71,355.00,2017000,716035000.00,0
1766586600000,2025-12-24,V,353.38,355.99,353.01,355.14,2023600,718661333.64,0
1766500200000,2025-12-23,V,352.00,356.38,352.00,353.38,3703200,1308636834.08,0
1766413800000,2025-12-22,V,350.00,353.44,349.59,352.09,5043500,1775765896.53,0
1766154600000,2025-12-19,V,346.05,349.91,346.05,349.25,18623900,6504397075.00,0
1766068200000,2025-12-18,V,345.17,347.53,344.27,346.01,6805000,2354598116.46,0
