https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume WMT,Volume USDT,tradecount
1774618200000,2026-03-27,WMT,122.03,124.27,121.82,122.89,16537300,2032268786.91,0
1774531800000,2026-03-26,WMT,123.61,123.80,121.79,122.18,16442500,2008944655.02,0
1774445400000,2026-03-25,WMT,122.81,123.49,121.78,123.06,16597300,2042463697.48,0
1774359000000,2026-03-24,WMT,120.63,124.11,120.49,122.05,17269600,2107754732.70,0
1774272600000,2026-03-23,WMT,120.48,121.13,119.05,120.72,22181500,2677750707.08,0
1774013400000,2026-03-20,WMT,120.63,121.30,118.02,119.02,57545600,6849077118.82,0
1773927000000,2026-03-19,WMT,122.40,122.75,119.27,121.09,17927700,2170865127.35,0
1773840600000,2026-03-18,WMT,124.33,124.61,121.83,121.98,19734900,2407263168.25,0
1773754200000,2026-03-17,WMT,126.65,127.19,124.86,125.08,19895000,2488466636.43,0
1773667800000,2026-03-16,WMT,126.76,126.98,124.83,125.99,20463200,2578158524.29,0
1773408600000,2026-03-13,WMT,125.39,126.69,124.97,126.52,15194100,1922357480.99,0
1773322200000,2026-03-12,WMT,122.30,125.39,122.28,125.33,21751600,2726128067.83,0
1773235800000,2026-03-11,WMT,125.31,125.49,123.05,123.49,18176500,2244615946.17,0
1773149400000,2026-03-10,WMT,124.21,126.10,123.35,125.12,18793600,2351455283.62,0
1773063000000,2026-03-09,WMT,123.69,124.51,122.50,124.34,19375900,2409199335.04,0
1772807400000,2026-03-06,WMT,122.50,124.19,121.62,123.80,21553000,2668261465.77,0
1772721000000,2026-03-05,WMT,125.38,125.68,121.65,123.31,28604900,3527270149.16,0
1772634600000,2026-03-04,WMT,127.11,128.17,126.24,127.81,16434100,2100442280.88,0
1772548200000,2026-03-03,WMT,126.52,128.37,125.67,127.91,16480400,2108008024.35,0
1772461800000,2026-03-02,WMT,127.46,128.75,127.05,127.10,17091500,2172329623.92,0
1772202600000,2026-02-27,WMT,125.52,128.60,125.15,127.95,29205500,3736843635.87,0
1772116200000,2026-02-26,WMT,125.98,127.33,123.94,124.42,18638300,2318977251.87,0
1772029800000,2026-02-25,WMT,126.61,127.40,125.42,125.75,17345700,2181221775.00,0
1771943400000,2026-02-24,WMT,125.90,128.04,124.91,126.75,20161200,2555432100.00,0
1771857000000,2026-02-23,WMT,123.52,126.80,122.96,125.81,25662800,3228636805.35,0
